,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
52940,2021-03-15,Adair,Kentucky,21001,1734,50,1710,50,24,0
52941,2021-03-15,Allen,Kentucky,21003,1855,26,1818,26,37,0
52942,2021-03-15,Anderson,Kentucky,21005,1658,17,1642,16,16,1
52943,2021-03-15,Ballard,Kentucky,21007,366,6,352,5,14,1
52944,2021-03-15,Barren,Kentucky,21009,4145,72,4106,71,39,1
52945,2021-03-15,Bath,Kentucky,21011,798,19,787,17,11,2
52946,2021-03-15,Bell,Kentucky,21013,2849,36,2805,36,44,0
52947,2021-03-15,Boone,Kentucky,21015,13424,81,13216,80,208,1
52948,2021-03-15,Bourbon,Kentucky,21017,1589,12,1574,12,15,0
52949,2021-03-15,Boyd,Kentucky,21019,4704,47,4672,46,32,1
52950,2021-03-15,Boyle,Kentucky,21021,3206,43,3181,40,25,3
52951,2021-03-15,Bracken,Kentucky,21023,533,5,529,4,4,1
52952,2021-03-15,Breathitt,Kentucky,21025,945,7,935,6,10,1
52953,2021-03-15,Breckinridge,Kentucky,21027,1121,9,1111,9,10,0
52954,2021-03-15,Bullitt,Kentucky,21029,6609,50,6539,49,70,1
52955,2021-03-15,Butler,Kentucky,21031,1365,23,1365,23,0,0
52956,2021-03-15,Caldwell,Kentucky,21033,1262,23,1369,23,-107,0
52957,2021-03-15,Calloway,Kentucky,21035,3423,39,3408,38,15,1
52958,2021-03-15,Campbell,Kentucky,21037,8361,54,8229,49,132,5
52959,2021-03-15,Carlisle,Kentucky,21039,447,4,439,4,8,0
52960,2021-03-15,Carroll,Kentucky,21041,933,10,902,10,31,0
52961,2021-03-15,Carter,Kentucky,21043,2086,24,2035,24,51,0
52962,2021-03-15,Casey,Kentucky,21045,1303,34,1291,34,12,0
52963,2021-03-15,Christian,Kentucky,21047,6406,83,6257,79,149,4
52964,2021-03-15,Clark,Kentucky,21049,2496,25,2449,25,47,0
52965,2021-03-15,Clay,Kentucky,21051,2514,30,2464,28,50,2
52966,2021-03-15,Clinton,Kentucky,21053,1415,28,1406,27,9,1
52967,2021-03-15,Crittenden,Kentucky,21055,574,17,573,17,1,0
52968,2021-03-15,Cumberland,Kentucky,21057,663,9,660,9,3,0
52969,2021-03-15,Daviess,Kentucky,21059,9906,162,9817,162,89,0
52970,2021-03-15,Edmonson,Kentucky,21061,896,19,896,19,0,0
52971,2021-03-15,Elliott,Kentucky,21063,935,2,931,2,4,0
52972,2021-03-15,Estill,Kentucky,21065,1000,3,986,3,14,0
52973,2021-03-15,Fayette,Kentucky,21067,33443,245,33054,237,389,8
52974,2021-03-15,Fleming,Kentucky,21069,1098,15,1089,14,9,1
52975,2021-03-15,Floyd,Kentucky,21071,3110,45,3082,45,28,0
52976,2021-03-15,Franklin,Kentucky,21073,3804,33,3749,31,55,2
52977,2021-03-15,Fulton,Kentucky,21075,489,9,485,8,4,1
52978,2021-03-15,Gallatin,Kentucky,21077,670,20,659,20,11,0
52979,2021-03-15,Garrard,Kentucky,21079,1430,18,1411,18,19,0
52980,2021-03-15,Grant,Kentucky,21081,2288,14,2262,14,26,0
52981,2021-03-15,Graves,Kentucky,21083,4019,76,3984,74,35,2
52982,2021-03-15,Grayson,Kentucky,21085,1996,48,1980,48,16,0
52983,2021-03-15,Green,Kentucky,21087,1160,13,1140,13,20,0
52984,2021-03-15,Greenup,Kentucky,21089,3384,36,3354,26,30,10
52985,2021-03-15,Hancock,Kentucky,21091,814,15,807,15,7,0
52986,2021-03-15,Hardin,Kentucky,21093,9062,109,8959,101,103,8
