,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
53060,2021-03-15,Acadia,Louisiana,22001,6168,187,6135,186,33,1
53061,2021-03-15,Allen,Louisiana,22003,3033,90,3018,88,15,2
53062,2021-03-15,Ascension,Louisiana,22005,11216,154,11088,152,128,2
53063,2021-03-15,Assumption,Louisiana,22007,2115,34,2105,34,10,0
53064,2021-03-15,Avoyelles,Louisiana,22009,3971,119,3948,118,23,1
53065,2021-03-15,Beauregard,Louisiana,22011,2895,70,2864,65,31,5
53066,2021-03-15,Bienville,Louisiana,22013,1623,77,1620,75,3,2
53067,2021-03-15,Bossier,Louisiana,22015,13151,278,13084,272,67,6
53068,2021-03-15,Caddo,Louisiana,22017,24950,701,24862,687,88,14
53069,2021-03-15,Calcasieu,Louisiana,22019,20323,374,19882,364,441,10
53070,2021-03-15,Caldwell,Louisiana,22021,1086,26,1084,25,2,1
53071,2021-03-15,Cameron,Louisiana,22023,558,6,554,6,4,0
53072,2021-03-15,Catahoula,Louisiana,22025,1065,36,1062,35,3,1
53073,2021-03-15,Claiborne,Louisiana,22027,1410,50,1407,50,3,0
53074,2021-03-15,Concordia,Louisiana,22029,1796,60,1790,57,6,3
53075,2021-03-15,De Soto,Louisiana,22031,2676,75,2660,75,16,0
53076,2021-03-15,East Baton Rouge,Louisiana,22033,36475,753,36115,745,360,8
53077,2021-03-15,East Carroll,Louisiana,22035,1117,23,1114,23,3,0
53078,2021-03-15,East Feliciana,Louisiana,22037,3044,107,3031,106,13,1
53079,2021-03-15,Evangeline,Louisiana,22039,3387,86,3336,79,51,7
53080,2021-03-15,Franklin,Louisiana,22041,2456,104,2455,104,1,0
53081,2021-03-15,Grant,Louisiana,22043,2032,52,2024,52,8,0
53082,2021-03-15,Iberia,Louisiana,22045,6575,148,6530,148,45,0
53083,2021-03-15,Iberville,Louisiana,22047,3563,92,3503,91,60,1
53084,2021-03-15,Jackson,Louisiana,22049,1813,49,1796,48,17,1
53085,2021-03-15,Jefferson,Louisiana,22051,44561,866,44282,857,279,9
53086,2021-03-15,Jefferson Davis,Louisiana,22053,2943,88,2902,86,41,2
53088,2021-03-15,Lafayette,Louisiana,22055,21923,266,21735,262,188,4
53089,2021-03-15,Lafourche,Louisiana,22057,9275,198,9233,198,42,0
53087,2021-03-15,LaSalle,Louisiana,22059,1436,34,1425,34,11,0
53090,2021-03-15,Lincoln,Louisiana,22061,4254,89,4237,89,17,0
53091,2021-03-15,Livingston,Louisiana,22063,12592,190,12479,184,113,6
53092,2021-03-15,Madison,Louisiana,22065,1555,36,1554,34,1,2
53093,2021-03-15,Morehouse,Louisiana,22067,2729,70,2725,68,4,2
53094,2021-03-15,Natchitoches,Louisiana,22069,3885,81,3868,81,17,0
53095,2021-03-15,Orleans,Louisiana,22071,28924,775,28744,768,180,7
53096,2021-03-15,Ouachita,Louisiana,22073,17774,428,17731,426,43,2
53097,2021-03-15,Plaquemines,Louisiana,22075,2404,25,2383,25,21,0
53098,2021-03-15,Pointe Coupee,Louisiana,22077,2396,70,2381,70,15,0
53099,2021-03-15,Rapides,Louisiana,22079,11374,302,11339,296,35,6
53100,2021-03-15,Red River,Louisiana,22081,862,37,858,36,4,1
53101,2021-03-15,Richland,Louisiana,22083,2371,51,2358,49,13,2
53102,2021-03-15,Sabine,Louisiana,22085,2803,56,2791,55,12,1
53103,2021-03-15,St. Bernard,Louisiana,22087,3857,48,3799,46,58,2
53104,2021-03-15,St. Charles,Louisiana,22089,5208,90,5160,90,48,0
53105,2021-03-15,St. Helena,Louisiana,22091,879,8,879,8,0,0
53106,2021-03-15,St. James,Louisiana,22093,1881,49,1863,49,18,0
53107,2021-03-15,St. John the Baptist,Louisiana,22095,3573,135,3557,133,16,2
53108,2021-03-15,St. Landry,Louisiana,22097,8410,246,8352,245,58,1
53109,2021-03-15,St. Martin,Louisiana,22099,4895,114,4877,112,18,2
53110,2021-03-15,St. Mary,Louisiana,22101,4282,124,4205,122,77,2
53111,2021-03-15,St. Tammany,Louisiana,22103,24682,507,24454,500,228,7
53112,2021-03-15,Tangipahoa,Louisiana,22105,12144,277,12092,274,52,3
53113,2021-03-15,Tensas,Louisiana,22107,358,6,357,6,1,0
53114,2021-03-15,Terrebonne,Louisiana,22109,9733,211,9666,206,67,5
53115,2021-03-15,Union,Louisiana,22111,2315,77,2306,76,9,1
53117,2021-03-15,Vermilion,Louisiana,22113,4980,110,4916,108,64,2
53118,2021-03-15,Vernon,Louisiana,22115,2919,97,2905,96,14,1
53119,2021-03-15,Washington,Louisiana,22117,4161,124,4138,122,23,2
53120,2021-03-15,Webster,Louisiana,22119,3960,101,3946,99,14,2
53121,2021-03-15,West Baton Rouge,Louisiana,22121,2572,55,2538,54,34,1
53122,2021-03-15,West Carroll,Louisiana,22123,1164,39,1162,39,2,0
53123,2021-03-15,West Feliciana,Louisiana,22125,1128,32,1123,31,5,1
53124,2021-03-15,Winn,Louisiana,22127,1484,40,1477,39,7,1
