,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
53435,2021-03-15,Adair,Missouri,29001,2354,20,2350,20,4,0
53436,2021-03-15,Andrew,Missouri,29003,1840,18,1836,18,4,0
53437,2021-03-15,Atchison,Missouri,29005,430,6,428,6,2,0
53438,2021-03-15,Audrain,Missouri,29007,2736,57,2708,57,28,0
53439,2021-03-15,Barry,Missouri,29009,2876,45,2864,45,12,0
53440,2021-03-15,Barton,Missouri,29011,1154,12,1147,12,7,0
53441,2021-03-15,Bates,Missouri,29013,1292,24,1283,23,9,1
53442,2021-03-15,Benton,Missouri,29015,1625,27,1602,27,23,0
53443,2021-03-15,Bollinger,Missouri,29017,1122,12,1119,12,3,0
53444,2021-03-15,Boone,Missouri,29019,17694,84,17582,84,112,0
53445,2021-03-15,Buchanan,Missouri,29021,10158,172,10115,172,43,0
53446,2021-03-15,Butler,Missouri,29023,4054,37,4021,35,33,2
53447,2021-03-15,Caldwell,Missouri,29025,762,11,760,11,2,0
53448,2021-03-15,Callaway,Missouri,29027,4843,46,4787,45,56,1
53449,2021-03-15,Camden,Missouri,29029,3977,82,3961,81,16,1
53450,2021-03-15,Cape Girardeau,Missouri,29031,9328,133,9318,132,10,1
53451,2021-03-15,Carroll,Missouri,29033,1052,23,1048,23,4,0
53452,2021-03-15,Carter,Missouri,29035,524,9,517,9,7,0
53453,2021-03-15,Cass,Missouri,29037,8802,93,8694,91,108,2
53454,2021-03-15,Cedar,Missouri,29039,1085,19,1085,19,0,0
53455,2021-03-15,Chariton,Missouri,29041,659,6,655,6,4,0
53456,2021-03-15,Christian,Missouri,29043,8580,84,8515,80,65,4
53457,2021-03-15,Clark,Missouri,29045,638,6,633,6,5,0
53458,2021-03-15,Clay,Missouri,29047,9750,153,9668,151,82,2
53459,2021-03-15,Clinton,Missouri,29049,2024,65,2019,65,5,0
53460,2021-03-15,Cole,Missouri,29051,8981,119,8957,118,24,1
53461,2021-03-15,Cooper,Missouri,29053,1887,27,1881,27,6,0
53462,2021-03-15,Crawford,Missouri,29055,2386,34,2354,32,32,2
53463,2021-03-15,Dade,Missouri,29057,706,31,705,30,1,1
53464,2021-03-15,Dallas,Missouri,29059,1250,24,1243,24,7,0
53465,2021-03-15,Daviess,Missouri,29061,731,11,730,11,1,0
53466,2021-03-15,DeKalb,Missouri,29063,1144,29,1140,27,4,2
53467,2021-03-15,Dent,Missouri,29065,905,17,905,17,0,0
53468,2021-03-15,Douglas,Missouri,29067,895,27,892,26,3,1
53469,2021-03-15,Dunklin,Missouri,29069,2716,19,2707,19,9,0
53470,2021-03-15,Franklin,Missouri,29071,10188,168,10059,164,129,4
53471,2021-03-15,Gasconade,Missouri,29073,1529,42,1512,41,17,1
53472,2021-03-15,Gentry,Missouri,29075,830,21,829,21,1,0
53473,2021-03-15,Greene,Missouri,29077,28028,443,27841,436,187,7
53474,2021-03-15,Grundy,Missouri,29079,1004,34,1003,34,1,0
53475,2021-03-15,Harrison,Missouri,29081,925,14,925,14,0,0
53476,2021-03-15,Henry,Missouri,29083,1983,38,1976,37,7,1
53477,2021-03-15,Hickory,Missouri,29085,640,14,639,13,1,1
53478,2021-03-15,Holt,Missouri,29087,422,10,419,10,3,0
53479,2021-03-15,Howard,Missouri,29089,1050,7,1047,7,3,0
53480,2021-03-15,Howell,Missouri,29091,3428,43,3401,42,27,1
53481,2021-03-15,Iron,Missouri,29093,898,5,898,5,0,0
53482,2021-03-15,Jackson,Missouri,29095,36654,397,36382,388,272,9
53483,2021-03-15,Jasper,Missouri,29097,9281,124,9226,123,55,1
53484,2021-03-15,Jefferson,Missouri,29099,21532,229,21769,223,-237,6
53485,2021-03-15,Johnson,Missouri,29101,4847,47,4822,45,25,2
53488,2021-03-15,Knox,Missouri,29103,358,2,358,2,0,0
53489,2021-03-15,Laclede,Missouri,29105,3241,66,3227,66,14,0
53490,2021-03-15,Lafayette,Missouri,29107,3028,56,3006,57,22,-1
53491,2021-03-15,Lawrence,Missouri,29109,3380,77,3358,76,22,1
53492,2021-03-15,Lewis,Missouri,29111,838,10,833,10,5,0
53493,2021-03-15,Lincoln,Missouri,29113,5409,39,5363,39,46,0
53494,2021-03-15,Linn,Missouri,29115,1184,12,1178,12,6,0
53495,2021-03-15,Livingston,Missouri,29117,1716,37,1713,37,3,0
53500,2021-03-15,McDonald,Missouri,29119,2472,31,2465,31,7,0
53496,2021-03-15,Macon,Missouri,29121,1509,15,1488,15,21,0
53497,2021-03-15,Madison,Missouri,29123,1610,16,1605,16,5,0
53498,2021-03-15,Maries,Missouri,29125,608,7,604,7,4,0
53499,2021-03-15,Marion,Missouri,29127,3141,42,3121,42,20,0
53501,2021-03-15,Mercer,Missouri,29129,302,2,299,2,3,0
53502,2021-03-15,Miller,Missouri,29131,2493,51,2490,49,3,2
53503,2021-03-15,Mississippi,Missouri,29133,1393,25,1380,24,13,1
53504,2021-03-15,Moniteau,Missouri,29135,1764,29,1762,29,2,0
53505,2021-03-15,Monroe,Missouri,29137,987,11,986,10,1,1
53506,2021-03-15,Montgomery,Missouri,29139,1009,10,964,10,45,0
53507,2021-03-15,Morgan,Missouri,29141,1697,42,1691,42,6,0
53508,2021-03-15,New Madrid,Missouri,29143,2087,45,2074,45,13,0
53509,2021-03-15,Newton,Missouri,29145,5167,69,5141,69,26,0
53510,2021-03-15,Nodaway,Missouri,29147,2626,25,2586,25,40,0
53511,2021-03-15,Oregon,Missouri,29149,845,3,843,3,2,0
53512,2021-03-15,Osage,Missouri,29151,1600,14,1586,14,14,0
53513,2021-03-15,Ozark,Missouri,29153,669,16,667,16,2,0
53514,2021-03-15,Pemiscot,Missouri,29155,1537,29,1535,29,2,0
53515,2021-03-15,Perry,Missouri,29157,2137,27,2129,27,8,0
53516,2021-03-15,Pettis,Missouri,29159,5040,77,5007,75,33,2
53517,2021-03-15,Phelps,Missouri,29161,3625,123,3594,121,31,2
53518,2021-03-15,Pike,Missouri,29163,1763,23,1754,22,9,1
53519,2021-03-15,Platte,Missouri,29165,3964,44,3930,43,34,1
53520,2021-03-15,Polk,Missouri,29167,3270,39,3261,39,9,0
53521,2021-03-15,Pulaski,Missouri,29169,3432,49,3424,49,8,0
53522,2021-03-15,Putnam,Missouri,29171,293,4,293,3,0,1
53523,2021-03-15,Ralls,Missouri,29173,1000,12,996,12,4,0
53524,2021-03-15,Randolph,Missouri,29175,2616,30,2603,30,13,0
53525,2021-03-15,Ray,Missouri,29177,1891,25,1873,25,18,0
53526,2021-03-15,Reynolds,Missouri,29179,466,4,464,4,2,0
53527,2021-03-15,Ripley,Missouri,29181,1037,15,1028,14,9,1
53534,2021-03-15,St. Charles,Missouri,29183,40308,462,39858,442,450,20
53535,2021-03-15,St. Clair,Missouri,29185,783,8,761,7,22,1
53539,2021-03-15,Ste. Genevieve,Missouri,29186,1778,16,1760,15,18,1
53536,2021-03-15,St. Francois,Missouri,29187,8717,109,8677,107,40,2
53537,2021-03-15,St. Louis,Missouri,29189,90479,2059,89452,2019,1027,40
53528,2021-03-15,Saline,Missouri,29195,2874,39,2873,38,1,1
53529,2021-03-15,Schuyler,Missouri,29197,323,5,317,5,6,0
53530,2021-03-15,Scotland,Missouri,29199,304,3,303,3,1,0
53531,2021-03-15,Scott,Missouri,29201,4644,79,4622,77,22,2
53532,2021-03-15,Shannon,Missouri,29203,587,12,582,12,5,0
53533,2021-03-15,Shelby,Missouri,29205,505,7,503,7,2,0
53540,2021-03-15,Stoddard,Missouri,29207,2471,37,2467,36,4,1
53541,2021-03-15,Stone,Missouri,29209,2329,39,2311,38,18,1
53542,2021-03-15,Sullivan,Missouri,29211,852,14,849,14,3,0
53543,2021-03-15,Taney,Missouri,29213,5148,91,5115,90,33,1
53544,2021-03-15,Texas,Missouri,29215,1810,22,1803,22,7,0
53545,2021-03-15,Vernon,Missouri,29217,1916,40,1904,38,12,2
53546,2021-03-15,Warren,Missouri,29219,2956,29,2928,27,28,2
53547,2021-03-15,Washington,Missouri,29221,2711,48,2708,48,3,0
53548,2021-03-15,Wayne,Missouri,29223,1020,11,1018,11,2,0
53549,2021-03-15,Webster,Missouri,29225,3477,53,3458,53,19,0
53550,2021-03-15,Worth,Missouri,29227,163,1,163,1,0,0
53551,2021-03-15,Wright,Missouri,29229,1539,29,1532,29,7,0
53538,2021-03-15,St. Louis city,Missouri,29510,22015,440,21707,435,308,5
