,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
53552,2021-03-15,Beaverhead,Montana,30001,878,8,867,8,11,0
53553,2021-03-15,Big Horn,Montana,30003,2341,72,2342,72,-1,0
53554,2021-03-15,Blaine,Montana,30005,707,24,706,24,1,0
53555,2021-03-15,Broadwater,Montana,30007,422,5,416,5,6,0
53556,2021-03-15,Carbon,Montana,30009,845,12,839,11,6,1
53557,2021-03-15,Carter,Montana,30011,146,5,145,5,1,0
53558,2021-03-15,Cascade,Montana,30013,7881,150,7749,150,132,0
53559,2021-03-15,Chouteau,Montana,30015,492,5,490,5,2,0
53560,2021-03-15,Custer,Montana,30017,1148,15,1144,15,4,0
53561,2021-03-15,Daniels,Montana,30019,197,7,197,7,0,0
53562,2021-03-15,Dawson,Montana,30021,1084,30,1073,28,11,2
53563,2021-03-15,Deer Lodge,Montana,30023,1056,13,1051,13,5,0
53564,2021-03-15,Fallon,Montana,30025,278,2,278,2,0,0
53565,2021-03-15,Fergus,Montana,30027,1070,27,1062,27,8,0
53566,2021-03-15,Flathead,Montana,30029,11276,82,11169,81,107,1
53567,2021-03-15,Gallatin,Montana,30031,12716,55,12575,55,141,0
53568,2021-03-15,Garfield,Montana,30033,78,2,76,2,2,0
53569,2021-03-15,Glacier,Montana,30035,1521,30,1522,30,-1,0
53570,2021-03-15,Golden Valley,Montana,30037,53,2,53,2,0,0
53571,2021-03-15,Granite,Montana,30039,190,2,190,2,0,0
53572,2021-03-15,Hill,Montana,30041,1933,41,1933,39,0,2
53573,2021-03-15,Jefferson,Montana,30043,1034,8,1022,8,12,0
53574,2021-03-15,Judith Basin,Montana,30045,88,1,86,1,2,0
53575,2021-03-15,Lake,Montana,30047,1960,26,1941,26,19,0
53576,2021-03-15,Lewis and Clark,Montana,30049,6470,68,6409,68,61,0
53577,2021-03-15,Liberty,Montana,30051,117,1,116,1,1,0
53578,2021-03-15,Lincoln,Montana,30053,1510,13,1503,13,7,0
53580,2021-03-15,McCone,Montana,30055,183,1,179,1,4,0
53579,2021-03-15,Madison,Montana,30057,713,7,710,7,3,0
53581,2021-03-15,Meagher,Montana,30059,125,7,125,7,0,0
53582,2021-03-15,Mineral,Montana,30061,245,0,235,0,10,0
53583,2021-03-15,Missoula,Montana,30063,8428,84,8292,83,136,1
53584,2021-03-15,Musselshell,Montana,30065,310,8,310,8,0,0
53585,2021-03-15,Park,Montana,30067,1156,12,1146,11,10,1
53586,2021-03-15,Petroleum,Montana,30069,12,1,12,1,0,0
53587,2021-03-15,Phillips,Montana,30071,512,14,504,14,8,0
53588,2021-03-15,Pondera,Montana,30073,457,3,457,3,0,0
53589,2021-03-15,Powder River,Montana,30075,114,6,114,6,0,0
53590,2021-03-15,Powell,Montana,30077,893,7,890,7,3,0
53591,2021-03-15,Prairie,Montana,30079,131,2,130,2,1,0
53592,2021-03-15,Ravalli,Montana,30081,2749,29,2716,30,33,-1
53593,2021-03-15,Richland,Montana,30083,1088,15,1075,15,13,0
53594,2021-03-15,Roosevelt,Montana,30085,1577,52,1575,52,2,0
53595,2021-03-15,Rosebud,Montana,30087,1183,44,1169,44,14,0
53596,2021-03-15,Sanders,Montana,30089,596,10,592,9,4,1
53597,2021-03-15,Sheridan,Montana,30091,399,5,391,5,8,0
53598,2021-03-15,Silver Bow,Montana,30093,3849,81,3808,81,41,0
53599,2021-03-15,Stillwater,Montana,30095,700,13,697,13,3,0
53600,2021-03-15,Sweet Grass,Montana,30097,372,7,369,7,3,0
53601,2021-03-15,Teton,Montana,30099,431,5,430,5,1,0
53602,2021-03-15,Toole,Montana,30101,706,10,706,10,0,0
53603,2021-03-15,Treasure,Montana,30103,55,1,55,1,0,0
53604,2021-03-15,Valley,Montana,30105,848,11,834,11,14,0
53605,2021-03-15,Wheatland,Montana,30107,175,7,174,6,1,1
53606,2021-03-15,Wibaux,Montana,30109,118,6,118,6,0,0
53607,2021-03-15,Yellowstone,Montana,30111,16439,240,16326,237,113,3
