,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
53998,2021-03-15,Adams,Ohio,39001,2196,42,2183,39,13,3
53999,2021-03-15,Allen,Ohio,39003,10868,217,10828,216,40,1
54000,2021-03-15,Ashland,Ohio,39005,3902,84,3835,83,67,1
54001,2021-03-15,Ashtabula,Ohio,39007,6060,156,6006,154,54,2
54002,2021-03-15,Athens,Ohio,39009,4711,50,4671,49,40,1
54003,2021-03-15,Auglaize,Ohio,39011,4578,84,4566,82,12,2
54004,2021-03-15,Belmont,Ohio,39013,5110,144,5012,137,98,7
54005,2021-03-15,Brown,Ohio,39015,3780,52,3757,52,23,0
54006,2021-03-15,Butler,Ohio,39017,36226,540,35890,531,336,9
54007,2021-03-15,Carroll,Ohio,39019,1836,45,1822,43,14,2
54008,2021-03-15,Champaign,Ohio,39021,2973,49,2919,49,54,0
54009,2021-03-15,Clark,Ohio,39023,12546,266,12411,256,135,10
54010,2021-03-15,Clermont,Ohio,39025,18728,210,18561,205,167,5
54011,2021-03-15,Clinton,Ohio,39027,3483,55,3437,55,46,0
54012,2021-03-15,Columbiana,Ohio,39029,8253,214,8183,210,70,4
54013,2021-03-15,Coshocton,Ohio,39031,2474,56,2416,56,58,0
54014,2021-03-15,Crawford,Ohio,39033,3670,98,3607,98,63,0
54015,2021-03-15,Cuyahoga,Ohio,39035,98473,1920,97121,1881,1352,39
54016,2021-03-15,Darke,Ohio,39037,5076,116,5061,116,15,0
54017,2021-03-15,Defiance,Ohio,39039,3792,93,3744,88,48,5
54018,2021-03-15,Delaware,Ohio,39041,16850,124,16643,121,207,3
54019,2021-03-15,Erie,Ohio,39043,7042,150,6978,146,64,4
54020,2021-03-15,Fairfield,Ohio,39045,14812,190,14667,188,145,2
54021,2021-03-15,Fayette,Ohio,39047,2716,43,2703,43,13,0
54022,2021-03-15,Franklin,Ohio,39049,114458,1276,113218,1251,1240,25
54023,2021-03-15,Fulton,Ohio,39051,3869,63,3838,61,31,2
