,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
54465,2021-03-15,Anderson,Tennessee,47001,8240,159,8119,159,121,0
54466,2021-03-15,Bedford,Tennessee,47003,5948,122,5851,120,97,2
54467,2021-03-15,Benton,Tennessee,47005,1527,39,1513,39,14,0
54468,2021-03-15,Bledsoe,Tennessee,47007,2033,10,2015,10,18,0
54469,2021-03-15,Blount,Tennessee,47009,14384,186,14219,185,165,1
54470,2021-03-15,Bradley,Tennessee,47011,13433,141,13120,141,313,0
54471,2021-03-15,Campbell,Tennessee,47013,3921,59,3837,59,84,0
54472,2021-03-15,Cannon,Tennessee,47015,1811,31,1789,30,22,1
54473,2021-03-15,Carroll,Tennessee,47017,3509,81,3493,81,16,0
54474,2021-03-15,Carter,Tennessee,47019,6047,155,6008,155,39,0
54475,2021-03-15,Cheatham,Tennessee,47021,4072,47,3992,44,80,3
54476,2021-03-15,Chester,Tennessee,47023,2050,48,2028,48,22,0
54477,2021-03-15,Claiborne,Tennessee,47025,2903,71,2856,69,47,2
54478,2021-03-15,Clay,Tennessee,47027,1073,31,1072,31,1,0
54479,2021-03-15,Cocke,Tennessee,47029,4168,96,4050,96,118,0
54480,2021-03-15,Coffee,Tennessee,47031,6538,116,6453,115,85,1
54481,2021-03-15,Crockett,Tennessee,47033,1975,48,1974,47,1,1
54482,2021-03-15,Cumberland,Tennessee,47035,6207,123,6142,123,65,0
54483,2021-03-15,Davidson,Tennessee,47037,92049,872,90931,878,1118,-6
54485,2021-03-15,Decatur,Tennessee,47039,1546,37,1544,37,2,0
54484,2021-03-15,DeKalb,Tennessee,47041,2694,52,2677,51,17,1
54486,2021-03-15,Dickson,Tennessee,47043,6367,107,6308,106,59,1
54487,2021-03-15,Dyer,Tennessee,47045,5276,102,5255,101,21,1
54488,2021-03-15,Fayette,Tennessee,47047,4729,75,4694,73,35,2
54489,2021-03-15,Fentress,Tennessee,47049,2319,44,2303,44,16,0
54490,2021-03-15,Franklin,Tennessee,47051,4849,85,4780,85,69,0
54491,2021-03-15,Gibson,Tennessee,47053,6227,141,6208,141,19,0
54492,2021-03-15,Giles,Tennessee,47055,3794,97,3759,97,35,0
54493,2021-03-15,Grainger,Tennessee,47057,2473,46,2451,46,22,0
54494,2021-03-15,Greene,Tennessee,47059,7368,148,7321,145,47,3
54495,2021-03-15,Grundy,Tennessee,47061,1719,30,1705,30,14,0
54496,2021-03-15,Hamblen,Tennessee,47063,8180,169,8099,166,81,3
54497,2021-03-15,Hamilton,Tennessee,47065,41588,466,41078,463,510,3
54498,2021-03-15,Hancock,Tennessee,47067,513,12,500,12,13,0
54499,2021-03-15,Hardeman,Tennessee,47069,3404,63,3395,65,9,-2
54500,2021-03-15,Hardin,Tennessee,47071,3336,64,3325,63,11,1
54501,2021-03-15,Hawkins,Tennessee,47073,5372,100,5300,98,72,2
54502,2021-03-15,Haywood,Tennessee,47075,2660,60,2652,60,8,0
54503,2021-03-15,Henderson,Tennessee,47077,3637,74,3626,74,11,0
54504,2021-03-15,Henry,Tennessee,47079,3040,75,3017,75,23,0
54505,2021-03-15,Hickman,Tennessee,47081,2707,42,2680,41,27,1
54506,2021-03-15,Houston,Tennessee,47083,1047,33,1038,32,9,1
54507,2021-03-15,Humphreys,Tennessee,47085,1581,21,1560,21,21,0
54508,2021-03-15,Jackson,Tennessee,47087,1264,34,1257,34,7,0
54509,2021-03-15,Jefferson,Tennessee,47089,5814,121,5729,119,85,2
54510,2021-03-15,Johnson,Tennessee,47091,2183,38,2175,38,8,0
54511,2021-03-15,Knox,Tennessee,47093,48186,596,47679,590,507,6
54512,2021-03-15,Lake,Tennessee,47095,1681,26,1679,26,2,0
54513,2021-03-15,Lauderdale,Tennessee,47097,3104,44,3100,43,4,1
54514,2021-03-15,Lawrence,Tennessee,47099,5607,84,5582,84,25,0
54515,2021-03-15,Lewis,Tennessee,47101,1485,25,1477,25,8,0
54516,2021-03-15,Lincoln,Tennessee,47103,4190,62,4170,62,20,0
54517,2021-03-15,Loudon,Tennessee,47105,5799,67,5753,66,46,1
54523,2021-03-15,McMinn,Tennessee,47107,6048,93,5976,93,72,0
54524,2021-03-15,McNairy,Tennessee,47109,2707,53,2693,53,14,0
54518,2021-03-15,Macon,Tennessee,47111,3402,74,3383,73,19,1
54519,2021-03-15,Madison,Tennessee,47113,10218,234,10152,232,66,2
54520,2021-03-15,Marion,Tennessee,47115,3005,45,2965,45,40,0
54521,2021-03-15,Marshall,Tennessee,47117,3958,57,3931,57,27,0
54522,2021-03-15,Maury,Tennessee,47119,12392,162,12290,162,102,0
54525,2021-03-15,Meigs,Tennessee,47121,1282,23,1271,23,11,0
54526,2021-03-15,Monroe,Tennessee,47123,5462,92,5405,92,57,0
54527,2021-03-15,Montgomery,Tennessee,47125,17816,213,17578,213,238,0
54528,2021-03-15,Moore,Tennessee,47127,952,17,947,16,5,1
54529,2021-03-15,Morgan,Tennessee,47129,2338,38,2315,38,23,0
54530,2021-03-15,Obion,Tennessee,47131,4390,95,4372,95,18,0
54531,2021-03-15,Overton,Tennessee,47133,2892,58,2870,58,22,0
