,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
52034,2021-03-15,Apache,Arizona,04001,10724,400,10667,394,57,6
52035,2021-03-15,Cochise,Arizona,04003,11418,274,11338,270,80,4
52036,2021-03-15,Coconino,Arizona,04005,16885,317,16771,315,114,2
52037,2021-03-15,Gila,Arizona,04007,6456,217,6420,218,36,-1
52038,2021-03-15,Graham,Arizona,04009,5331,77,5319,75,12,2
52039,2021-03-15,Greenlee,Arizona,04011,562,10,561,10,1,0
52040,2021-03-15,La Paz,Arizona,04012,2421,73,2423,73,-2,0
52041,2021-03-15,Maricopa,Arizona,04013,520861,9437,516720,9316,4141,121
52042,2021-03-15,Mohave,Arizona,04015,21657,665,21429,656,228,9
52043,2021-03-15,Navajo,Arizona,04017,15567,512,15765,505,-198,7
52044,2021-03-15,Pima,Arizona,04019,111344,2300,110590,2261,754,39
52045,2021-03-15,Pinal,Arizona,04021,47733,814,46980,793,753,21
52046,2021-03-15,Santa Cruz,Arizona,04023,7695,172,7659,170,36,2
52047,2021-03-15,Yavapai,Arizona,04025,18135,476,18024,473,111,3
52048,2021-03-15,Yuma,Arizona,04027,36602,809,36571,799,31,10
