,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
52125,2021-03-15,Alameda,California,06001,82137,1328,81454,1293,683,35
52126,2021-03-15,Alpine,California,06003,82,0,78,0,4,0
52127,2021-03-15,Amador,California,06005,3503,44,3488,41,15,3
52128,2021-03-15,Butte,California,06007,11140,185,11075,169,65,16
52129,2021-03-15,Calaveras,California,06009,1939,49,1906,49,33,0
52130,2021-03-15,Colusa,California,06011,2155,14,2144,13,11,1
52131,2021-03-15,Contra Costa,California,06013,64096,731,63493,708,603,23
52132,2021-03-15,Del Norte,California,06015,1068,6,1034,5,34,1
52133,2021-03-15,El Dorado,California,06017,9231,103,9184,100,47,3
52134,2021-03-15,Fresno,California,06019,97461,1527,96549,1488,912,39
52135,2021-03-15,Glenn,California,06021,2745,15,2724,23,21,-8
52136,2021-03-15,Humboldt,California,06023,3370,34,3308,33,62,1
52137,2021-03-15,Imperial,California,06025,27122,684,27019,658,103,26
52138,2021-03-15,Inyo,California,06027,1346,35,1320,37,26,-2
52139,2021-03-15,Kern,California,06029,104943,1141,104307,942,636,199
52140,2021-03-15,Kings,California,06031,22380,236,22211,229,169,7
52141,2021-03-15,Lake,California,06033,3237,43,3192,41,45,2
52142,2021-03-15,Lassen,California,06035,5631,1,5629,25,2,-24
52143,2021-03-15,Los Angeles,California,06037,1211319,22476,1204665,22041,6654,435
52144,2021-03-15,Madera,California,06039,15804,222,15675,214,129,8
52145,2021-03-15,Marin,California,06041,13405,218,13313,199,92,19
52146,2021-03-15,Mariposa,California,06043,398,7,396,7,2,0
52147,2021-03-15,Mendocino,California,06045,3881,45,3845,44,36,1
52148,2021-03-15,Merced,California,06047,29940,423,29557,415,383,8
52149,2021-03-15,Modoc,California,06049,340,3,338,4,2,-1
52150,2021-03-15,Mono,California,06051,1206,4,1199,4,7,0
52151,2021-03-15,Monterey,California,06053,42575,336,42404,331,171,5
52152,2021-03-15,Napa,California,06055,9195,75,9138,75,57,0
52153,2021-03-15,Nevada,California,06057,4125,74,4060,74,65,0
52154,2021-03-15,Orange,California,06059,263994,4486,262849,4252,1145,234
52155,2021-03-15,Placer,California,06061,20364,238,20162,232,202,6
52156,2021-03-15,Plumas,California,06063,642,4,635,6,7,-2
52157,2021-03-15,Riverside,California,06065,292293,3984,291040,3912,1253,72
52158,2021-03-15,Sacramento,California,06067,95440,1548,94560,1521,880,27
52159,2021-03-15,San Benito,California,06069,5829,61,5795,61,34,0
52160,2021-03-15,San Bernardino,California,06071,288868,3996,288044,3176,824,820
52161,2021-03-15,San Diego,California,06073,265712,3452,263338,3390,2374,62
52162,2021-03-15,San Francisco,California,06075,34813,455,34597,436,216,19
52163,2021-03-15,San Joaquin,California,06077,67817,1210,67395,1189,422,21
52164,2021-03-15,San Luis Obispo,California,06079,20078,253,19860,247,218,6
52165,2021-03-15,San Mateo,California,06081,39744,534,39436,525,308,9
52166,2021-03-15,Santa Barbara,California,06083,32634,431,32414,424,220,7
52167,2021-03-15,Santa Clara,California,06085,112794,1870,111952,1828,842,42
52168,2021-03-15,Santa Cruz,California,06087,15080,200,14863,187,217,13
52169,2021-03-15,Shasta,California,06089,11192,192,11102,179,90,13
52170,2021-03-15,Sierra,California,06091,49,0,48,0,1,0
52171,2021-03-15,Siskiyou,California,06093,1835,14,1804,14,31,0
52172,2021-03-15,Solano,California,06095,30586,177,30409,167,177,10
52173,2021-03-15,Sonoma,California,06097,28798,308,28533,303,265,5
52174,2021-03-15,Stanislaus,California,06099,57621,972,56885,959,736,13
52175,2021-03-15,Sutter,California,06101,8996,102,8943,98,53,4
52176,2021-03-15,Tehama,California,06103,4650,34,4614,52,36,-18
52177,2021-03-15,Trinity,California,06105,309,3,303,5,6,-2
52178,2021-03-15,Tulare,California,06107,48604,800,48319,773,285,27
52179,2021-03-15,Tuolumne,California,06109,3994,59,3982,59,12,0
52180,2021-03-15,Ventura,California,06111,78792,932,78487,895,305,37
52181,2021-03-15,Yolo,California,06113,13128,190,12988,186,140,4
52182,2021-03-15,Yuba,California,06115,5874,42,5831,39,43,3
