,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
52183,2021-03-15,Adams,Colorado,08001,50778,636,50149,631,629,5
52184,2021-03-15,Alamosa,Colorado,08003,1329,29,1311,29,18,0
52185,2021-03-15,Arapahoe,Colorado,08005,51140,709,50321,699,819,10
52186,2021-03-15,Archuleta,Colorado,08007,703,1,676,1,27,0
52187,2021-03-15,Baca,Colorado,08009,274,4,273,4,1,0
52188,2021-03-15,Bent,Colorado,08011,1483,21,1481,21,2,0
52189,2021-03-15,Boulder,Colorado,08013,19680,250,19304,248,376,2
52190,2021-03-15,Broomfield,Colorado,08014,3982,74,3879,74,103,0
52191,2021-03-15,Chaffee,Colorado,08015,1477,24,1464,24,13,0
52192,2021-03-15,Cheyenne,Colorado,08017,125,5,125,5,0,0
52193,2021-03-15,Clear Creek,Colorado,08019,378,2,370,2,8,0
52194,2021-03-15,Conejos,Colorado,08021,455,9,448,9,7,0
52195,2021-03-15,Costilla,Colorado,08023,195,2,191,2,4,0
52196,2021-03-15,Crowley,Colorado,08025,2102,14,2073,14,29,0
52197,2021-03-15,Custer,Colorado,08027,164,1,164,1,0,0
52198,2021-03-15,Delta,Colorado,08029,2497,60,2485,60,12,0
52199,2021-03-15,Denver,Colorado,08031,61859,775,60715,769,1144,6
52200,2021-03-15,Dolores,Colorado,08033,68,0,69,0,-1,0
52201,2021-03-15,Douglas,Colorado,08035,23034,233,22531,233,503,0
52202,2021-03-15,Eagle,Colorado,08037,5398,22,5265,22,133,0
52204,2021-03-15,Elbert,Colorado,08039,1335,12,1307,12,28,0
52203,2021-03-15,El Paso,Colorado,08041,54026,750,53140,748,886,2
52205,2021-03-15,Fremont,Colorado,08043,5558,52,5517,51,41,1
52206,2021-03-15,Garfield,Colorado,08045,5218,38,5145,38,73,0
52207,2021-03-15,Gilpin,Colorado,08047,175,3,173,3,2,0
52208,2021-03-15,Grand,Colorado,08049,1301,6,1290,6,11,0
52209,2021-03-15,Gunnison,Colorado,08051,1226,6,1212,6,14,0
52210,2021-03-15,Hinsdale,Colorado,08053,16,0,17,0,-1,0
52211,2021-03-15,Huerfano,Colorado,08055,322,16,316,16,6,0
52212,2021-03-15,Jackson,Colorado,08057,52,0,51,0,1,0
52213,2021-03-15,Jefferson,Colorado,08059,38761,730,38093,728,668,2
52214,2021-03-15,Kiowa,Colorado,08061,91,3,91,3,0,0
52215,2021-03-15,Kit Carson,Colorado,08063,560,10,546,10,14,0
52217,2021-03-15,Lake,Colorado,08065,671,0,665,0,6,0
52216,2021-03-15,La Plata,Colorado,08067,3161,37,3052,37,109,0
52218,2021-03-15,Larimer,Colorado,08069,21075,227,20628,224,447,3
52219,2021-03-15,Las Animas,Colorado,08071,1016,11,1008,11,8,0
52220,2021-03-15,Lincoln,Colorado,08073,1001,3,998,3,3,0
52221,2021-03-15,Logan,Colorado,08075,3777,65,3760,65,17,0
52222,2021-03-15,Mesa,Colorado,08077,13555,205,13487,201,68,4
52223,2021-03-15,Mineral,Colorado,08079,84,1,71,1,13,0
52224,2021-03-15,Moffat,Colorado,08081,691,22,682,22,9,0
52225,2021-03-15,Montezuma,Colorado,08083,1758,23,1742,22,16,1
52226,2021-03-15,Montrose,Colorado,08085,3288,54,3277,53,11,1
52227,2021-03-15,Morgan,Colorado,08087,2481,91,2455,90,26,1
52228,2021-03-15,Otero,Colorado,08089,1874,63,1868,63,6,0
52229,2021-03-15,Ouray,Colorado,08091,264,3,263,3,1,0
52230,2021-03-15,Park,Colorado,08093,573,5,564,5,9,0
52231,2021-03-15,Phillips,Colorado,08095,344,13,340,12,4,1
52232,2021-03-15,Pitkin,Colorado,08097,2179,4,2091,4,88,0
52233,2021-03-15,Prowers,Colorado,08099,1162,21,1162,21,0,0
52234,2021-03-15,Pueblo,Colorado,08101,15357,365,15195,363,162,2
52235,2021-03-15,Rio Blanco,Colorado,08103,492,4,487,3,5,1
52236,2021-03-15,Rio Grande,Colorado,08105,736,13,725,13,11,0
52237,2021-03-15,Routt,Colorado,08107,1988,19,1941,19,47,0
52238,2021-03-15,Saguache,Colorado,08109,327,4,326,4,1,0
52239,2021-03-15,San Juan,Colorado,08111,43,0,43,0,0,0
52240,2021-03-15,San Miguel,Colorado,08113,838,0,829,0,9,0
52241,2021-03-15,Sedgwick,Colorado,08115,196,2,191,2,5,0
52242,2021-03-15,Summit,Colorado,08117,3145,7,3086,7,59,0
52243,2021-03-15,Teller,Colorado,08119,1339,14,1291,14,48,0
52244,2021-03-15,Washington,Colorado,08121,415,12,398,12,17,0
52245,2021-03-15,Weld,Colorado,08123,26457,319,26065,319,392,0
52246,2021-03-15,Yuma,Colorado,08125,778,17,727,17,51,0
