,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
52495,2021-03-15,Ada,Idaho,16001,47893,444,47384,440,509,4
52496,2021-03-15,Adams,Idaho,16003,332,4,332,4,0,0
52497,2021-03-15,Bannock,Idaho,16005,8112,97,7975,97,137,0
52498,2021-03-15,Bear Lake,Idaho,16007,362,2,360,2,2,0
52499,2021-03-15,Benewah,Idaho,16009,640,8,628,7,12,1
52500,2021-03-15,Bingham,Idaho,16011,4481,63,4357,63,124,0
52501,2021-03-15,Blaine,Idaho,16013,2201,17,2193,17,8,0
52502,2021-03-15,Boise,Idaho,16015,317,2,310,2,7,0
52503,2021-03-15,Bonner,Idaho,16017,3044,35,3013,33,31,2
52504,2021-03-15,Bonneville,Idaho,16019,13142,152,12563,149,579,3
52505,2021-03-15,Boundary,Idaho,16021,827,10,824,10,3,0
52506,2021-03-15,Butte,Idaho,16023,201,1,200,1,1,0
52507,2021-03-15,Camas,Idaho,16025,71,0,70,0,1,0
52508,2021-03-15,Canyon,Idaho,16027,25082,284,24904,279,178,5
52509,2021-03-15,Caribou,Idaho,16029,629,12,630,12,-1,0
52510,2021-03-15,Cassia,Idaho,16031,2881,25,2869,25,12,0
52511,2021-03-15,Clark,Idaho,16033,54,0,54,0,0,0
52512,2021-03-15,Clearwater,Idaho,16035,1011,12,1006,12,5,0
52513,2021-03-15,Custer,Idaho,16037,235,3,233,3,2,0
52514,2021-03-15,Elmore,Idaho,16039,1652,12,1633,12,19,0
52515,2021-03-15,Franklin,Idaho,16041,1111,15,1098,14,13,1
52516,2021-03-15,Fremont,Idaho,16043,1050,14,1035,14,15,0
52517,2021-03-15,Gem,Idaho,16045,1706,33,1702,33,4,0
52518,2021-03-15,Gooding,Idaho,16047,1275,23,1270,23,5,0
52519,2021-03-15,Idaho,Idaho,16049,1189,17,1186,17,3,0
52520,2021-03-15,Jefferson,Idaho,16051,2612,22,2521,22,91,0
52521,2021-03-15,Jerome,Idaho,16053,2520,22,2514,21,6,1
52522,2021-03-15,Kootenai,Idaho,16055,16972,191,16840,186,132,5
52523,2021-03-15,Latah,Idaho,16057,2861,8,2807,8,54,0
52524,2021-03-15,Lemhi,Idaho,16059,511,9,501,9,10,0
52525,2021-03-15,Lewis,Idaho,16061,381,6,380,6,1,0
52526,2021-03-15,Lincoln,Idaho,16063,488,11,486,11,2,0
52527,2021-03-15,Madison,Idaho,16065,6600,22,6466,22,134,0
52528,2021-03-15,Minidoka,Idaho,16067,2299,30,2288,29,11,1
52529,2021-03-15,Nez Perce,Idaho,16069,3415,53,3384,53,31,0
52530,2021-03-15,Oneida,Idaho,16071,332,3,330,3,2,0
52531,2021-03-15,Owyhee,Idaho,16073,1024,26,1018,26,6,0
52532,2021-03-15,Payette,Idaho,16075,2400,32,2385,32,15,0
52533,2021-03-15,Power,Idaho,16077,644,9,639,9,5,0
52534,2021-03-15,Shoshone,Idaho,16079,1024,32,1015,32,9,0
52535,2021-03-15,Teton,Idaho,16081,1117,4,1102,4,15,0
52536,2021-03-15,Twin Falls,Idaho,16083,9078,125,9038,124,40,1
52537,2021-03-15,Valley,Idaho,16085,813,7,802,6,11,1
52538,2021-03-15,Washington,Idaho,16087,1185,21,1178,21,7,0
