,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
52539,2021-03-15,Adams,Illinois,17001,8052,144,8041,143,11,1
52540,2021-03-15,Alexander,Illinois,17003,453,10,453,9,0,1
52541,2021-03-15,Bond,Illinois,17005,1919,30,1918,30,1,0
52542,2021-03-15,Boone,Illinois,17007,5989,82,5951,82,38,0
52543,2021-03-15,Brown,Illinois,17009,675,12,666,12,9,0
52544,2021-03-15,Bureau,Illinois,17011,3376,91,3343,90,33,1
52545,2021-03-15,Calhoun,Illinois,17013,485,5,483,5,2,0
52546,2021-03-15,Carroll,Illinois,17015,1595,36,1582,36,13,0
52547,2021-03-15,Cass,Illinois,17017,1899,33,1898,31,1,2
52548,2021-03-15,Champaign,Illinois,17019,18602,140,18418,136,184,4
52549,2021-03-15,Christian,Illinois,17021,3359,89,3341,88,18,1
52550,2021-03-15,Clark,Illinois,17023,1696,40,1690,39,6,1
52551,2021-03-15,Clay,Illinois,17025,1445,47,1437,47,8,0
52552,2021-03-15,Clinton,Illinois,17027,5603,98,5581,98,22,0
52553,2021-03-15,Coles,Illinois,17029,5314,95,5257,94,57,1
52554,2021-03-15,Cook,Illinois,17031,483282,10077,479361,10011,3921,66
52555,2021-03-15,Crawford,Illinois,17033,2019,40,2014,40,5,0
52556,2021-03-15,Cumberland,Illinois,17035,1225,30,1205,30,20,0
52558,2021-03-15,DeKalb,Illinois,17037,8615,120,8554,120,61,0
52557,2021-03-15,De Witt,Illinois,17039,1293,29,1284,29,9,0
52559,2021-03-15,Douglas,Illinois,17041,2497,39,2481,39,16,0
52560,2021-03-15,DuPage,Illinois,17043,79010,1298,77960,1290,1050,8
52561,2021-03-15,Edgar,Illinois,17045,1602,59,1568,58,34,1
52562,2021-03-15,Edwards,Illinois,17047,534,13,528,11,6,2
52563,2021-03-15,Effingham,Illinois,17049,4510,80,4508,80,2,0
52564,2021-03-15,Fayette,Illinois,17051,3069,57,3070,55,-1,2
52565,2021-03-15,Ford,Illinois,17053,1621,54,1605,54,16,0
52566,2021-03-15,Franklin,Illinois,17055,4185,78,4168,78,17,0
52567,2021-03-15,Fulton,Illinois,17057,2979,56,2905,54,74,2
52568,2021-03-15,Gallatin,Illinois,17059,443,5,440,5,3,0
52569,2021-03-15,Greene,Illinois,17061,1389,45,1388,45,1,0
52570,2021-03-15,Grundy,Illinois,17063,5282,70,5222,67,60,3
52571,2021-03-15,Hamilton,Illinois,17065,796,18,797,18,-1,0
52572,2021-03-15,Hancock,Illinois,17067,1687,40,1685,40,2,0
52573,2021-03-15,Hardin,Illinois,17069,352,12,348,12,4,0
52574,2021-03-15,Henderson,Illinois,17071,507,23,506,23,1,0
52575,2021-03-15,Henry,Illinois,17073,4385,87,4362,87,23,0
52576,2021-03-15,Iroquois,Illinois,17075,2802,65,2791,64,11,1
52577,2021-03-15,Jackson,Illinois,17077,4650,73,4630,71,20,2
52578,2021-03-15,Jasper,Illinois,17079,1114,19,1114,19,0,0
52579,2021-03-15,Jefferson,Illinois,17081,4014,119,4002,118,12,1
52580,2021-03-15,Jersey,Illinois,17083,2518,67,2500,66,18,1
52581,2021-03-15,Jo Daviess,Illinois,17085,1629,25,1616,25,13,0
52582,2021-03-15,Johnson,Illinois,17087,1362,18,1355,18,7,0
52583,2021-03-15,Kane,Illinois,17089,51672,784,51287,775,385,9
52584,2021-03-15,Kankakee,Illinois,17091,12742,199,12610,198,132,1
52585,2021-03-15,Kendall,Illinois,17093,11772,97,11509,96,263,1
52586,2021-03-15,Knox,Illinois,17095,5035,164,5028,164,7,0
52588,2021-03-15,Lake,Illinois,17097,60810,1014,60237,1005,573,9
