,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
52734,2021-03-15,Adair,Iowa,19001,825,31,816,30,9,1
52735,2021-03-15,Adams,Iowa,19003,319,4,319,4,0,0
52736,2021-03-15,Allamakee,Iowa,19005,1468,48,1449,48,19,0
52737,2021-03-15,Appanoose,Iowa,19007,1237,47,1234,47,3,0
52738,2021-03-15,Audubon,Iowa,19009,479,9,476,9,3,0
52739,2021-03-15,Benton,Iowa,19011,2446,54,2415,54,31,0
52740,2021-03-15,Black Hawk,Iowa,19013,15088,296,14973,294,115,2
52741,2021-03-15,Boone,Iowa,19015,2475,30,2448,30,27,0
52742,2021-03-15,Bremer,Iowa,19017,2734,56,2706,55,28,1
52743,2021-03-15,Buchanan,Iowa,19019,1799,30,1780,29,19,1
52744,2021-03-15,Buena Vista,Iowa,19021,4152,37,4133,37,19,0
52745,2021-03-15,Butler,Iowa,19023,1598,32,1593,31,5,1
52746,2021-03-15,Calhoun,Iowa,19025,1307,11,1297,11,10,0
52747,2021-03-15,Carroll,Iowa,19027,2703,49,2669,49,34,0
52748,2021-03-15,Cass,Iowa,19029,1313,52,1297,51,16,1
52749,2021-03-15,Cedar,Iowa,19031,1754,23,1729,23,25,0
52750,2021-03-15,Cerro Gordo,Iowa,19033,5048,85,5014,83,34,2
52751,2021-03-15,Cherokee,Iowa,19035,1501,37,1463,36,38,1
52752,2021-03-15,Chickasaw,Iowa,19037,1202,15,1199,15,3,0
52753,2021-03-15,Clarke,Iowa,19039,964,21,952,20,12,1
52754,2021-03-15,Clay,Iowa,19041,1899,25,1845,25,54,0
52755,2021-03-15,Clayton,Iowa,19043,1611,55,1602,54,9,1
52756,2021-03-15,Clinton,Iowa,19045,5069,87,5028,84,41,3
52757,2021-03-15,Crawford,Iowa,19047,2570,36,2536,35,34,1
52758,2021-03-15,Dallas,Iowa,19049,10381,93,10235,93,146,0
52759,2021-03-15,Davis,Iowa,19051,772,23,766,23,6,0
52760,2021-03-15,Decatur,Iowa,19053,577,9,571,9,6,0
52761,2021-03-15,Delaware,Iowa,19055,1881,40,1863,40,18,0
52762,2021-03-15,Des Moines,Iowa,19057,4313,61,4286,61,27,0
52763,2021-03-15,Dickinson,Iowa,19059,2111,40,2043,40,68,0
52764,2021-03-15,Dubuque,Iowa,19061,12514,199,12452,196,62,3
52765,2021-03-15,Emmet,Iowa,19063,1168,40,1154,40,14,0
52766,2021-03-15,Fayette,Iowa,19065,1803,36,1795,35,8,1
52767,2021-03-15,Floyd,Iowa,19067,1497,41,1481,41,16,0
52768,2021-03-15,Franklin,Iowa,19069,1102,20,1097,19,5,1
52769,2021-03-15,Fremont,Iowa,19071,565,9,561,9,4,0
52770,2021-03-15,Greene,Iowa,19073,743,10,731,10,12,0
52771,2021-03-15,Grundy,Iowa,19075,1329,31,1325,30,4,1
52772,2021-03-15,Guthrie,Iowa,19077,1107,28,1097,28,10,0
52773,2021-03-15,Hamilton,Iowa,19079,1745,42,1739,42,6,0
52774,2021-03-15,Hancock,Iowa,19081,1389,33,1380,31,9,2
52775,2021-03-15,Hardin,Iowa,19083,1720,39,1703,39,17,0
52776,2021-03-15,Harrison,Iowa,19085,1688,70,1678,70,10,0
52777,2021-03-15,Henry,Iowa,19087,2808,37,2798,37,10,0
52778,2021-03-15,Howard,Iowa,19089,1007,22,997,22,10,0
52779,2021-03-15,Humboldt,Iowa,19091,1147,25,1139,25,8,0
52780,2021-03-15,Ida,Iowa,19093,850,32,821,32,29,0
52781,2021-03-15,Iowa,Iowa,19095,1421,23,1407,23,14,0
52782,2021-03-15,Jackson,Iowa,19097,2115,39,2103,39,12,0
52783,2021-03-15,Jasper,Iowa,19099,3919,69,3881,67,38,2
52784,2021-03-15,Jefferson,Iowa,19101,1291,34,1286,34,5,0
52785,2021-03-15,Johnson,Iowa,19103,13259,76,13178,75,81,1
52786,2021-03-15,Jones,Iowa,19105,2866,55,2853,55,13,0
52787,2021-03-15,Keokuk,Iowa,19107,926,29,925,29,1,0
52788,2021-03-15,Kossuth,Iowa,19109,2014,57,1986,55,28,2
52789,2021-03-15,Lee,Iowa,19111,3549,55,3546,53,3,2
52790,2021-03-15,Linn,Iowa,19113,19625,320,19519,317,106,3
52791,2021-03-15,Louisa,Iowa,19115,1234,48,1226,44,8,4
52792,2021-03-15,Lucas,Iowa,19117,735,21,723,21,12,0
52793,2021-03-15,Lyon,Iowa,19119,1478,41,1457,41,21,0
52794,2021-03-15,Madison,Iowa,19121,1472,18,1433,18,39,0
52795,2021-03-15,Mahaska,Iowa,19123,2174,47,2158,46,16,1
52796,2021-03-15,Marion,Iowa,19125,3458,74,3417,72,41,2
52797,2021-03-15,Marshall,Iowa,19127,4686,74,4654,73,32,1
52798,2021-03-15,Mills,Iowa,19129,1506,20,1485,20,21,0
52799,2021-03-15,Mitchell,Iowa,19131,1224,40,1207,40,17,0
52800,2021-03-15,Monona,Iowa,19133,777,29,765,27,12,2
52801,2021-03-15,Monroe,Iowa,19135,906,28,900,28,6,0
52802,2021-03-15,Montgomery,Iowa,19137,971,36,970,36,1,0
52803,2021-03-15,Muscatine,Iowa,19139,4318,93,4264,93,54,0
52804,2021-03-15,O'Brien,Iowa,19141,1864,58,1836,58,28,0
52805,2021-03-15,Osceola,Iowa,19143,686,15,683,15,3,0
52806,2021-03-15,Page,Iowa,19145,1818,19,1781,19,37,0
52807,2021-03-15,Palo Alto,Iowa,19147,1028,22,1017,21,11,1
52808,2021-03-15,Plymouth,Iowa,19149,3739,79,3691,78,48,1
52809,2021-03-15,Pocahontas,Iowa,19151,818,19,809,19,9,0
52810,2021-03-15,Polk,Iowa,19153,52895,574,52116,562,779,12
52811,2021-03-15,Pottawattamie,Iowa,19155,9999,149,9899,146,100,3
52812,2021-03-15,Poweshiek,Iowa,19157,1498,30,1480,30,18,0
52813,2021-03-15,Ringgold,Iowa,19159,514,22,507,20,7,2
52814,2021-03-15,Sac,Iowa,19161,1208,18,1188,18,20,0
52815,2021-03-15,Scott,Iowa,19163,17349,218,17180,213,169,5
52816,2021-03-15,Shelby,Iowa,19165,1200,34,1176,34,24,0
52817,2021-03-15,Sioux,Iowa,19167,4847,69,4804,69,43,0
52818,2021-03-15,Story,Iowa,19169,9769,46,9654,45,115,1
52819,2021-03-15,Tama,Iowa,19171,2038,68,2031,65,7,3
52820,2021-03-15,Taylor,Iowa,19173,641,12,641,12,0,0
52821,2021-03-15,Union,Iowa,19175,1201,31,1193,31,8,0
52823,2021-03-15,Van Buren,Iowa,19177,538,18,538,18,0,0
52824,2021-03-15,Wapello,Iowa,19179,4131,114,4059,110,72,4
52825,2021-03-15,Warren,Iowa,19181,5240,79,5151,76,89,3
52826,2021-03-15,Washington,Iowa,19183,2412,48,2395,47,17,1
52827,2021-03-15,Wayne,Iowa,19185,490,21,475,21,15,0
52828,2021-03-15,Webster,Iowa,19187,4992,88,4958,88,34,0
52829,2021-03-15,Winnebago,Iowa,19189,1325,31,1305,31,20,0
52830,2021-03-15,Winneshiek,Iowa,19191,1854,30,1837,29,17,1
52831,2021-03-15,Woodbury,Iowa,19193,14088,216,13858,214,230,2
52832,2021-03-15,Worth,Iowa,19195,669,8,667,8,2,0
52833,2021-03-15,Wright,Iowa,19197,1755,31,1745,31,10,0
