,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
53125,2021-03-15,Androscoggin,Maine,23001,5004,57,4904,56,100,1
53126,2021-03-15,Aroostook,Maine,23003,1317,44,1296,43,21,1
53127,2021-03-15,Cumberland,Maine,23005,13249,183,12906,180,343,3
53128,2021-03-15,Franklin,Maine,23007,940,13,920,12,20,1
53129,2021-03-15,Hancock,Maine,23009,962,34,944,34,18,0
53130,2021-03-15,Kennebec,Maine,23011,3926,53,3757,51,169,2
53131,2021-03-15,Knox,Maine,23013,707,5,675,5,32,0
53132,2021-03-15,Lincoln,Maine,23015,609,2,594,2,15,0
53133,2021-03-15,Oxford,Maine,23017,2334,54,2283,52,51,2
53134,2021-03-15,Penobscot,Maine,23019,4215,87,4063,85,152,2
53135,2021-03-15,Piscataquis,Maine,23021,359,2,332,1,27,1
53136,2021-03-15,Sagadahoc,Maine,23023,916,6,896,5,20,1
53137,2021-03-15,Somerset,Maine,23025,1297,27,1266,27,31,0
53138,2021-03-15,Waldo,Maine,23027,641,19,611,19,30,0
53139,2021-03-15,Washington,Maine,23029,740,14,726,14,14,0
53140,2021-03-15,York,Maine,23031,9983,125,9753,120,230,5
