,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
53141,2021-03-15,Allegany,Maryland,24001,6441,201,6423,200,18,1
53142,2021-03-15,Anne Arundel,Maryland,24003,37026,552,36399,545,627,7
53143,2021-03-15,Baltimore,Maryland,24005,52862,1315,51896,1293,966,22
53145,2021-03-15,Calvert,Maryland,24009,3758,73,3711,72,47,1
53146,2021-03-15,Caroline,Maryland,24011,2070,21,2059,20,11,1
53147,2021-03-15,Carroll,Maryland,24013,7846,216,7679,214,167,2
53148,2021-03-15,Cecil,Maryland,24015,5126,124,5068,123,58,1
53149,2021-03-15,Charles,Maryland,24017,9277,164,9106,160,171,4
53150,2021-03-15,Dorchester,Maryland,24019,2403,45,2379,45,24,0
53151,2021-03-15,Frederick,Maryland,24021,17493,287,17228,283,265,4
53152,2021-03-15,Garrett,Maryland,24023,1874,61,1849,61,25,0
53153,2021-03-15,Harford,Maryland,24025,13046,248,12754,241,292,7
53154,2021-03-15,Howard,Maryland,24027,16507,220,16120,220,387,0
53155,2021-03-15,Kent,Maryland,24029,1165,44,1143,43,22,1
53156,2021-03-15,Montgomery,Maryland,24031,64902,1442,64126,1426,776,16
53157,2021-03-15,Prince George's,Maryland,24033,75456,1352,74481,1341,975,11
53158,2021-03-15,Queen Anne's,Maryland,24035,2627,40,2605,38,22,2
53160,2021-03-15,St. Mary's,Maryland,24037,5269,117,5215,115,54,2
53159,2021-03-15,Somerset,Maryland,24039,2424,34,2404,32,20,2
53161,2021-03-15,Talbot,Maryland,24041,1921,35,1907,35,14,0
53163,2021-03-15,Washington,Maryland,24043,12686,259,12529,258,157,1
53164,2021-03-15,Wicomico,Maryland,24045,6919,146,6828,143,91,3
53165,2021-03-15,Worcester,Maryland,24047,3307,92,3287,92,20,0
53144,2021-03-15,Baltimore city,Maryland,24510,41835,909,41021,900,814,9
