,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
53166,2021-03-15,Barnstable,Massachusetts,25001,10764,424,10360,415,404,9
53167,2021-03-15,Berkshire,Massachusetts,25003,4998,266,4907,262,91,4
53168,2021-03-15,Bristol,Massachusetts,25005,57253,1578,56481,1545,772,33
53169,2021-03-15,Dukes,Massachusetts,25007,882,0,877,0,5,0
53170,2021-03-15,Essex,Massachusetts,25009,85985,2227,84840,2206,1145,21
53171,2021-03-15,Franklin,Massachusetts,25011,2064,101,2024,101,40,0
53172,2021-03-15,Hampden,Massachusetts,25013,43501,1396,42697,1372,804,24
53173,2021-03-15,Hampshire,Massachusetts,25015,7851,274,7662,268,189,6
53174,2021-03-15,Middlesex,Massachusetts,25017,115937,3540,113766,3495,2171,45
53175,2021-03-15,Nantucket,Massachusetts,25019,1218,2,1181,2,37,0
53176,2021-03-15,Norfolk,Massachusetts,25021,47375,1671,46398,1653,977,18
53177,2021-03-15,Plymouth,Massachusetts,25023,41786,1344,41010,1324,776,20
53178,2021-03-15,Suffolk,Massachusetts,25025,81002,1752,79724,1720,1278,32
53180,2021-03-15,Worcester,Massachusetts,25027,67656,2089,66592,2063,1064,26
