,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
53181,2021-03-15,Alcona,Michigan,26001,436,24,433,24,3,0
53182,2021-03-15,Alger,Michigan,26003,584,5,584,5,0,0
53183,2021-03-15,Allegan,Michigan,26005,7598,118,7434,118,164,0
53184,2021-03-15,Alpena,Michigan,26007,1512,48,1505,48,7,0
53185,2021-03-15,Antrim,Michigan,26009,1234,20,1184,20,50,0
53186,2021-03-15,Arenac,Michigan,26011,772,25,767,25,5,0
53187,2021-03-15,Baraga,Michigan,26013,786,34,777,33,9,1
53188,2021-03-15,Barry,Michigan,26015,3897,49,3833,47,64,2
53189,2021-03-15,Bay,Michigan,26017,7697,297,7564,294,133,3
53190,2021-03-15,Benzie,Michigan,26019,949,32,934,31,15,1
53191,2021-03-15,Berrien,Michigan,26021,11981,247,11755,245,226,2
53192,2021-03-15,Branch,Michigan,26023,4674,111,4631,111,43,0
53193,2021-03-15,Calhoun,Michigan,26025,10213,239,9872,236,341,3
53194,2021-03-15,Cass,Michigan,26027,4222,67,4100,64,122,3
53195,2021-03-15,Charlevoix,Michigan,26029,1325,13,1296,13,29,0
53196,2021-03-15,Cheboygan,Michigan,26031,1101,38,1046,38,55,0
53197,2021-03-15,Chippewa,Michigan,26033,4912,43,4891,43,21,0
53198,2021-03-15,Clare,Michigan,26035,1637,69,1625,69,12,0
53199,2021-03-15,Clinton,Michigan,26037,5301,72,5114,72,187,0
53200,2021-03-15,Crawford,Michigan,26039,624,5,609,5,15,0
53201,2021-03-15,Delta,Michigan,26041,3191,85,3162,85,29,0
53202,2021-03-15,Dickinson,Michigan,26043,2389,70,2376,70,13,0
53203,2021-03-15,Eaton,Michigan,26045,6611,158,6426,156,185,2
53204,2021-03-15,Emmet,Michigan,26047,1869,39,1845,39,24,0
53205,2021-03-15,Genesee,Michigan,26049,26979,762,26204,757,775,5
53206,2021-03-15,Gladwin,Michigan,26051,1510,43,1500,43,10,0
53207,2021-03-15,Gogebic,Michigan,26053,1298,49,1290,48,8,1
53208,2021-03-15,Grand Traverse,Michigan,26055,4543,73,4403,71,140,2
53209,2021-03-15,Gratiot,Michigan,26057,5713,108,5691,108,22,0
53210,2021-03-15,Hillsdale,Michigan,26059,3448,77,3399,76,49,1
53211,2021-03-15,Houghton,Michigan,26061,2703,39,2692,40,11,-1
53212,2021-03-15,Huron,Michigan,26063,2400,60,2226,59,174,1
53213,2021-03-15,Ingham,Michigan,26065,17251,287,16761,282,490,5
53214,2021-03-15,Ionia,Michigan,26067,7212,79,7111,76,101,3
53215,2021-03-15,Iosco,Michigan,26069,1294,67,1284,67,10,0
53216,2021-03-15,Iron,Michigan,26071,927,49,928,49,-1,0
53217,2021-03-15,Isabella,Michigan,26073,4125,73,4071,73,54,0
53218,2021-03-15,Jackson,Michigan,26075,14736,257,14401,255,335,2
53219,2021-03-15,Kalamazoo,Michigan,26077,15739,324,15334,323,405,1
53220,2021-03-15,Kalkaska,Michigan,26079,675,15,647,15,28,0
53221,2021-03-15,Kent,Michigan,26081,53185,721,52430,717,755,4
53222,2021-03-15,Keweenaw,Michigan,26083,148,2,145,2,3,0
53223,2021-03-15,Lake,Michigan,26085,380,11,370,11,10,0
53224,2021-03-15,Lapeer,Michigan,26087,5924,132,5725,131,199,1
53225,2021-03-15,Leelanau,Michigan,26089,925,15,894,15,31,0
53226,2021-03-15,Lenawee,Michigan,26091,8003,131,7895,129,108,2
53227,2021-03-15,Livingston,Michigan,26093,11000,151,10658,149,342,2
53228,2021-03-15,Luce,Michigan,26095,1094,2,1088,2,6,0
53229,2021-03-15,Mackinac,Michigan,26097,450,3,448,3,2,0
53230,2021-03-15,Macomb,Michigan,26099,62710,2000,60810,1986,1900,14
53231,2021-03-15,Manistee,Michigan,26101,1555,23,1544,23,11,0
53232,2021-03-15,Marquette,Michigan,26103,4869,57,4832,57,37,0
53233,2021-03-15,Mason,Michigan,26105,1266,26,1253,26,13,0
53234,2021-03-15,Mecosta,Michigan,26107,2074,21,2049,20,25,1
53235,2021-03-15,Menominee,Michigan,26109,1898,38,1885,38,13,0
53236,2021-03-15,Midland,Michigan,26111,5221,66,5114,66,107,0
53237,2021-03-15,Missaukee,Michigan,26113,900,18,822,18,78,0
53238,2021-03-15,Monroe,Michigan,26115,10379,207,10067,204,312,3
53239,2021-03-15,Montcalm,Michigan,26117,5731,96,5689,94,42,2
53240,2021-03-15,Montmorency,Michigan,26119,372,18,369,17,3,1
53241,2021-03-15,Muskegon,Michigan,26121,12842,318,12747,317,95,1
53242,2021-03-15,Newaygo,Michigan,26123,3043,52,2949,51,94,1
53243,2021-03-15,Oakland,Michigan,26125,78091,2027,76119,2019,1972,8
53244,2021-03-15,Oceana,Michigan,26127,1912,50,1895,50,17,0
53245,2021-03-15,Ogemaw,Michigan,26129,1130,34,1118,34,12,0
