,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
53265,2021-03-15,Aitkin,Minnesota,27001,1198,33,1192,33,6,0
53266,2021-03-15,Anoka,Minnesota,27003,34081,402,33583,393,498,9
53267,2021-03-15,Becker,Minnesota,27005,3190,47,3154,43,36,4
53268,2021-03-15,Beltrami,Minnesota,27007,3425,54,3395,51,30,3
53269,2021-03-15,Benton,Minnesota,27009,4668,94,4523,90,145,4
53270,2021-03-15,Big Stone,Minnesota,27011,528,4,519,3,9,1
53271,2021-03-15,Blue Earth,Minnesota,27013,6238,37,6064,36,174,1
53272,2021-03-15,Brown,Minnesota,27015,2558,39,2495,37,63,2
53273,2021-03-15,Carlton,Minnesota,27017,3031,50,3006,49,25,1
53274,2021-03-15,Carver,Minnesota,27019,8206,41,7937,41,269,0
53275,2021-03-15,Cass,Minnesota,27021,2253,26,2221,24,32,2
53276,2021-03-15,Chippewa,Minnesota,27023,1392,35,1372,35,20,0
53277,2021-03-15,Chisago,Minnesota,27025,5098,47,5030,45,68,2
53278,2021-03-15,Clay,Minnesota,27027,7047,89,6965,88,82,1
53279,2021-03-15,Clearwater,Minnesota,27029,727,14,720,14,7,0
53280,2021-03-15,Cook,Minnesota,27031,127,0,119,0,8,0
53281,2021-03-15,Cottonwood,Minnesota,27033,1396,20,1363,20,33,0
53282,2021-03-15,Crow Wing,Minnesota,27035,5290,85,5240,82,50,3
53283,2021-03-15,Dakota,Minnesota,27037,37433,400,36754,395,679,5
53284,2021-03-15,Dodge,Minnesota,27039,1573,4,1546,4,27,0
53285,2021-03-15,Douglas,Minnesota,27041,3995,70,3951,68,44,2
53286,2021-03-15,Faribault,Minnesota,27043,1292,18,1252,17,40,1
53287,2021-03-15,Fillmore,Minnesota,27045,1435,9,1408,9,27,0
53288,2021-03-15,Freeborn,Minnesota,27047,2946,25,2877,24,69,1
53289,2021-03-15,Goodhue,Minnesota,27049,3966,69,3909,69,57,0
53290,2021-03-15,Grant,Minnesota,27051,495,8,492,8,3,0
53291,2021-03-15,Hennepin,Minnesota,27053,103329,1627,101776,1593,1553,34
53292,2021-03-15,Houston,Minnesota,27055,1588,14,1583,14,5,0
53293,2021-03-15,Hubbard,Minnesota,27057,1618,41,1610,41,8,0
53294,2021-03-15,Isanti,Minnesota,27059,3147,56,3103,56,44,0
53295,2021-03-15,Itasca,Minnesota,27061,3221,51,3156,46,65,5
53296,2021-03-15,Jackson,Minnesota,27063,952,10,947,10,5,0
53297,2021-03-15,Kanabec,Minnesota,27065,1119,21,1091,20,28,1
53298,2021-03-15,Kandiyohi,Minnesota,27067,5898,78,5828,74,70,4
53299,2021-03-15,Kittson,Minnesota,27069,420,22,411,21,9,1
53300,2021-03-15,Koochiching,Minnesota,27071,625,11,622,11,3,0
53301,2021-03-15,Lac qui Parle,Minnesota,27073,701,17,688,16,13,1
53302,2021-03-15,Lake,Minnesota,27075,748,18,742,18,6,0
53303,2021-03-15,Lake of the Woods,Minnesota,27077,229,1,225,1,4,0
53304,2021-03-15,Le Sueur,Minnesota,27079,2430,22,2388,20,42,2
53305,2021-03-15,Lincoln,Minnesota,27081,515,2,512,2,3,0
53306,2021-03-15,Lyon,Minnesota,27083,3176,46,3140,45,36,1
53310,2021-03-15,McLeod,Minnesota,27085,3496,54,3421,50,75,4
53307,2021-03-15,Mahnomen,Minnesota,27087,448,7,443,7,5,0
53308,2021-03-15,Marshall,Minnesota,27089,797,16,787,15,10,1
53309,2021-03-15,Martin,Minnesota,27091,1937,29,1909,29,28,0
53311,2021-03-15,Meeker,Minnesota,27093,2103,34,2085,34,18,0
53312,2021-03-15,Mille Lacs,Minnesota,27095,2366,47,2305,47,61,0
53313,2021-03-15,Morrison,Minnesota,27097,3405,52,3285,47,120,5
53314,2021-03-15,Mower,Minnesota,27099,4220,31,4134,31,86,0
53315,2021-03-15,Murray,Minnesota,27101,962,8,955,8,7,0
53316,2021-03-15,Nicollet,Minnesota,27103,2707,42,2639,41,68,1
53317,2021-03-15,Nobles,Minnesota,27105,3889,47,3875,47,14,0
53318,2021-03-15,Norman,Minnesota,27107,490,9,481,8,9,1
53319,2021-03-15,Olmsted,Minnesota,27109,12049,93,11884,90,165,3
53320,2021-03-15,Otter Tail,Minnesota,27111,4937,71,4873,71,64,0
53321,2021-03-15,Pennington,Minnesota,27113,1440,18,1398,16,42,2
53322,2021-03-15,Pine,Minnesota,27115,2864,20,2838,16,26,4
53323,2021-03-15,Pipestone,Minnesota,27117,1020,24,1019,24,1,0
53324,2021-03-15,Polk,Minnesota,27119,3467,65,3454,63,13,2
53325,2021-03-15,Pope,Minnesota,27121,846,6,818,5,28,1
53326,2021-03-15,Ramsey,Minnesota,27123,43890,829,43406,812,484,17
53327,2021-03-15,Red Lake,Minnesota,27125,369,5,361,5,8,0
53328,2021-03-15,Redwood,Minnesota,27127,1495,34,1471,27,24,7
53329,2021-03-15,Renville,Minnesota,27129,1548,41,1531,40,17,1
53330,2021-03-15,Rice,Minnesota,27131,6888,95,6790,92,98,3
53331,2021-03-15,Rock,Minnesota,27133,1174,16,1165,14,9,2
53332,2021-03-15,Roseau,Minnesota,27135,1823,17,1812,17,11,0
53336,2021-03-15,St. Louis,Minnesota,27137,15215,289,14923,266,292,23
53333,2021-03-15,Scott,Minnesota,27139,13813,108,13467,107,346,1
53334,2021-03-15,Sherburne,Minnesota,27141,9013,77,8800,74,213,3
53335,2021-03-15,Sibley,Minnesota,27143,1207,10,1184,10,23,0
53337,2021-03-15,Stearns,Minnesota,27145,19094,209,18857,202,237,7
53338,2021-03-15,Steele,Minnesota,27147,3138,11,3049,11,89,0
53339,2021-03-15,Stevens,Minnesota,27149,757,9,747,8,10,1
53340,2021-03-15,Swift,Minnesota,27151,895,18,878,18,17,0
53341,2021-03-15,Todd,Minnesota,27153,2524,30,2503,30,21,0
53342,2021-03-15,Traverse,Minnesota,27155,317,5,311,5,6,0
53344,2021-03-15,Wabasha,Minnesota,27157,1902,3,1874,3,28,0
53345,2021-03-15,Wadena,Minnesota,27159,1336,20,1317,20,19,0
53346,2021-03-15,Waseca,Minnesota,27161,2137,19,2115,17,22,2
53347,2021-03-15,Washington,Minnesota,27163,22501,268,22264,262,237,6
53348,2021-03-15,Watonwan,Minnesota,27165,1190,8,1185,8,5,0
53349,2021-03-15,Wilkin,Minnesota,27167,687,11,677,11,10,0
53350,2021-03-15,Winona,Minnesota,27169,4247,49,4197,49,50,0
53351,2021-03-15,Wright,Minnesota,27171,12842,119,12650,116,192,3
53352,2021-03-15,Yellow Medicine,Minnesota,27173,989,17,979,17,10,0
