,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
53353,2021-03-15,Adams,Mississippi,28001,2379,79,2362,78,17,1
53354,2021-03-15,Alcorn,Mississippi,28003,2939,63,2928,63,11,0
53355,2021-03-15,Amite,Mississippi,28005,1148,37,1125,35,23,2
53356,2021-03-15,Attala,Mississippi,28007,2111,72,2105,71,6,1
53357,2021-03-15,Benton,Mississippi,28009,951,24,940,24,11,0
53358,2021-03-15,Bolivar,Mississippi,28011,4660,125,4633,124,27,1
53359,2021-03-15,Calhoun,Mississippi,28013,1605,29,1587,28,18,1
53360,2021-03-15,Carroll,Mississippi,28015,1200,25,1197,25,3,0
53361,2021-03-15,Chickasaw,Mississippi,28017,2024,55,2020,54,4,1
53362,2021-03-15,Choctaw,Mississippi,28019,717,17,703,17,14,0
53363,2021-03-15,Claiborne,Mississippi,28021,998,30,991,30,7,0
53364,2021-03-15,Clarke,Mississippi,28023,1723,74,1707,73,16,1
53365,2021-03-15,Clay,Mississippi,28025,1801,53,1794,52,7,1
53366,2021-03-15,Coahoma,Mississippi,28027,2859,71,2831,69,28,2
53367,2021-03-15,Copiah,Mississippi,28029,2830,59,2801,59,29,0
53368,2021-03-15,Covington,Mississippi,28031,2518,80,2504,80,14,0
53369,2021-03-15,DeSoto,Mississippi,28033,20047,238,19831,231,216,7
53370,2021-03-15,Forrest,Mississippi,28035,7388,141,7300,138,88,3
53371,2021-03-15,Franklin,Mississippi,28037,785,21,765,20,20,1
53372,2021-03-15,George,Mississippi,28039,2339,45,2328,45,11,0
53373,2021-03-15,Greene,Mississippi,28041,1288,33,1281,33,7,0
53374,2021-03-15,Grenada,Mississippi,28043,2516,80,2491,78,25,2
53375,2021-03-15,Hancock,Mississippi,28045,3587,80,3535,78,52,2
53376,2021-03-15,Harrison,Mississippi,28047,17117,292,16904,283,213,9
53377,2021-03-15,Hinds,Mississippi,28049,19298,397,18971,395,327,2
53378,2021-03-15,Holmes,Mississippi,28051,1836,70,1834,70,2,0
53379,2021-03-15,Humphreys,Mississippi,28053,937,29,931,28,6,1
53380,2021-03-15,Issaquena,Mississippi,28055,167,6,167,6,0,0
53381,2021-03-15,Itawamba,Mississippi,28057,2924,76,2907,75,17,1
53382,2021-03-15,Jackson,Mississippi,28059,12869,235,12756,234,113,1
53383,2021-03-15,Jasper,Mississippi,28061,2173,47,2146,45,27,2
53384,2021-03-15,Jefferson,Mississippi,28063,634,27,629,27,5,0
53385,2021-03-15,Jefferson Davis,Mississippi,28065,1034,31,1029,31,5,0
53386,2021-03-15,Jones,Mississippi,28067,8144,152,8045,148,99,4
53387,2021-03-15,Kemper,Mississippi,28069,927,24,915,23,12,1
53388,2021-03-15,Lafayette,Mississippi,28071,5835,114,5768,114,67,0
53389,2021-03-15,Lamar,Mississippi,28073,5992,84,5942,82,50,2
53390,2021-03-15,Lauderdale,Mississippi,28075,6940,230,6879,228,61,2
53391,2021-03-15,Lawrence,Mississippi,28077,1227,22,1217,21,10,1
53392,2021-03-15,Leake,Mississippi,28079,2567,72,2548,72,19,0
53393,2021-03-15,Lee,Mississippi,28081,9768,166,9725,163,43,3
53394,2021-03-15,Leflore,Mississippi,28083,3419,123,3404,122,15,1
53395,2021-03-15,Lincoln,Mississippi,28085,3734,104,3632,104,102,0
53396,2021-03-15,Lowndes,Mississippi,28087,6183,143,6062,140,121,3
53397,2021-03-15,Madison,Mississippi,28089,9663,206,9525,204,138,2
53398,2021-03-15,Marion,Mississippi,28091,2614,78,2588,78,26,0
53399,2021-03-15,Marshall,Mississippi,28093,4114,97,4067,95,47,2
53400,2021-03-15,Monroe,Mississippi,28095,4027,130,3998,129,29,1
53401,2021-03-15,Montgomery,Mississippi,28097,1246,40,1235,40,11,0
