,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
53702,2021-03-15,Churchill,Nevada,32001,1937,49,1929,49,8,0
53703,2021-03-15,Clark,Nevada,32003,231416,4007,228806,3934,2610,73
53704,2021-03-15,Douglas,Nevada,32005,2589,33,2553,33,36,0
53705,2021-03-15,Elko,Nevada,32007,4613,52,4590,51,23,1
53706,2021-03-15,Esmeralda,Nevada,32009,37,0,37,0,0,0
53707,2021-03-15,Eureka,Nevada,32011,50,0,50,0,0,0
53708,2021-03-15,Humboldt,Nevada,32013,1071,13,1067,13,4,0
53709,2021-03-15,Lander,Nevada,32015,443,9,443,9,0,0
53710,2021-03-15,Lincoln,Nevada,32017,348,1,348,1,0,0
53711,2021-03-15,Lyon,Nevada,32019,2821,57,2784,57,37,0
53712,2021-03-15,Mineral,Nevada,32021,303,6,303,6,0,0
53713,2021-03-15,Nye,Nevada,32023,2843,95,2816,94,27,1
53714,2021-03-15,Pershing,Nevada,32027,943,20,943,20,0,0
53715,2021-03-15,Storey,Nevada,32029,83,3,81,3,2,0
53716,2021-03-15,Washoe,Nevada,32031,43503,655,43227,649,276,6
53717,2021-03-15,White Pine,Nevada,32033,550,5,549,5,1,0
53701,2021-03-15,Carson City,Nevada,32510,5980,116,5944,116,36,0
