,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
53751,2021-03-15,Bernalillo,New Mexico,35001,53654,886,53149,879,505,7
53752,2021-03-15,Catron,New Mexico,35003,82,5,83,5,-1,0
53753,2021-03-15,Chaves,New Mexico,35005,8921,157,8895,154,26,3
53754,2021-03-15,Cibola,New Mexico,35006,3438,106,3414,106,24,0
53755,2021-03-15,Colfax,New Mexico,35007,867,47,861,47,6,0
53756,2021-03-15,Curry,New Mexico,35009,4978,70,4952,68,26,2
53757,2021-03-15,De Baca,New Mexico,35011,133,1,132,0,1,1
53758,2021-03-15,Doña Ana,New Mexico,35013,23523,408,23286,403,237,5
53759,2021-03-15,Eddy,New Mexico,35015,6569,120,6532,117,37,3
53760,2021-03-15,Grant,New Mexico,35017,1571,35,1520,35,51,0
53761,2021-03-15,Guadalupe,New Mexico,35019,616,9,615,9,1,0
53762,2021-03-15,Harding,New Mexico,35021,8,0,8,0,0,0
53763,2021-03-15,Hidalgo,New Mexico,35023,350,9,350,9,0,0
53764,2021-03-15,Lea,New Mexico,35025,8877,155,8843,150,34,5
53765,2021-03-15,Lincoln,New Mexico,35027,1574,16,1557,16,17,0
53766,2021-03-15,Los Alamos,New Mexico,35028,490,5,486,5,4,0
53767,2021-03-15,Luna,New Mexico,35029,3148,84,3121,80,27,4
53768,2021-03-15,McKinley,New Mexico,35031,12093,452,12073,450,20,2
53769,2021-03-15,Mora,New Mexico,35033,167,6,162,6,5,0
53770,2021-03-15,Otero,New Mexico,35035,4599,67,4508,64,91,3
53771,2021-03-15,Quay,New Mexico,35037,425,8,421,8,4,0
53772,2021-03-15,Rio Arriba,New Mexico,35039,3442,70,3426,70,16,0
53773,2021-03-15,Roosevelt,New Mexico,35041,1851,51,1843,50,8,1
53776,2021-03-15,Sandoval,New Mexico,35043,11066,213,10988,209,78,4
53774,2021-03-15,San Juan,New Mexico,35045,13618,451,13581,450,37,1
53775,2021-03-15,San Miguel,New Mexico,35047,1277,13,1246,13,31,0
53777,2021-03-15,Santa Fe,New Mexico,35049,9939,140,9870,140,69,0
53778,2021-03-15,Sierra,New Mexico,35051,707,45,704,45,3,0
53779,2021-03-15,Socorro,New Mexico,35053,1233,56,1228,56,5,0
53780,2021-03-15,Taos,New Mexico,35055,1592,49,1562,49,30,0
53781,2021-03-15,Torrance,New Mexico,35057,708,12,705,12,3,0
53782,2021-03-15,Union,New Mexico,35059,411,9,404,9,7,0
53783,2021-03-15,Valencia,New Mexico,35061,6561,100,6515,99,46,1
