,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
53784,2021-03-15,Albany,New York,36001,21645,339,21302,335,343,4
53785,2021-03-15,Allegany,New York,36003,2959,82,2936,82,23,0
53786,2021-03-15,Broome,New York,36007,15853,341,15497,339,356,2
53787,2021-03-15,Cattaraugus,New York,36009,4575,79,4500,77,75,2
53788,2021-03-15,Cayuga,New York,36011,5486,90,5441,90,45,0
53789,2021-03-15,Chautauqua,New York,36013,7562,129,7455,126,107,3
53790,2021-03-15,Chemung,New York,36015,6566,131,6491,131,75,0
53791,2021-03-15,Chenango,New York,36017,2570,70,2505,70,65,0
53792,2021-03-15,Clinton,New York,36019,3900,29,3803,27,97,2
53793,2021-03-15,Columbia,New York,36021,3509,97,3460,96,49,1
53794,2021-03-15,Cortland,New York,36023,3304,60,3250,60,54,0
53795,2021-03-15,Delaware,New York,36025,1707,34,1605,33,102,1
53796,2021-03-15,Dutchess,New York,36027,23928,418,23084,414,844,4
53797,2021-03-15,Erie,New York,36029,68543,1631,66987,1621,1556,10
53798,2021-03-15,Essex,New York,36031,1406,26,1379,26,27,0
53799,2021-03-15,Franklin,New York,36033,2218,12,2187,12,31,0
53800,2021-03-15,Fulton,New York,36035,3536,85,3452,85,84,0
53801,2021-03-15,Genesee,New York,36037,4583,120,4491,120,92,0
53802,2021-03-15,Greene,New York,36039,2784,71,2713,71,71,0
53803,2021-03-15,Hamilton,New York,36041,290,2,286,2,4,0
53804,2021-03-15,Herkimer,New York,36043,4649,107,4613,107,36,0
53805,2021-03-15,Jefferson,New York,36045,5024,63,4920,63,104,0
53806,2021-03-15,Lewis,New York,36049,2147,31,2107,30,40,1
53807,2021-03-15,Livingston,New York,36051,3668,57,3614,56,54,1
53808,2021-03-15,Madison,New York,36053,3944,85,3898,85,46,0
53809,2021-03-15,Monroe,New York,36055,54271,1005,53518,999,753,6
53810,2021-03-15,Montgomery,New York,36057,3337,107,3269,107,68,0
53811,2021-03-15,Nassau,New York,36059,157362,2987,153099,2962,4263,25
53813,2021-03-15,Niagara,New York,36063,15816,323,15590,316,226,7
53814,2021-03-15,Oneida,New York,36065,20236,486,19962,481,274,5
53815,2021-03-15,Onondaga,New York,36067,33203,645,32857,637,346,8
53816,2021-03-15,Ontario,New York,36069,6030,90,5925,90,105,0
53817,2021-03-15,Orange,New York,36071,39590,661,38322,648,1268,13
53818,2021-03-15,Orleans,New York,36073,2510,82,2481,82,29,0
53819,2021-03-15,Oswego,New York,36075,6262,89,6141,89,121,0
53820,2021-03-15,Otsego,New York,36077,2616,44,2499,43,117,1
53821,2021-03-15,Putnam,New York,36079,8836,88,8592,86,244,2
53822,2021-03-15,Rensselaer,New York,36083,9484,132,9275,132,209,0
53823,2021-03-15,Rockland,New York,36087,40988,700,39805,694,1183,6
53829,2021-03-15,St. Lawrence,New York,36089,5800,92,5726,91,74,1
53824,2021-03-15,Saratoga,New York,36091,12543,151,12274,149,269,2
53825,2021-03-15,Schenectady,New York,36093,11244,185,11053,178,191,7
53826,2021-03-15,Schoharie,New York,36095,1300,13,1254,13,46,0
53827,2021-03-15,Schuyler,New York,36097,885,12,874,12,11,0
53828,2021-03-15,Seneca,New York,36099,1704,55,1657,54,47,1
53830,2021-03-15,Steuben,New York,36101,5674,140,5598,139,76,1
53831,2021-03-15,Suffolk,New York,36103,171298,3162,167049,3126,4249,36
53832,2021-03-15,Sullivan,New York,36105,5033,62,4899,60,134,2
53833,2021-03-15,Tioga,New York,36107,2945,56,2869,56,76,0
53834,2021-03-15,Tompkins,New York,36109,3622,47,3529,43,93,4
53835,2021-03-15,Ulster,New York,36111,10784,233,10357,233,427,0
53836,2021-03-15,Warren,New York,36113,2977,55,2917,55,60,0
53837,2021-03-15,Washington,New York,36115,2471,54,2412,54,59,0
53838,2021-03-15,Wayne,New York,36117,4631,65,4552,65,79,0
53839,2021-03-15,Westchester,New York,36119,113203,2149,110599,2128,2604,21
53840,2021-03-15,Wyoming,New York,36121,2958,49,2898,49,60,0
53841,2021-03-15,Yates,New York,36123,1036,26,1025,26,11,0
