,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
53842,2021-03-15,Alamance,North Carolina,37001,16231,237,16003,231,228,6
53843,2021-03-15,Alexander,North Carolina,37003,4013,82,3957,76,56,6
53844,2021-03-15,Alleghany,North Carolina,37005,934,5,930,5,4,0
53845,2021-03-15,Anson,North Carolina,37007,2384,53,2338,53,46,0
53846,2021-03-15,Ashe,North Carolina,37009,1910,40,1899,40,11,0
53847,2021-03-15,Avery,North Carolina,37011,1920,20,1857,20,63,0
53848,2021-03-15,Beaufort,North Carolina,37013,4356,84,4296,83,60,1
53849,2021-03-15,Bertie,North Carolina,37015,1684,41,1667,41,17,0
53850,2021-03-15,Bladen,North Carolina,37017,3038,41,2987,41,51,0
53851,2021-03-15,Brunswick,North Carolina,37019,8296,138,8161,137,135,1
53852,2021-03-15,Buncombe,North Carolina,37021,15955,304,15803,303,152,1
53853,2021-03-15,Burke,North Carolina,37023,9403,145,9304,142,99,3
53854,2021-03-15,Cabarrus,North Carolina,37025,19038,238,18801,237,237,1
53855,2021-03-15,Caldwell,North Carolina,37027,8792,94,8735,87,57,7
53856,2021-03-15,Camden,North Carolina,37029,607,5,596,5,11,0
53857,2021-03-15,Carteret,North Carolina,37031,4574,45,4486,44,88,1
53858,2021-03-15,Caswell,North Carolina,37033,2024,25,2001,24,23,1
53859,2021-03-15,Catawba,North Carolina,37035,17855,286,17648,286,207,0
53860,2021-03-15,Chatham,North Carolina,37037,4245,80,4182,79,63,1
53861,2021-03-15,Cherokee,North Carolina,37039,2167,19,2139,19,28,0
53862,2021-03-15,Chowan,North Carolina,37041,1390,22,1383,22,7,0
53863,2021-03-15,Clay,North Carolina,37043,668,18,663,18,5,0
53864,2021-03-15,Cleveland,North Carolina,37045,10601,218,10463,218,138,0
53865,2021-03-15,Columbus,North Carolina,37047,6009,147,5946,147,63,0
