,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
54399,2021-03-15,Aurora,South Dakota,46003,454,15,454,15,0,0
54400,2021-03-15,Beadle,South Dakota,46005,2825,39,2791,39,34,0
54401,2021-03-15,Bennett,South Dakota,46007,383,9,382,9,1,0
54402,2021-03-15,Bon Homme,South Dakota,46009,1510,26,1509,25,1,1
54403,2021-03-15,Brookings,South Dakota,46011,3663,37,3623,37,40,0
54404,2021-03-15,Brown,South Dakota,46013,5207,89,5175,89,32,0
54405,2021-03-15,Brule,South Dakota,46015,697,9,695,9,2,0
54406,2021-03-15,Buffalo,South Dakota,46017,421,13,420,13,1,0
54407,2021-03-15,Butte,South Dakota,46019,990,20,986,20,4,0
54408,2021-03-15,Campbell,South Dakota,46021,131,4,131,4,0,0
54409,2021-03-15,Charles Mix,South Dakota,46023,1320,21,1309,21,11,0
54410,2021-03-15,Clark,South Dakota,46025,377,5,375,5,2,0
54411,2021-03-15,Clay,South Dakota,46027,1823,15,1810,15,13,0
54412,2021-03-15,Codington,South Dakota,46029,4093,77,4030,77,63,0
54413,2021-03-15,Corson,South Dakota,46031,473,12,472,12,1,0
54414,2021-03-15,Custer,South Dakota,46033,768,12,764,12,4,0
54415,2021-03-15,Davison,South Dakota,46035,3000,65,2972,64,28,1
54416,2021-03-15,Day,South Dakota,46037,675,29,672,28,3,1
54417,2021-03-15,Deuel,South Dakota,46039,479,8,476,8,3,0
54418,2021-03-15,Dewey,South Dakota,46041,1434,26,1423,26,11,0
54419,2021-03-15,Douglas,South Dakota,46043,437,9,434,9,3,0
54420,2021-03-15,Edmunds,South Dakota,46045,488,13,487,12,1,1
54421,2021-03-15,Fall River,South Dakota,46047,553,15,546,15,7,0
54422,2021-03-15,Faulk,South Dakota,46049,362,13,362,13,0,0
54423,2021-03-15,Grant,South Dakota,46051,988,39,980,38,8,1
54424,2021-03-15,Gregory,South Dakota,46053,555,30,547,30,8,0
54425,2021-03-15,Haakon,South Dakota,46055,258,10,256,10,2,0
54426,2021-03-15,Hamlin,South Dakota,46057,729,38,722,38,7,0
54427,2021-03-15,Hand,South Dakota,46059,350,6,343,6,7,0
54428,2021-03-15,Hanson,South Dakota,46061,370,4,367,4,3,0
54429,2021-03-15,Harding,South Dakota,46063,92,1,92,1,0,0
54430,2021-03-15,Hughes,South Dakota,46065,2333,36,2321,36,12,0
54431,2021-03-15,Hutchinson,South Dakota,46067,796,26,790,26,6,0
54432,2021-03-15,Hyde,South Dakota,46069,139,1,139,1,0,0
54433,2021-03-15,Jackson,South Dakota,46071,281,14,280,14,1,0
54434,2021-03-15,Jerauld,South Dakota,46073,275,16,275,16,0,0
54435,2021-03-15,Jones,South Dakota,46075,86,0,85,0,1,0
54436,2021-03-15,Kingsbury,South Dakota,46077,653,14,647,14,6,0
54437,2021-03-15,Lake,South Dakota,46079,1237,18,1219,18,18,0
54438,2021-03-15,Lawrence,South Dakota,46081,2840,45,2834,45,6,0
54439,2021-03-15,Lincoln,South Dakota,46083,7944,77,7856,77,88,0
54440,2021-03-15,Lyman,South Dakota,46085,607,10,603,10,4,0
54442,2021-03-15,McCook,South Dakota,46087,766,24,750,24,16,0
54443,2021-03-15,McPherson,South Dakota,46089,240,4,241,4,-1,0
54441,2021-03-15,Marshall,South Dakota,46091,349,6,337,5,12,1
54444,2021-03-15,Meade,South Dakota,46093,2642,31,2618,31,24,0
54445,2021-03-15,Mellette,South Dakota,46095,256,2,257,2,-1,0
54446,2021-03-15,Miner,South Dakota,46097,277,9,274,9,3,0
54447,2021-03-15,Minnehaha,South Dakota,46099,28662,337,28332,334,330,3
54448,2021-03-15,Moody,South Dakota,46101,621,17,620,17,1,0
54449,2021-03-15,Oglala Lakota,South Dakota,46102,2075,49,2065,49,10,0
54450,2021-03-15,Pennington,South Dakota,46103,13072,189,12992,188,80,1
54451,2021-03-15,Perkins,South Dakota,46105,348,14,348,14,0,0
54452,2021-03-15,Potter,South Dakota,46107,384,4,378,4,6,0
54453,2021-03-15,Roberts,South Dakota,46109,1261,36,1224,36,37,0
54454,2021-03-15,Sanborn,South Dakota,46111,335,3,335,3,0,0
54455,2021-03-15,Spink,South Dakota,46115,814,26,804,26,10,0
54456,2021-03-15,Stanley,South Dakota,46117,338,2,335,2,3,0
54457,2021-03-15,Sully,South Dakota,46119,137,3,137,3,0,0
54458,2021-03-15,Todd,South Dakota,46121,1220,29,1219,29,1,0
54459,2021-03-15,Tripp,South Dakota,46123,720,16,713,16,7,0
54460,2021-03-15,Turner,South Dakota,46125,1091,53,1074,53,17,0
54461,2021-03-15,Union,South Dakota,46127,2035,40,2006,39,29,1
54462,2021-03-15,Walworth,South Dakota,46129,733,15,729,15,4,0
54463,2021-03-15,Yankton,South Dakota,46135,2840,28,2818,28,22,0
54464,2021-03-15,Ziebach,South Dakota,46137,337,9,336,9,1,0
