,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
54815,2021-03-15,Beaver,Utah,49001,702,6,675,6,27,0
54816,2021-03-15,Box Elder,Utah,49003,4933,47,4881,46,52,1
54817,2021-03-15,Cache,Utah,49005,15208,39,15004,38,204,1
54818,2021-03-15,Carbon,Utah,49007,1538,13,1506,12,32,1
54819,2021-03-15,Daggett,Utah,49009,37,0,37,0,0,0
54820,2021-03-15,Davis,Utah,49011,35483,148,35107,141,376,7
54821,2021-03-15,Duchesne,Utah,49013,1144,9,1134,9,10,0
54822,2021-03-15,Emery,Utah,49015,852,9,823,9,29,0
54823,2021-03-15,Garfield,Utah,49017,457,9,447,9,10,0
54824,2021-03-15,Grand,Utah,49019,696,3,675,3,21,0
54825,2021-03-15,Iron,Utah,49021,5127,33,5085,32,42,1
54826,2021-03-15,Juab,Utah,49023,1232,12,1211,10,21,2
54827,2021-03-15,Kane,Utah,49025,608,5,577,4,31,1
54828,2021-03-15,Millard,Utah,49027,1378,11,1367,11,11,0
54829,2021-03-15,Morgan,Utah,49029,1146,11,1139,11,7,0
54830,2021-03-15,Piute,Utah,49031,98,2,98,2,0,0
54831,2021-03-15,Rich,Utah,49033,136,0,135,0,1,0
54832,2021-03-15,Salt Lake,Utah,49035,141289,797,140070,780,1219,17
54833,2021-03-15,San Juan,Utah,49037,1824,36,1822,36,2,0
54834,2021-03-15,Sanpete,Utah,49039,3591,19,3547,19,44,0
54835,2021-03-15,Sevier,Utah,49041,2072,12,2043,12,29,0
54836,2021-03-15,Summit,Utah,49043,5119,10,5054,10,65,0
54837,2021-03-15,Tooele,Utah,49045,6720,38,6624,37,96,1
54838,2021-03-15,Uintah,Utah,49047,2430,19,2324,19,106,0
54840,2021-03-15,Utah,Utah,49049,91566,349,90889,341,677,8
54841,2021-03-15,Wasatch,Utah,49051,4406,20,4375,20,31,0
54842,2021-03-15,Washington,Utah,49053,20418,190,20304,185,114,5
54843,2021-03-15,Wayne,Utah,49055,124,0,122,0,2,0
54844,2021-03-15,Weber,Utah,49057,27073,178,26853,175,220,3
