,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
54845,2021-03-15,Addison,Vermont,50001,863,8,811,8,52,0
54846,2021-03-15,Bennington,Vermont,50003,1570,9,1506,9,64,0
54847,2021-03-15,Caledonia,Vermont,50005,513,5,484,5,29,0
54848,2021-03-15,Chittenden,Vermont,50007,5359,93,5150,89,209,4
54849,2021-03-15,Essex,Vermont,50009,182,1,171,1,11,0
54850,2021-03-15,Franklin,Vermont,50011,1489,36,1370,35,119,1
54851,2021-03-15,Grand Isle,Vermont,50013,135,0,125,0,10,0
54852,2021-03-15,Lamoille,Vermont,50015,572,2,519,2,53,0
54853,2021-03-15,Orange,Vermont,50017,530,3,520,3,10,0
54854,2021-03-15,Orleans,Vermont,50019,687,7,604,7,83,0
54855,2021-03-15,Rutland,Vermont,50021,1434,12,1383,12,51,0
54857,2021-03-15,Washington,Vermont,50023,1529,14,1480,14,49,0
54858,2021-03-15,Windham,Vermont,50025,1017,13,994,13,23,0
54859,2021-03-15,Windsor,Vermont,50027,1104,11,1074,10,30,1
