,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
54996,2021-03-15,Adams,Washington,53001,1948,22,1933,21,15,1
54997,2021-03-15,Asotin,Washington,53003,1304,28,1291,28,13,0
54998,2021-03-15,Benton,Washington,53005,15330,209,15208,208,122,1
54999,2021-03-15,Chelan,Washington,53007,6312,63,6272,63,40,0
55000,2021-03-15,Clallam,Washington,53009,1003,8,989,8,14,0
55001,2021-03-15,Clark,Washington,53011,19474,239,19175,233,299,6
55002,2021-03-15,Columbia,Washington,53013,116,4,115,4,1,0
55003,2021-03-15,Cowlitz,Washington,53015,4545,71,4468,68,77,3
55004,2021-03-15,Douglas,Washington,53017,3309,22,3279,23,30,-1
55005,2021-03-15,Ferry,Washington,53019,212,4,209,4,3,0
55006,2021-03-15,Franklin,Washington,53021,11370,103,11268,101,102,2
55007,2021-03-15,Garfield,Washington,53023,117,4,117,4,0,0
55008,2021-03-15,Grant,Washington,53025,9099,114,9034,114,65,0
55009,2021-03-15,Grays Harbor,Washington,53027,3456,54,3419,50,37,4
55010,2021-03-15,Island,Washington,53029,1431,28,1377,27,54,1
55011,2021-03-15,Jefferson,Washington,53031,337,2,338,2,-1,0
55012,2021-03-15,King,Washington,53033,86542,1442,85284,1427,1258,15
55013,2021-03-15,Kitsap,Washington,53035,6026,88,5897,86,129,2
55014,2021-03-15,Kittitas,Washington,53037,2364,30,2303,30,61,0
55015,2021-03-15,Klickitat,Washington,53039,670,9,664,8,6,1
55016,2021-03-15,Lewis,Washington,53041,3828,50,3767,50,61,0
55017,2021-03-15,Lincoln,Washington,53043,346,6,341,5,5,1
55018,2021-03-15,Mason,Washington,53045,2383,25,2351,27,32,-2
55019,2021-03-15,Okanogan,Washington,53047,2210,36,2184,36,26,0
55020,2021-03-15,Pacific,Washington,53049,771,10,750,10,21,0
55021,2021-03-15,Pend Oreille,Washington,53051,648,7,641,7,7,0
55022,2021-03-15,Pierce,Washington,53053,40034,586,39278,570,756,16
55023,2021-03-15,San Juan,Washington,53055,121,0,121,0,0,0
55024,2021-03-15,Skagit,Washington,53057,4613,62,4555,61,58,1
55025,2021-03-15,Skamania,Washington,53059,256,1,256,1,0,0
55026,2021-03-15,Snohomish,Washington,53061,31736,548,31439,545,297,3
55027,2021-03-15,Spokane,Washington,53063,38154,592,37708,592,446,0
55028,2021-03-15,Stevens,Washington,53065,1694,24,1664,23,30,1
55029,2021-03-15,Thurston,Washington,53067,7507,79,7383,77,124,2
55030,2021-03-15,Wahkiakum,Washington,53069,101,0,100,0,1,0
55031,2021-03-15,Walla Walla,Washington,53071,4817,64,4808,61,9,3
55032,2021-03-15,Whatcom,Washington,53073,7171,85,6992,84,179,1
55033,2021-03-15,Whitman,Washington,53075,3654,46,3466,45,188,1
55034,2021-03-15,Yakima,Washington,53077,28335,427,28041,426,294,1
