,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
55090,2021-03-15,Adams,Wisconsin,55001,1769,15,1756,15,13,0
55091,2021-03-15,Ashland,Wisconsin,55003,1257,16,1244,16,13,0
55092,2021-03-15,Barron,Wisconsin,55005,5629,76,5587,76,42,0
55093,2021-03-15,Bayfield,Wisconsin,55007,1148,19,1144,19,4,0
55094,2021-03-15,Brown,Wisconsin,55009,33194,260,32936,254,258,6
55095,2021-03-15,Buffalo,Wisconsin,55011,1356,7,1354,7,2,0
55096,2021-03-15,Burnett,Wisconsin,55013,1360,23,1353,23,7,0
55097,2021-03-15,Calumet,Wisconsin,55015,6098,47,6056,47,42,0
55098,2021-03-15,Chippewa,Wisconsin,55017,7303,95,7261,95,42,0
55099,2021-03-15,Clark,Wisconsin,55019,3553,63,3549,61,4,2
55100,2021-03-15,Columbia,Wisconsin,55021,5483,66,5459,65,24,1
55101,2021-03-15,Crawford,Wisconsin,55023,1721,17,1720,17,1,0
55102,2021-03-15,Dane,Wisconsin,55025,42840,303,42553,301,287,2
55103,2021-03-15,Dodge,Wisconsin,55027,12298,182,12245,179,53,3
55104,2021-03-15,Door,Wisconsin,55029,2643,25,2629,25,14,0
55105,2021-03-15,Douglas,Wisconsin,55031,4291,44,4267,42,24,2
55106,2021-03-15,Dunn,Wisconsin,55033,4650,30,4633,29,17,1
55107,2021-03-15,Eau Claire,Wisconsin,55035,11443,117,11390,115,53,2
55108,2021-03-15,Florence,Wisconsin,55037,472,12,468,12,4,0
55109,2021-03-15,Fond du Lac,Wisconsin,55039,13161,106,13124,105,37,1
55110,2021-03-15,Forest,Wisconsin,55041,1002,26,994,26,8,0
55111,2021-03-15,Grant,Wisconsin,55043,5390,87,5364,86,26,1
55112,2021-03-15,Green,Wisconsin,55045,3356,23,3302,22,54,1
55113,2021-03-15,Green Lake,Wisconsin,55047,1955,21,1951,21,4,0
55114,2021-03-15,Iowa,Wisconsin,55049,2010,11,1971,11,39,0
55115,2021-03-15,Iron,Wisconsin,55051,674,40,672,40,2,0
55116,2021-03-15,Jackson,Wisconsin,55053,2629,27,2626,23,3,4
55117,2021-03-15,Jefferson,Wisconsin,55055,8940,126,8892,127,48,-1
55118,2021-03-15,Juneau,Wisconsin,55057,3125,20,3095,20,30,0
55119,2021-03-15,Kenosha,Wisconsin,55059,17206,318,17086,316,120,2
55120,2021-03-15,Kewaunee,Wisconsin,55061,2599,30,2594,29,5,1
55121,2021-03-15,La Crosse,Wisconsin,55063,13047,80,12971,80,76,0
55122,2021-03-15,Lafayette,Wisconsin,55065,1635,7,1618,7,17,0
