,date,county,state,fips,cases,deaths,2021-03-08_Cases_Num,2021-03-08_Deaths_Num,diff_From_2021-03-08_Cases_Num,diff_From_2021-03-08_Deaths_Num
55162,2021-03-15,Albany,Wyoming,56001,3931,11,3917,11,14,0
55163,2021-03-15,Big Horn,Wyoming,56003,1091,31,1084,31,7,0
55164,2021-03-15,Campbell,Wyoming,56005,4710,59,4685,57,25,2
55165,2021-03-15,Carbon,Wyoming,56007,1498,23,1478,22,20,1
55166,2021-03-15,Converse,Wyoming,56009,974,17,973,16,1,1
55167,2021-03-15,Crook,Wyoming,56011,419,11,418,11,1,0
55168,2021-03-15,Fremont,Wyoming,56013,4953,82,4921,82,32,0
55169,2021-03-15,Goshen,Wyoming,56015,1159,23,1154,23,5,0
55170,2021-03-15,Hot Springs,Wyoming,56017,362,3,361,3,1,0
55171,2021-03-15,Johnson,Wyoming,56019,711,10,712,9,-1,1
55172,2021-03-15,Laramie,Wyoming,56021,8389,110,8276,109,113,1
55173,2021-03-15,Lincoln,Wyoming,56023,1285,12,1260,11,25,1
55174,2021-03-15,Natrona,Wyoming,56025,7771,132,7739,132,32,0
55175,2021-03-15,Niobrara,Wyoming,56027,150,2,150,2,0,0
55176,2021-03-15,Park,Wyoming,56029,2630,29,2623,27,7,2
55177,2021-03-15,Platte,Wyoming,56031,603,11,598,11,5,0
55178,2021-03-15,Sheridan,Wyoming,56033,3044,30,3037,30,7,0
55179,2021-03-15,Sublette,Wyoming,56035,681,7,681,7,0,0
55180,2021-03-15,Sweetwater,Wyoming,56037,3889,36,3853,36,36,0
55181,2021-03-15,Teton,Wyoming,56039,3467,9,3397,9,70,0
55182,2021-03-15,Uinta,Wyoming,56041,2091,12,2076,12,15,0
55183,2021-03-15,Washakie,Wyoming,56043,888,26,887,26,1,0
55184,2021-03-15,Weston,Wyoming,56045,631,5,623,5,8,0
