,date,county,state,fips,cases,deaths,2021-03-15_Cases_Num,2021-03-15_Deaths_Num,diff_From_2021-03-15_Cases_Num,diff_From_2021-03-15_Deaths_Num
75055,2021-03-22,Appling,Georgia,13001,2241,67,2242,66,-1,1
75056,2021-03-22,Atkinson,Georgia,13003,989,17,985,17,4,0
75057,2021-03-22,Bacon,Georgia,13005,1373,36,1366,36,7,0
75058,2021-03-22,Baker,Georgia,13007,223,9,222,9,1,0
75059,2021-03-22,Baldwin,Georgia,13009,4374,119,4353,117,21,2
75060,2021-03-22,Banks,Georgia,13011,1763,34,1753,34,10,0
75061,2021-03-22,Barrow,Georgia,13013,9356,121,9228,118,128,3
75062,2021-03-22,Bartow,Georgia,13015,13829,209,13573,203,256,6
75063,2021-03-22,Ben Hill,Georgia,13017,2062,74,2058,73,4,1
75064,2021-03-22,Berrien,Georgia,13019,1775,41,1772,41,3,0
75065,2021-03-22,Bibb,Georgia,13021,15308,414,15208,404,100,10
75066,2021-03-22,Bleckley,Georgia,13023,1443,50,1445,49,-2,1
75067,2021-03-22,Brantley,Georgia,13025,1554,33,1539,33,15,0
75068,2021-03-22,Brooks,Georgia,13027,1358,46,1342,44,16,2
75069,2021-03-22,Bryan,Georgia,13029,3419,36,3367,35,52,1
75070,2021-03-22,Bulloch,Georgia,13031,6597,103,6569,97,28,6
75071,2021-03-22,Burke,Georgia,13033,2460,55,2439,54,21,1
75072,2021-03-22,Butts,Georgia,13035,2798,77,2766,76,32,1
75073,2021-03-22,Calhoun,Georgia,13037,567,14,572,14,-5,0
75074,2021-03-22,Camden,Georgia,13039,3797,31,3788,32,9,-1
75075,2021-03-22,Candler,Georgia,13043,932,61,926,61,6,0
75076,2021-03-22,Carroll,Georgia,13045,10822,223,10738,220,84,3
75077,2021-03-22,Catoosa,Georgia,13047,5874,66,5821,67,53,-1
75078,2021-03-22,Charlton,Georgia,13049,1339,28,1334,27,5,1
75079,2021-03-22,Chatham,Georgia,13051,21880,401,21554,393,326,8
75080,2021-03-22,Chattahoochee,Georgia,13053,3394,12,3308,12,86,0
75081,2021-03-22,Chattooga,Georgia,13055,2678,67,2643,68,35,-1
75082,2021-03-22,Cherokee,Georgia,13057,29110,291,28548,283,562,8
75083,2021-03-22,Clarke,Georgia,13059,14505,127,14425,128,80,-1
75084,2021-03-22,Clay,Georgia,13061,231,3,231,3,0,0
75085,2021-03-22,Clayton,Georgia,13063,24392,417,24049,411,343,6
75086,2021-03-22,Clinch,Georgia,13065,934,25,933,25,1,0
75087,2021-03-22,Cobb,Georgia,13067,73125,962,71980,953,1145,9
75088,2021-03-22,Coffee,Georgia,13069,5252,160,5243,157,9,3
75089,2021-03-22,Colquitt,Georgia,13071,4561,108,4524,107,37,1
75090,2021-03-22,Columbia,Georgia,13073,16119,195,16024,194,95,1
75091,2021-03-22,Cook,Georgia,13075,1765,40,1760,40,5,0
75092,2021-03-22,Coweta,Georgia,13077,13475,182,13319,177,156,5
75093,2021-03-22,Crawford,Georgia,13079,637,17,631,17,6,0
75094,2021-03-22,Crisp,Georgia,13081,2007,69,1934,69,73,0
75095,2021-03-22,Dade,Georgia,13083,1362,11,1357,11,5,0
75096,2021-03-22,Dawson,Georgia,13085,2911,38,2888,37,23,1
75098,2021-03-22,Decatur,Georgia,13087,2824,66,2794,66,30,0
75097,2021-03-22,DeKalb,Georgia,13089,60433,905,59356,891,1077,14
75099,2021-03-22,Dodge,Georgia,13091,2090,101,2086,100,4,1
75100,2021-03-22,Dooly,Georgia,13093,1049,43,1030,42,19,1
75101,2021-03-22,Dougherty,Georgia,13095,7210,289,7174,286,36,3
75102,2021-03-22,Douglas,Georgia,13097,14060,200,13895,193,165,7
75103,2021-03-22,Early,Georgia,13099,1147,44,1141,44,6,0
75104,2021-03-22,Echols,Georgia,13101,460,8,461,7,-1,1
75105,2021-03-22,Effingham,Georgia,13103,4349,62,4367,64,-18,-2
75106,2021-03-22,Elbert,Georgia,13105,2263,64,2255,63,8,1
75107,2021-03-22,Emanuel,Georgia,13107,2510,79,2489,78,21,1
75108,2021-03-22,Evans,Georgia,13109,935,27,925,25,10,2
75109,2021-03-22,Fannin,Georgia,13111,2246,61,2232,61,14,0
75110,2021-03-22,Fayette,Georgia,13113,8441,152,8310,151,131,1
75111,2021-03-22,Floyd,Georgia,13115,11534,201,11346,200,188,1
75112,2021-03-22,Forsyth,Georgia,13117,21099,167,20754,164,345,3
75113,2021-03-22,Franklin,Georgia,13119,2604,46,2590,46,14,0
75114,2021-03-22,Fulton,Georgia,13121,90454,1233,89091,1209,1363,24
75115,2021-03-22,Gilmer,Georgia,13123,2854,79,2848,79,6,0
75116,2021-03-22,Glascock,Georgia,13125,263,18,260,18,3,0
75117,2021-03-22,Glynn,Georgia,13127,7765,167,7770,164,-5,3
75118,2021-03-22,Gordon,Georgia,13129,7873,106,7805,104,68,2
75119,2021-03-22,Grady,Georgia,13131,2050,57,2044,57,6,0
75120,2021-03-22,Greene,Georgia,13133,1770,54,1757,53,13,1
75121,2021-03-22,Gwinnett,Georgia,13135,95726,1035,94750,1014,976,21
75122,2021-03-22,Habersham,Georgia,13137,5072,148,5056,145,16,3
