,date,county,state,fips,cases,deaths,2021-03-15_Cases_Num,2021-03-15_Deaths_Num,diff_From_2021-03-15_Cases_Num,diff_From_2021-03-15_Deaths_Num
75265,2021-03-22,Adams,Illinois,17001,8059,144,8052,144,7,0
75266,2021-03-22,Alexander,Illinois,17003,453,10,453,10,0,0
75267,2021-03-22,Bond,Illinois,17005,1924,30,1919,30,5,0
75268,2021-03-22,Boone,Illinois,17007,6039,83,5989,82,50,1
75269,2021-03-22,Brown,Illinois,17009,677,12,675,12,2,0
75270,2021-03-22,Bureau,Illinois,17011,3393,91,3376,91,17,0
75271,2021-03-22,Calhoun,Illinois,17013,497,5,485,5,12,0
75272,2021-03-22,Carroll,Illinois,17015,1607,36,1595,36,12,0
75273,2021-03-22,Cass,Illinois,17017,1903,33,1899,33,4,0
75274,2021-03-22,Champaign,Illinois,17019,18682,141,18602,140,80,1
75275,2021-03-22,Christian,Illinois,17021,3380,89,3359,89,21,0
75276,2021-03-22,Clark,Illinois,17023,1710,40,1696,40,14,0
75277,2021-03-22,Clay,Illinois,17025,1450,47,1445,47,5,0
75278,2021-03-22,Clinton,Illinois,17027,5647,98,5603,98,44,0
75279,2021-03-22,Coles,Illinois,17029,5369,95,5314,95,55,0
75280,2021-03-22,Cook,Illinois,17031,488793,10144,483282,10077,5511,67
75281,2021-03-22,Crawford,Illinois,17033,2029,40,2019,40,10,0
75282,2021-03-22,Cumberland,Illinois,17035,1245,31,1225,30,20,1
75284,2021-03-22,DeKalb,Illinois,17037,8687,122,8615,120,72,2
75283,2021-03-22,De Witt,Illinois,17039,1302,30,1293,29,9,1
75285,2021-03-22,Douglas,Illinois,17041,2511,40,2497,39,14,1
75286,2021-03-22,DuPage,Illinois,17043,80121,1308,79010,1298,1111,10
75287,2021-03-22,Edgar,Illinois,17045,1617,59,1602,59,15,0
75288,2021-03-22,Edwards,Illinois,17047,537,13,534,13,3,0
75289,2021-03-22,Effingham,Illinois,17049,4530,80,4510,80,20,0
75290,2021-03-22,Fayette,Illinois,17051,3078,57,3069,57,9,0
75291,2021-03-22,Ford,Illinois,17053,1629,54,1621,54,8,0
75292,2021-03-22,Franklin,Illinois,17055,4224,79,4185,78,39,1
75293,2021-03-22,Fulton,Illinois,17057,3109,57,2979,56,130,1
75294,2021-03-22,Gallatin,Illinois,17059,448,5,443,5,5,0
75295,2021-03-22,Greene,Illinois,17061,1397,45,1389,45,8,0
75296,2021-03-22,Grundy,Illinois,17063,5346,73,5282,70,64,3
75297,2021-03-22,Hamilton,Illinois,17065,796,18,796,18,0,0
75298,2021-03-22,Hancock,Illinois,17067,1686,40,1687,40,-1,0
75299,2021-03-22,Hardin,Illinois,17069,357,12,352,12,5,0
75300,2021-03-22,Henderson,Illinois,17071,513,23,507,23,6,0
75301,2021-03-22,Henry,Illinois,17073,4423,87,4385,87,38,0
75302,2021-03-22,Iroquois,Illinois,17075,2818,65,2802,65,16,0
75303,2021-03-22,Jackson,Illinois,17077,4671,73,4650,73,21,0
75304,2021-03-22,Jasper,Illinois,17079,1119,19,1114,19,5,0
75305,2021-03-22,Jefferson,Illinois,17081,4042,119,4014,119,28,0
75306,2021-03-22,Jersey,Illinois,17083,2528,67,2518,67,10,0
75307,2021-03-22,Jo Daviess,Illinois,17085,1639,25,1629,25,10,0
75308,2021-03-22,Johnson,Illinois,17087,1364,18,1362,18,2,0
75309,2021-03-22,Kane,Illinois,17089,52067,789,51672,784,395,5
75310,2021-03-22,Kankakee,Illinois,17091,12837,200,12742,199,95,1
75311,2021-03-22,Kendall,Illinois,17093,11863,97,11772,97,91,0
75312,2021-03-22,Knox,Illinois,17095,5072,164,5035,164,37,0
75314,2021-03-22,Lake,Illinois,17097,61407,1018,60810,1014,597,4
75313,2021-03-22,LaSalle,Illinois,17099,11140,279,11026,278,114,1
75315,2021-03-22,Lawrence,Illinois,17101,2354,33,2345,33,9,0
75316,2021-03-22,Lee,Illinois,17103,3569,84,3466,84,103,0
75317,2021-03-22,Livingston,Illinois,17105,4352,91,4310,91,42,0
75318,2021-03-22,Logan,Illinois,17107,3387,67,3337,67,50,0
75326,2021-03-22,McDonough,Illinois,17109,2379,54,2352,53,27,1
75327,2021-03-22,McHenry,Illinois,17111,25187,295,24919,294,268,1
75328,2021-03-22,McLean,Illinois,17113,15148,199,14935,198,213,1
75319,2021-03-22,Macon,Illinois,17115,9762,196,9672,196,90,0
75320,2021-03-22,Macoupin,Illinois,17117,4460,109,4424,109,36,0
75321,2021-03-22,Madison,Illinois,17119,28819,561,28540,548,279,13
75322,2021-03-22,Marion,Illinois,17121,4326,119,4296,119,30,0
75323,2021-03-22,Marshall,Illinois,17123,891,18,867,17,24,1
75324,2021-03-22,Mason,Illinois,17125,1312,42,1297,42,15,0
75325,2021-03-22,Massac,Illinois,17127,1303,39,1299,39,4,0
75329,2021-03-22,Menard,Illinois,17129,1092,12,1056,12,36,0
