,date,county,state,fips,cases,deaths,2021-03-15_Cases_Num,2021-03-15_Deaths_Num,diff_From_2021-03-15_Cases_Num,diff_From_2021-03-15_Deaths_Num
75368,2021-03-22,Adams,Indiana,18001,3371,52,3355,51,16,1
75369,2021-03-22,Allen,Indiana,18003,37152,679,36708,676,444,3
75370,2021-03-22,Bartholomew,Indiana,18005,7645,156,7597,155,48,1
75371,2021-03-22,Benton,Indiana,18007,936,14,928,13,8,1
75372,2021-03-22,Blackford,Indiana,18009,1283,28,1242,28,41,0
75373,2021-03-22,Boone,Indiana,18011,6315,100,6267,98,48,2
75374,2021-03-22,Brown,Indiana,18013,963,40,953,40,10,0
75375,2021-03-22,Carroll,Indiana,18015,1795,21,1779,21,16,0
75376,2021-03-22,Cass,Indiana,18017,5583,103,5536,103,47,0
75377,2021-03-22,Clark,Indiana,18019,12336,192,12226,191,110,1
75378,2021-03-22,Clay,Indiana,18021,2451,44,2431,44,20,0
75379,2021-03-22,Clinton,Indiana,18023,4031,58,4008,58,23,0
75380,2021-03-22,Crawford,Indiana,18025,948,14,937,14,11,0
75381,2021-03-22,Daviess,Indiana,18027,2872,99,2870,98,2,1
75383,2021-03-22,Dearborn,Indiana,18029,5568,75,5548,75,20,0
75384,2021-03-22,Decatur,Indiana,18031,2796,96,2785,95,11,1
75382,2021-03-22,DeKalb,Indiana,18033,3940,83,3912,83,28,0
75385,2021-03-22,Delaware,Indiana,18035,10044,188,9998,187,46,1
75386,2021-03-22,Dubois,Indiana,18037,5999,114,5975,113,24,1
75387,2021-03-22,Elkhart,Indiana,18039,26072,441,25855,438,217,3
75388,2021-03-22,Fayette,Indiana,18041,2876,61,2872,60,4,1
75389,2021-03-22,Floyd,Indiana,18043,7368,179,7313,180,55,-1
75390,2021-03-22,Fountain,Indiana,18045,2045,44,2037,44,8,0
75391,2021-03-22,Franklin,Indiana,18047,1638,36,1629,36,9,0
75392,2021-03-22,Fulton,Indiana,18049,1844,39,1820,38,24,1
75393,2021-03-22,Gibson,Indiana,18051,4164,90,4119,89,45,1
75394,2021-03-22,Grant,Indiana,18053,6976,171,6930,169,46,2
75395,2021-03-22,Greene,Indiana,18055,2672,85,2657,85,15,0
75396,2021-03-22,Hamilton,Indiana,18057,33078,420,32785,418,293,2
75397,2021-03-22,Hancock,Indiana,18059,7638,139,7564,139,74,0
75398,2021-03-22,Harrison,Indiana,18061,4161,70,4100,68,61,2
75399,2021-03-22,Hendricks,Indiana,18063,16256,324,16136,324,120,0
75400,2021-03-22,Henry,Indiana,18065,5491,99,5469,97,22,2
75401,2021-03-22,Howard,Indiana,18067,9298,212,9221,209,77,3
75402,2021-03-22,Huntington,Indiana,18069,3623,80,3574,80,49,0
75403,2021-03-22,Jackson,Indiana,18071,4730,68,4681,68,49,0
75404,2021-03-22,Jasper,Indiana,18073,3265,48,3237,46,28,2
75405,2021-03-22,Jay,Indiana,18075,1825,30,1812,30,13,0
75406,2021-03-22,Jefferson,Indiana,18077,2986,76,2978,76,8,0
75407,2021-03-22,Jennings,Indiana,18079,2211,48,2202,47,9,1
75408,2021-03-22,Johnson,Indiana,18081,16875,384,16683,382,192,2
75409,2021-03-22,Knox,Indiana,18083,3592,86,3588,86,4,0
75410,2021-03-22,Kosciusko,Indiana,18085,8733,116,8672,116,61,0
75411,2021-03-22,LaGrange,Indiana,18087,2454,72,2447,72,7,0
75413,2021-03-22,Lake,Indiana,18089,49533,947,49190,940,343,7
75412,2021-03-22,LaPorte,Indiana,18091,10024,205,9947,205,77,0
75414,2021-03-22,Lawrence,Indiana,18093,4241,119,4221,119,20,0
75415,2021-03-22,Madison,Indiana,18095,11999,349,11924,349,75,0
75416,2021-03-22,Marion,Indiana,18097,92799,1751,92176,1740,623,11
75417,2021-03-22,Marshall,Indiana,18099,5557,107,5512,107,45,0
75418,2021-03-22,Martin,Indiana,18101,812,14,809,14,3,0
75419,2021-03-22,Miami,Indiana,18103,3652,66,3626,64,26,2
75420,2021-03-22,Monroe,Indiana,18105,10681,168,10541,168,140,0
75421,2021-03-22,Montgomery,Indiana,18107,4022,85,3972,85,50,0
75422,2021-03-22,Morgan,Indiana,18109,6250,138,6203,135,47,3
75423,2021-03-22,Newton,Indiana,18111,991,35,977,35,14,0
75424,2021-03-22,Noble,Indiana,18113,5202,82,5175,82,27,0
75425,2021-03-22,Ohio,Indiana,18115,544,11,543,11,1,0
75426,2021-03-22,Orange,Indiana,18117,1732,55,1723,55,9,0
75427,2021-03-22,Owen,Indiana,18119,1872,58,1865,56,7,2
75428,2021-03-22,Parke,Indiana,18121,1428,16,1421,16,7,0
75429,2021-03-22,Perry,Indiana,18123,1770,37,1763,37,7,0
75430,2021-03-22,Pike,Indiana,18125,1287,34,1286,33,1,1
75431,2021-03-22,Porter,Indiana,18127,16423,299,16274,296,149,3
75432,2021-03-22,Posey,Indiana,18129,2647,32,2630,32,17,0
75433,2021-03-22,Pulaski,Indiana,18131,1101,45,1092,44,9,1
75434,2021-03-22,Putnam,Indiana,18133,3448,60,3400,60,48,0
75435,2021-03-22,Randolph,Indiana,18135,2327,79,2317,78,10,1
75436,2021-03-22,Ripley,Indiana,18137,3299,66,3290,64,9,2
75437,2021-03-22,Rush,Indiana,18139,1733,24,1727,23,6,1
75441,2021-03-22,St. Joseph,Indiana,18141,31477,539,30929,537,548,2
75438,2021-03-22,Scott,Indiana,18143,2552,54,2545,53,7,1
