,date,county,state,fips,cases,deaths,2021-03-15_Cases_Num,2021-03-15_Deaths_Num,diff_From_2021-03-15_Cases_Num,diff_From_2021-03-15_Deaths_Num
75460,2021-03-22,Adair,Iowa,19001,834,31,825,31,9,0
75461,2021-03-22,Adams,Iowa,19003,319,4,319,4,0,0
75462,2021-03-22,Allamakee,Iowa,19005,1477,48,1468,48,9,0
75463,2021-03-22,Appanoose,Iowa,19007,1246,47,1237,47,9,0
75464,2021-03-22,Audubon,Iowa,19009,480,9,479,9,1,0
75465,2021-03-22,Benton,Iowa,19011,2452,54,2446,54,6,0
75466,2021-03-22,Black Hawk,Iowa,19013,15160,299,15088,296,72,3
75467,2021-03-22,Boone,Iowa,19015,2487,30,2475,30,12,0
75468,2021-03-22,Bremer,Iowa,19017,2743,57,2734,56,9,1
75469,2021-03-22,Buchanan,Iowa,19019,1821,30,1799,30,22,0
75470,2021-03-22,Buena Vista,Iowa,19021,4169,38,4152,37,17,1
75471,2021-03-22,Butler,Iowa,19023,1607,32,1598,32,9,0
75472,2021-03-22,Calhoun,Iowa,19025,1319,11,1307,11,12,0
75473,2021-03-22,Carroll,Iowa,19027,2718,49,2703,49,15,0
75474,2021-03-22,Cass,Iowa,19029,1320,52,1313,52,7,0
75475,2021-03-22,Cedar,Iowa,19031,1763,23,1754,23,9,0
75476,2021-03-22,Cerro Gordo,Iowa,19033,5062,85,5048,85,14,0
75477,2021-03-22,Cherokee,Iowa,19035,1519,37,1501,37,18,0
75478,2021-03-22,Chickasaw,Iowa,19037,1208,15,1202,15,6,0
75479,2021-03-22,Clarke,Iowa,19039,966,21,964,21,2,0
75480,2021-03-22,Clay,Iowa,19041,1948,25,1899,25,49,0
75481,2021-03-22,Clayton,Iowa,19043,1618,55,1611,55,7,0
75482,2021-03-22,Clinton,Iowa,19045,5107,87,5069,87,38,0
75483,2021-03-22,Crawford,Iowa,19047,2585,36,2570,36,15,0
75484,2021-03-22,Dallas,Iowa,19049,10488,93,10381,93,107,0
75485,2021-03-22,Davis,Iowa,19051,777,24,772,23,5,1
75486,2021-03-22,Decatur,Iowa,19053,578,9,577,9,1,0
75487,2021-03-22,Delaware,Iowa,19055,1902,40,1881,40,21,0
75488,2021-03-22,Des Moines,Iowa,19057,4329,63,4313,61,16,2
75489,2021-03-22,Dickinson,Iowa,19059,2170,41,2111,40,59,1
75490,2021-03-22,Dubuque,Iowa,19061,12577,200,12514,199,63,1
