,date,county,state,fips,cases,deaths,2021-03-15_Cases_Num,2021-03-15_Deaths_Num,diff_From_2021-03-15_Cases_Num,diff_From_2021-03-15_Deaths_Num
75560,2021-03-22,Allen,Kansas,20001,1193,1,1175,1,18,0
75561,2021-03-22,Anderson,Kansas,20003,827,0,823,0,4,0
75562,2021-03-22,Atchison,Kansas,20005,1548,13,1538,13,10,0
75563,2021-03-22,Barber,Kansas,20007,368,2,368,2,0,0
75564,2021-03-22,Barton,Kansas,20009,2585,21,2582,21,3,0
75565,2021-03-22,Bourbon,Kansas,20011,1305,3,1294,3,11,0
75566,2021-03-22,Brown,Kansas,20013,1223,32,1220,32,3,0
75567,2021-03-22,Butler,Kansas,20015,7318,80,7277,78,41,2
75568,2021-03-22,Chase,Kansas,20017,286,3,286,3,0,0
75569,2021-03-22,Chautauqua,Kansas,20019,264,3,264,3,0,0
75570,2021-03-22,Cherokee,Kansas,20021,2399,16,2377,16,22,0
75571,2021-03-22,Cheyenne,Kansas,20023,357,10,356,10,1,0
75572,2021-03-22,Clark,Kansas,20025,247,4,245,4,2,0
75573,2021-03-22,Clay,Kansas,20027,826,27,826,27,0,0
75574,2021-03-22,Cloud,Kansas,20029,971,2,970,2,1,0
75575,2021-03-22,Coffey,Kansas,20031,721,14,717,14,4,0
75576,2021-03-22,Comanche,Kansas,20033,162,9,159,9,3,0
75577,2021-03-22,Cowley,Kansas,20035,3883,9,3877,9,6,0
75578,2021-03-22,Crawford,Kansas,20037,4610,83,4578,80,32,3
75579,2021-03-22,Decatur,Kansas,20039,263,1,262,1,1,0
75580,2021-03-22,Dickinson,Kansas,20041,1703,37,1702,37,1,0
75581,2021-03-22,Doniphan,Kansas,20043,959,7,959,7,0,0
75582,2021-03-22,Douglas,Kansas,20045,8812,80,8792,79,20,1
75583,2021-03-22,Edwards,Kansas,20047,262,0,262,0,0,0
75584,2021-03-22,Elk,Kansas,20049,178,0,178,0,0,0
75585,2021-03-22,Ellis,Kansas,20051,3714,61,3703,61,11,0
75586,2021-03-22,Ellsworth,Kansas,20053,1213,4,1213,4,0,0
75587,2021-03-22,Finney,Kansas,20055,6005,49,5993,49,12,0
75588,2021-03-22,Ford,Kansas,20057,5652,10,5620,10,32,0
75589,2021-03-22,Franklin,Kansas,20059,2485,39,2482,39,3,0
75590,2021-03-22,Geary,Kansas,20061,3134,25,3114,25,20,0
75591,2021-03-22,Gove,Kansas,20063,385,22,385,22,0,0
75592,2021-03-22,Graham,Kansas,20065,250,2,251,2,-1,0
75593,2021-03-22,Grant,Kansas,20067,969,17,968,17,1,0
75594,2021-03-22,Gray,Kansas,20069,606,14,604,14,2,0
75595,2021-03-22,Greeley,Kansas,20071,103,0,102,0,1,0
75596,2021-03-22,Greenwood,Kansas,20073,589,8,589,8,0,0
75597,2021-03-22,Hamilton,Kansas,20075,202,0,201,0,1,0
75598,2021-03-22,Harper,Kansas,20077,621,17,611,17,10,0
75599,2021-03-22,Harvey,Kansas,20079,3498,65,3477,64,21,1
75600,2021-03-22,Haskell,Kansas,20081,413,1,411,1,2,0
75601,2021-03-22,Hodgeman,Kansas,20083,209,7,207,7,2,0
75602,2021-03-22,Jackson,Kansas,20085,1363,15,1349,15,14,0
75603,2021-03-22,Jefferson,Kansas,20087,1648,32,1632,32,16,0
75604,2021-03-22,Jewell,Kansas,20089,206,3,203,3,3,0
75605,2021-03-22,Johnson,Kansas,20091,55679,638,55287,644,392,-6
75606,2021-03-22,Kearny,Kansas,20093,560,9,561,9,-1,0
75607,2021-03-22,Kingman,Kansas,20095,733,11,730,11,3,0
