,date,county,state,fips,cases,deaths,2021-03-15_Cases_Num,2021-03-15_Deaths_Num,diff_From_2021-03-15_Cases_Num,diff_From_2021-03-15_Deaths_Num
75851,2021-03-22,Androscoggin,Maine,23001,5116,57,5004,57,112,0
75852,2021-03-22,Aroostook,Maine,23003,1362,44,1317,44,45,0
75853,2021-03-22,Cumberland,Maine,23005,13569,184,13249,183,320,1
75854,2021-03-22,Franklin,Maine,23007,966,13,940,13,26,0
75855,2021-03-22,Hancock,Maine,23009,999,35,962,34,37,1
75856,2021-03-22,Kennebec,Maine,23011,4111,54,3926,53,185,1
75857,2021-03-22,Knox,Maine,23013,768,5,707,5,61,0
75858,2021-03-22,Lincoln,Maine,23015,629,2,609,2,20,0
75859,2021-03-22,Oxford,Maine,23017,2408,54,2334,54,74,0
75860,2021-03-22,Penobscot,Maine,23019,4387,87,4215,87,172,0
75861,2021-03-22,Piscataquis,Maine,23021,373,3,359,2,14,1
75862,2021-03-22,Sagadahoc,Maine,23023,942,6,916,6,26,0
75863,2021-03-22,Somerset,Maine,23025,1322,27,1297,27,25,0
75865,2021-03-22,Waldo,Maine,23027,675,19,641,19,34,0
75866,2021-03-22,Washington,Maine,23029,755,14,740,14,15,0
75867,2021-03-22,York,Maine,23031,10259,125,9983,125,276,0
