,date,county,state,fips,cases,deaths,2021-03-15_Cases_Num,2021-03-15_Deaths_Num,diff_From_2021-03-15_Cases_Num,diff_From_2021-03-15_Deaths_Num
76335,2021-03-22,Adams,Nebraska,31001,2775,38,2766,38,9,0
76336,2021-03-22,Antelope,Nebraska,31003,485,6,487,6,-2,0
76337,2021-03-22,Arthur,Nebraska,31005,22,1,22,1,0,0
76338,2021-03-22,Banner,Nebraska,31007,35,0,35,0,0,0
76339,2021-03-22,Blaine,Nebraska,31009,20,0,20,0,0,0
76340,2021-03-22,Boone,Nebraska,31011,544,5,524,5,20,0
76341,2021-03-22,Box Butte,Nebraska,31013,922,8,919,8,3,0
76342,2021-03-22,Boyd,Nebraska,31015,173,3,173,3,0,0
76343,2021-03-22,Brown,Nebraska,31017,216,2,214,2,2,0
76344,2021-03-22,Buffalo,Nebraska,31019,5232,56,5195,55,37,1
76345,2021-03-22,Burt,Nebraska,31021,646,11,641,11,5,0
76346,2021-03-22,Butler,Nebraska,31023,840,12,836,12,4,0
76347,2021-03-22,Cass,Nebraska,31025,2403,15,2367,15,36,0
76348,2021-03-22,Cedar,Nebraska,31027,751,12,741,12,10,0
76349,2021-03-22,Chase,Nebraska,31029,451,3,451,3,0,0
76350,2021-03-22,Cherry,Nebraska,31031,271,6,266,6,5,0
76351,2021-03-22,Cheyenne,Nebraska,31033,911,18,909,18,2,0
76352,2021-03-22,Clay,Nebraska,31035,672,11,672,11,0,0
76353,2021-03-22,Colfax,Nebraska,31037,1555,20,1557,20,-2,0
76354,2021-03-22,Cuming,Nebraska,31039,1003,11,991,11,12,0
76355,2021-03-22,Custer,Nebraska,31041,841,18,837,18,4,0
76356,2021-03-22,Dakota,Nebraska,31043,3977,67,3951,67,26,0
76357,2021-03-22,Dawes,Nebraska,31045,722,18,717,18,5,0
76358,2021-03-22,Dawson,Nebraska,31047,2825,31,2813,31,12,0
76359,2021-03-22,Deuel,Nebraska,31049,100,2,100,2,0,0
76360,2021-03-22,Dixon,Nebraska,31051,583,8,574,8,9,0
76361,2021-03-22,Dodge,Nebraska,31053,4736,56,4710,56,26,0
76362,2021-03-22,Douglas,Nebraska,31055,65569,680,65055,674,514,6
76363,2021-03-22,Dundy,Nebraska,31057,178,4,177,4,1,0
76364,2021-03-22,Fillmore,Nebraska,31059,475,10,475,10,0,0
76365,2021-03-22,Franklin,Nebraska,31061,234,3,236,3,-2,0
76366,2021-03-22,Frontier,Nebraska,31063,189,1,187,1,2,0
76367,2021-03-22,Furnas,Nebraska,31065,496,4,498,4,-2,0
76368,2021-03-22,Gage,Nebraska,31067,2126,19,2113,19,13,0
76369,2021-03-22,Garden,Nebraska,31069,111,1,111,1,0,0
76370,2021-03-22,Garfield,Nebraska,31071,145,3,145,3,0,0
76371,2021-03-22,Gosper,Nebraska,31073,180,4,181,4,-1,0
76372,2021-03-22,Grant,Nebraska,31075,38,4,37,4,1,0
76373,2021-03-22,Greeley,Nebraska,31077,210,2,209,2,1,0
76374,2021-03-22,Hall,Nebraska,31079,7539,112,7438,112,101,0
76375,2021-03-22,Hamilton,Nebraska,31081,906,17,905,17,1,0
76376,2021-03-22,Harlan,Nebraska,31083,212,0,211,0,1,0
76377,2021-03-22,Hayes,Nebraska,31085,58,0,58,0,0,0
76378,2021-03-22,Hitchcock,Nebraska,31087,239,4,250,4,-11,0
76379,2021-03-22,Holt,Nebraska,31089,794,16,797,16,-3,0
76380,2021-03-22,Hooker,Nebraska,31091,52,2,51,2,1,0
76381,2021-03-22,Howard,Nebraska,31093,528,17,529,17,-1,0
76382,2021-03-22,Jefferson,Nebraska,31095,626,1,628,1,-2,0
76383,2021-03-22,Johnson,Nebraska,31097,635,8,629,8,6,0
76384,2021-03-22,Kearney,Nebraska,31099,670,5,670,5,0,0
76385,2021-03-22,Keith,Nebraska,31101,692,6,686,6,6,0
76386,2021-03-22,Keya Paha,Nebraska,31103,51,0,49,0,2,0
76387,2021-03-22,Kimball,Nebraska,31105,412,7,410,7,2,0
76388,2021-03-22,Knox,Nebraska,31107,853,12,843,12,10,0
76389,2021-03-22,Lancaster,Nebraska,31109,29204,221,28853,221,351,0
76390,2021-03-22,Lincoln,Nebraska,31111,3625,52,3609,52,16,0
76391,2021-03-22,Logan,Nebraska,31113,79,0,78,0,1,0
76392,2021-03-22,Loup,Nebraska,31115,40,0,40,0,0,0
