,date,county,state,fips,cases,deaths,2021-03-15_Cases_Num,2021-03-15_Deaths_Num,diff_From_2021-03-15_Cases_Num,diff_From_2021-03-15_Deaths_Num
76429,2021-03-22,Churchill,Nevada,32001,1951,49,1937,49,14,0
76430,2021-03-22,Clark,Nevada,32003,232808,4049,231416,4007,1392,42
76431,2021-03-22,Douglas,Nevada,32005,2622,33,2589,33,33,0
76432,2021-03-22,Elko,Nevada,32007,4629,53,4613,52,16,1
76433,2021-03-22,Esmeralda,Nevada,32009,37,0,37,0,0,0
76434,2021-03-22,Eureka,Nevada,32011,50,0,50,0,0,0
76435,2021-03-22,Humboldt,Nevada,32013,1078,13,1071,13,7,0
76436,2021-03-22,Lander,Nevada,32015,444,9,443,9,1,0
76437,2021-03-22,Lincoln,Nevada,32017,354,1,348,1,6,0
76438,2021-03-22,Lyon,Nevada,32019,2848,58,2821,57,27,1
76439,2021-03-22,Mineral,Nevada,32021,305,7,303,6,2,1
76440,2021-03-22,Nye,Nevada,32023,2861,96,2843,95,18,1
76441,2021-03-22,Pershing,Nevada,32027,943,20,943,20,0,0
76442,2021-03-22,Storey,Nevada,32029,85,3,83,3,2,0
76443,2021-03-22,Washoe,Nevada,32031,43781,659,43503,655,278,4
76444,2021-03-22,White Pine,Nevada,32033,558,5,550,5,8,0
76428,2021-03-22,Carson City,Nevada,32510,6019,119,5980,116,39,3
