,date,county,state,fips,cases,deaths,2021-03-15_Cases_Num,2021-03-15_Deaths_Num,diff_From_2021-03-15_Cases_Num,diff_From_2021-03-15_Deaths_Num
76569,2021-03-22,Alamance,North Carolina,37001,16478,237,16231,237,247,0
76570,2021-03-22,Alexander,North Carolina,37003,4039,82,4013,82,26,0
76571,2021-03-22,Alleghany,North Carolina,37005,937,5,934,5,3,0
76572,2021-03-22,Anson,North Carolina,37007,2403,53,2384,53,19,0
76573,2021-03-22,Ashe,North Carolina,37009,1936,40,1910,40,26,0
76574,2021-03-22,Avery,North Carolina,37011,1950,20,1920,20,30,0
76575,2021-03-22,Beaufort,North Carolina,37013,4410,87,4356,84,54,3
76576,2021-03-22,Bertie,North Carolina,37015,1689,41,1684,41,5,0
76577,2021-03-22,Bladen,North Carolina,37017,3066,41,3038,41,28,0
76578,2021-03-22,Brunswick,North Carolina,37019,8422,142,8296,138,126,4
76579,2021-03-22,Buncombe,North Carolina,37021,16181,304,15955,304,226,0
76580,2021-03-22,Burke,North Carolina,37023,9477,145,9403,145,74,0
76581,2021-03-22,Cabarrus,North Carolina,37025,19314,239,19038,238,276,1
76582,2021-03-22,Caldwell,North Carolina,37027,8879,97,8792,94,87,3
76583,2021-03-22,Camden,North Carolina,37029,618,5,607,5,11,0
76584,2021-03-22,Carteret,North Carolina,37031,4624,45,4574,45,50,0
76585,2021-03-22,Caswell,North Carolina,37033,2044,25,2024,25,20,0
76586,2021-03-22,Catawba,North Carolina,37035,18013,289,17855,286,158,3
76587,2021-03-22,Chatham,North Carolina,37037,4286,80,4245,80,41,0
76588,2021-03-22,Cherokee,North Carolina,37039,2191,19,2167,19,24,0
76589,2021-03-22,Chowan,North Carolina,37041,1393,22,1390,22,3,0
76590,2021-03-22,Clay,North Carolina,37043,677,18,668,18,9,0
76591,2021-03-22,Cleveland,North Carolina,37045,10724,218,10601,218,123,0
76592,2021-03-22,Columbus,North Carolina,37047,6067,147,6009,147,58,0
76593,2021-03-22,Craven,North Carolina,37049,8745,117,8590,116,155,1
76594,2021-03-22,Cumberland,North Carolina,37051,25336,289,24917,284,419,5
76595,2021-03-22,Currituck,North Carolina,37053,1440,15,1421,15,19,0
76596,2021-03-22,Dare,North Carolina,37055,1948,8,1902,8,46,0
76597,2021-03-22,Davidson,North Carolina,37057,15080,177,14931,177,149,0
76598,2021-03-22,Davie,North Carolina,37059,3709,35,3653,35,56,0
76599,2021-03-22,Duplin,North Carolina,37061,5896,128,5852,128,44,0
76600,2021-03-22,Durham,North Carolina,37063,23221,214,22943,214,278,0
76601,2021-03-22,Edgecombe,North Carolina,37065,4893,100,4809,100,84,0
76602,2021-03-22,Forsyth,North Carolina,37067,32957,357,32651,357,306,0
76603,2021-03-22,Franklin,North Carolina,37069,5844,46,5691,45,153,1
76604,2021-03-22,Gaston,North Carolina,37071,24497,398,24267,391,230,7
76605,2021-03-22,Gates,North Carolina,37073,697,12,691,12,6,0
76606,2021-03-22,Graham,North Carolina,37075,569,12,568,12,1,0
76607,2021-03-22,Granville,North Carolina,37077,5487,76,5425,76,62,0
76608,2021-03-22,Greene,North Carolina,37079,2175,42,2153,42,22,0
76609,2021-03-22,Guilford,North Carolina,37081,41851,589,41168,567,683,22
76610,2021-03-22,Halifax,North Carolina,37083,5110,103,5069,102,41,1
76611,2021-03-22,Harnett,North Carolina,37085,10216,161,10075,158,141,3
76612,2021-03-22,Haywood,North Carolina,37087,3962,90,3934,90,28,0
76613,2021-03-22,Henderson,North Carolina,37089,9375,152,9216,151,159,1
76614,2021-03-22,Hertford,North Carolina,37091,1989,63,1974,62,15,1
76615,2021-03-22,Hoke,North Carolina,37093,4289,55,4235,54,54,1
76616,2021-03-22,Hyde,North Carolina,37095,630,8,629,8,1,0
76617,2021-03-22,Iredell,North Carolina,37097,17132,202,16876,197,256,5
76618,2021-03-22,Jackson,North Carolina,37099,3448,55,3412,55,36,0
76619,2021-03-22,Johnston,North Carolina,37101,19000,206,18676,204,324,2
76620,2021-03-22,Jones,North Carolina,37103,767,16,753,16,14,0
76621,2021-03-22,Lee,North Carolina,37105,5597,73,5552,73,45,0
76622,2021-03-22,Lenoir,North Carolina,37107,5605,109,5553,109,52,0
76623,2021-03-22,Lincoln,North Carolina,37109,9156,77,9067,75,89,2
76627,2021-03-22,McDowell,North Carolina,37111,5004,62,4955,62,49,0
76624,2021-03-22,Macon,North Carolina,37113,2642,31,2614,31,28,0
76625,2021-03-22,Madison,North Carolina,37115,1427,40,1414,40,13,0
76626,2021-03-22,Martin,North Carolina,37117,2126,37,2107,37,19,0
76628,2021-03-22,Mecklenburg,North Carolina,37119,100719,906,99328,901,1391,5
76629,2021-03-22,Mitchell,North Carolina,37121,1288,16,1273,16,15,0
76630,2021-03-22,Montgomery,North Carolina,37123,3174,89,3135,89,39,0
76631,2021-03-22,Moore,North Carolina,37125,8269,182,8200,182,69,0
76632,2021-03-22,Nash,North Carolina,37127,10259,174,10055,172,204,2
76633,2021-03-22,New Hanover,North Carolina,37129,17090,160,16802,157,288,3
76634,2021-03-22,Northampton,North Carolina,37131,1763,39,1753,36,10,3
76635,2021-03-22,Onslow,North Carolina,37133,15184,139,15041,137,143,2
76636,2021-03-22,Orange,North Carolina,37135,7936,99,7852,97,84,2
76637,2021-03-22,Pamlico,North Carolina,37137,1021,11,991,10,30,1
76638,2021-03-22,Pasquotank,North Carolina,37139,3158,78,3130,78,28,0
76639,2021-03-22,Pender,North Carolina,37141,4947,68,4879,65,68,3
76640,2021-03-22,Perquimans,North Carolina,37143,938,9,936,9,2,0
76641,2021-03-22,Person,North Carolina,37145,3157,67,3111,67,46,0
76642,2021-03-22,Pitt,North Carolina,37147,18036,84,17883,84,153,0
76643,2021-03-22,Polk,North Carolina,37149,1392,27,1373,27,19,0
76644,2021-03-22,Randolph,North Carolina,37151,13987,208,13780,207,207,1
76645,2021-03-22,Richmond,North Carolina,37153,4321,92,4292,92,29,0
76646,2021-03-22,Robeson,North Carolina,37155,15591,221,15495,219,96,2
76647,2021-03-22,Rockingham,North Carolina,37157,7023,73,6971,64,52,9
76648,2021-03-22,Rowan,North Carolina,37159,15440,292,15278,291,162,1
76649,2021-03-22,Rutherford,North Carolina,37161,6885,201,6849,201,36,0
76650,2021-03-22,Sampson,North Carolina,37163,7268,97,7098,95,170,2
76651,2021-03-22,Scotland,North Carolina,37165,3546,80,3531,80,15,0
76652,2021-03-22,Stanly,North Carolina,37167,7159,112,7052,112,107,0
76653,2021-03-22,Stokes,North Carolina,37169,3745,76,3714,75,31,1
76654,2021-03-22,Surry,North Carolina,37171,7566,140,7501,140,65,0
76655,2021-03-22,Swain,North Carolina,37173,1181,16,1174,16,7,0
76656,2021-03-22,Transylvania,North Carolina,37175,2008,28,1984,28,24,0
76657,2021-03-22,Tyrrell,North Carolina,37177,307,6,305,6,2,0
76658,2021-03-22,Union,North Carolina,37179,21802,206,21430,204,372,2
76659,2021-03-22,Vance,North Carolina,37181,4556,85,4504,82,52,3
76660,2021-03-22,Wake,North Carolina,37183,83282,587,80904,574,2378,13
76661,2021-03-22,Warren,North Carolina,37185,1673,18,1655,18,18,0
76662,2021-03-22,Washington,North Carolina,37187,1009,31,1005,31,4,0
76663,2021-03-22,Watauga,North Carolina,37189,4172,30,4112,30,60,0
76664,2021-03-22,Wayne,North Carolina,37191,10469,233,10414,229,55,4
76665,2021-03-22,Wilkes,North Carolina,37193,6234,104,6154,104,80,0
76666,2021-03-22,Wilson,North Carolina,37195,8847,152,8710,152,137,0
76667,2021-03-22,Yadkin,North Carolina,37197,3774,47,3739,46,35,1
76668,2021-03-22,Yancey,North Carolina,37199,1497,26,1479,26,18,0
