,date,county,state,fips,cases,deaths,2021-03-15_Cases_Num,2021-03-15_Deaths_Num,diff_From_2021-03-15_Cases_Num,diff_From_2021-03-15_Deaths_Num
76669,2021-03-22,Adams,North Dakota,38001,267,3,266,3,1,0
76670,2021-03-22,Barnes,North Dakota,38003,1316,31,1307,31,9,0
76671,2021-03-22,Benson,North Dakota,38005,1033,18,1032,18,1,0
76672,2021-03-22,Billings,North Dakota,38007,53,0,53,0,0,0
76673,2021-03-22,Bottineau,North Dakota,38009,698,20,696,20,2,0
76674,2021-03-22,Bowman,North Dakota,38011,400,5,398,5,2,0
76675,2021-03-22,Burke,North Dakota,38013,229,1,228,1,1,0
76676,2021-03-22,Burleigh,North Dakota,38015,14793,187,14746,187,47,0
76677,2021-03-22,Cass,North Dakota,38017,21999,196,21717,196,282,0
76678,2021-03-22,Cavalier,North Dakota,38019,420,5,419,5,1,0
76679,2021-03-22,Dickey,North Dakota,38021,747,32,738,32,9,0
76680,2021-03-22,Divide,North Dakota,38023,172,2,172,2,0,0
76681,2021-03-22,Dunn,North Dakota,38025,369,7,368,7,1,0
76682,2021-03-22,Eddy,North Dakota,38027,461,6,459,6,2,0
76683,2021-03-22,Emmons,North Dakota,38029,409,13,408,12,1,1
76684,2021-03-22,Foster,North Dakota,38031,571,19,570,19,1,0
76685,2021-03-22,Golden Valley,North Dakota,38033,249,2,249,2,0,0
76686,2021-03-22,Grand Forks,North Dakota,38035,9932,76,9874,76,58,0
76687,2021-03-22,Grant,North Dakota,38037,187,7,186,7,1,0
76688,2021-03-22,Griggs,North Dakota,38039,308,2,307,2,1,0
76689,2021-03-22,Hettinger,North Dakota,38041,322,4,321,4,1,0
76690,2021-03-22,Kidder,North Dakota,38043,256,10,256,10,0,0
76691,2021-03-22,LaMoure,North Dakota,38045,502,17,499,17,3,0
76692,2021-03-22,Logan,North Dakota,38047,220,8,220,8,0,0
76693,2021-03-22,McHenry,North Dakota,38049,611,22,609,22,2,0
76694,2021-03-22,McIntosh,North Dakota,38051,324,7,324,7,0,0
76695,2021-03-22,McKenzie,North Dakota,38053,1183,12,1175,12,8,0
76696,2021-03-22,McLean,North Dakota,38055,1233,30,1226,30,7,0
76697,2021-03-22,Mercer,North Dakota,38057,1083,9,1078,9,5,0
76698,2021-03-22,Morton,North Dakota,38059,4979,97,4964,97,15,0
76699,2021-03-22,Mountrail,North Dakota,38061,1281,17,1277,17,4,0
76700,2021-03-22,Nelson,North Dakota,38063,453,14,449,13,4,1
76701,2021-03-22,Oliver,North Dakota,38065,154,3,154,2,0,1
76702,2021-03-22,Pembina,North Dakota,38067,771,11,758,11,13,0
76703,2021-03-22,Pierce,North Dakota,38069,531,25,531,25,0,0
76704,2021-03-22,Ramsey,North Dakota,38071,1650,30,1624,30,26,0
76705,2021-03-22,Ransom,North Dakota,38073,627,17,620,17,7,0
76706,2021-03-22,Renville,North Dakota,38075,310,13,306,13,4,0
76707,2021-03-22,Richland,North Dakota,38077,1851,17,1826,17,25,0
76708,2021-03-22,Rolette,North Dakota,38079,2131,28,2127,28,4,0
76709,2021-03-22,Sargent,North Dakota,38081,437,6,431,6,6,0
76710,2021-03-22,Sheridan,North Dakota,38083,105,2,104,2,1,0
76711,2021-03-22,Sioux,North Dakota,38085,642,11,641,11,1,0
76712,2021-03-22,Slope,North Dakota,38087,31,0,31,0,0,0
76713,2021-03-22,Stark,North Dakota,38089,4497,50,4456,50,41,0
76714,2021-03-22,Steele,North Dakota,38091,174,2,174,2,0,0
76715,2021-03-22,Stutsman,North Dakota,38093,3320,79,3309,79,11,0
76716,2021-03-22,Towner,North Dakota,38095,301,11,301,11,0,0
76717,2021-03-22,Traill,North Dakota,38097,1003,18,1000,18,3,0
76719,2021-03-22,Walsh,North Dakota,38099,1785,24,1775,24,10,0
76720,2021-03-22,Ward,North Dakota,38101,9319,191,9277,190,42,1
76721,2021-03-22,Wells,North Dakota,38103,433,8,432,8,1,0
76722,2021-03-22,Williams,North Dakota,38105,4569,36,4533,36,36,0
