,date,county,state,fips,cases,deaths,2021-03-15_Cases_Num,2021-03-15_Deaths_Num,diff_From_2021-03-15_Cases_Num,diff_From_2021-03-15_Deaths_Num
76814,2021-03-22,Adair,Oklahoma,40001,3145,26,3145,26,0,0
76815,2021-03-22,Alfalfa,Oklahoma,40003,1150,5,1150,5,0,0
76816,2021-03-22,Atoka,Oklahoma,40005,1831,15,1831,13,0,2
76817,2021-03-22,Beaver,Oklahoma,40007,453,6,453,6,0,0
76818,2021-03-22,Beckham,Oklahoma,40009,2819,39,2819,39,0,0
76819,2021-03-22,Blaine,Oklahoma,40011,1012,8,1012,8,0,0
76820,2021-03-22,Bryan,Oklahoma,40013,6006,57,6006,57,0,0
76821,2021-03-22,Caddo,Oklahoma,40015,3884,61,3884,61,0,0
76822,2021-03-22,Canadian,Oklahoma,40017,16254,102,16254,100,0,2
76823,2021-03-22,Carter,Oklahoma,40019,5825,65,5825,63,0,2
76824,2021-03-22,Cherokee,Oklahoma,40021,5500,44,5500,44,0,0
76825,2021-03-22,Choctaw,Oklahoma,40023,1592,14,1592,14,0,0
76826,2021-03-22,Cimarron,Oklahoma,40025,203,1,203,1,0,0
76827,2021-03-22,Cleveland,Oklahoma,40027,29247,290,29247,282,0,8
76828,2021-03-22,Coal,Oklahoma,40029,686,14,686,14,0,0
76829,2021-03-22,Comanche,Oklahoma,40031,12535,146,12535,145,0,1
76830,2021-03-22,Cotton,Oklahoma,40033,659,14,659,14,0,0
76831,2021-03-22,Craig,Oklahoma,40035,1916,11,1916,11,0,0
76832,2021-03-22,Creek,Oklahoma,40037,6685,121,6685,121,0,0
76833,2021-03-22,Custer,Oklahoma,40039,4044,72,4044,72,0,0
76834,2021-03-22,Delaware,Oklahoma,40041,4477,64,4477,63,0,1
76835,2021-03-22,Dewey,Oklahoma,40043,538,6,538,6,0,0
76836,2021-03-22,Ellis,Oklahoma,40045,353,3,353,3,0,0
76837,2021-03-22,Garfield,Oklahoma,40047,7656,82,7656,82,0,0
76838,2021-03-22,Garvin,Oklahoma,40049,3505,55,3505,54,0,1
76839,2021-03-22,Grady,Oklahoma,40051,5739,81,5739,80,0,1
76840,2021-03-22,Grant,Oklahoma,40053,543,7,543,7,0,0
76841,2021-03-22,Greer,Oklahoma,40055,567,17,567,17,0,0
76842,2021-03-22,Harmon,Oklahoma,40057,294,3,294,3,0,0
76843,2021-03-22,Harper,Oklahoma,40059,409,4,409,4,0,0
76844,2021-03-22,Haskell,Oklahoma,40061,1235,11,1235,11,0,0
76845,2021-03-22,Hughes,Oklahoma,40063,1183,19,1183,18,0,1
76846,2021-03-22,Jackson,Oklahoma,40065,2973,46,2973,45,0,1
76847,2021-03-22,Jefferson,Oklahoma,40067,675,12,675,12,0,0
76848,2021-03-22,Johnston,Oklahoma,40069,1343,20,1343,20,0,0
76849,2021-03-22,Kay,Oklahoma,40071,5134,84,5134,83,0,1
76850,2021-03-22,Kingfisher,Oklahoma,40073,2004,26,2004,26,0,0
76851,2021-03-22,Kiowa,Oklahoma,40075,804,16,804,16,0,0
76852,2021-03-22,Latimer,Oklahoma,40077,827,9,827,9,0,0
76853,2021-03-22,Le Flore,Oklahoma,40079,5462,46,5462,46,0,0
76854,2021-03-22,Lincoln,Oklahoma,40081,3128,58,3128,57,0,1
76855,2021-03-22,Logan,Oklahoma,40083,4076,34,4076,31,0,3
