,date,county,state,fips,cases,deaths,2021-03-15_Cases_Num,2021-03-15_Deaths_Num,diff_From_2021-03-15_Cases_Num,diff_From_2021-03-15_Deaths_Num
76928,2021-03-22,Adams,Pennsylvania,42001,7758,158,7614,155,144,3
76929,2021-03-22,Allegheny,Pennsylvania,42003,82080,1780,80054,1769,2026,11
76930,2021-03-22,Armstrong,Pennsylvania,42005,5059,118,4992,116,67,2
76931,2021-03-22,Beaver,Pennsylvania,42007,12806,355,12659,353,147,2
76932,2021-03-22,Bedford,Pennsylvania,42009,3914,130,3879,129,35,1
76933,2021-03-22,Berks,Pennsylvania,42011,38226,920,37228,913,998,7
76934,2021-03-22,Blair,Pennsylvania,42013,10919,309,10815,305,104,4
76935,2021-03-22,Bradford,Pennsylvania,42015,4615,82,4512,79,103,3
76936,2021-03-22,Bucks,Pennsylvania,42017,48633,1165,47280,1155,1353,10
76937,2021-03-22,Butler,Pennsylvania,42019,14730,382,14445,375,285,7
76938,2021-03-22,Cambria,Pennsylvania,42021,12058,402,11958,402,100,0
76939,2021-03-22,Cameron,Pennsylvania,42023,267,6,266,7,1,-1
76940,2021-03-22,Carbon,Pennsylvania,42025,5152,156,5025,154,127,2
76941,2021-03-22,Centre,Pennsylvania,42027,13909,213,13421,214,488,-1
76942,2021-03-22,Chester,Pennsylvania,42029,32682,746,31878,743,804,3
76943,2021-03-22,Clarion,Pennsylvania,42031,2774,87,2746,86,28,1
76944,2021-03-22,Clearfield,Pennsylvania,42033,6849,124,6639,121,210,3
76945,2021-03-22,Clinton,Pennsylvania,42035,2992,57,2925,57,67,0
76946,2021-03-22,Columbia,Pennsylvania,42037,4834,125,4766,125,68,0
76947,2021-03-22,Crawford,Pennsylvania,42039,6597,141,6537,140,60,1
76948,2021-03-22,Cumberland,Pennsylvania,42041,17475,491,17157,486,318,5
76949,2021-03-22,Dauphin,Pennsylvania,42043,21726,511,21374,506,352,5
76950,2021-03-22,Delaware,Pennsylvania,42045,43248,1322,42502,1305,746,17
76951,2021-03-22,Elk,Pennsylvania,42047,2436,36,2370,36,66,0
76952,2021-03-22,Erie,Pennsylvania,42049,18341,389,18118,387,223,2
76953,2021-03-22,Fayette,Pennsylvania,42051,10957,282,10760,273,197,9
76954,2021-03-22,Forest,Pennsylvania,42053,1389,21,1386,21,3,0
76955,2021-03-22,Franklin,Pennsylvania,42055,13123,337,12903,332,220,5
76956,2021-03-22,Fulton,Pennsylvania,42057,1165,15,1157,14,8,1
76957,2021-03-22,Greene,Pennsylvania,42059,2775,35,2739,35,36,0
76958,2021-03-22,Huntingdon,Pennsylvania,42061,4493,126,4449,126,44,0
76959,2021-03-22,Indiana,Pennsylvania,42063,5251,160,5190,160,61,0
76960,2021-03-22,Jefferson,Pennsylvania,42065,2906,90,2860,90,46,0
76961,2021-03-22,Juniata,Pennsylvania,42067,1871,81,1858,81,13,0
76962,2021-03-22,Lackawanna,Pennsylvania,42069,14908,429,14555,428,353,1
76963,2021-03-22,Lancaster,Pennsylvania,42071,46275,1073,45397,1063,878,10
76964,2021-03-22,Lawrence,Pennsylvania,42073,6400,193,6285,189,115,4
76965,2021-03-22,Lebanon,Pennsylvania,42075,13432,264,13229,263,203,1
76966,2021-03-22,Lehigh,Pennsylvania,42077,32671,799,31926,788,745,11
76967,2021-03-22,Luzerne,Pennsylvania,42079,26204,756,25713,747,491,9
76968,2021-03-22,Lycoming,Pennsylvania,42081,9846,257,9657,254,189,3
76969,2021-03-22,McKean,Pennsylvania,42083,3120,65,3100,65,20,0
76970,2021-03-22,Mercer,Pennsylvania,42085,8411,245,8336,244,75,1
76971,2021-03-22,Mifflin,Pennsylvania,42087,4703,175,4670,174,33,1
76972,2021-03-22,Monroe,Pennsylvania,42089,10761,283,10346,279,415,4
76973,2021-03-22,Montgomery,Pennsylvania,42091,57655,1593,56338,1581,1317,12
76974,2021-03-22,Montour,Pennsylvania,42093,1801,60,1778,60,23,0
76975,2021-03-22,Northampton,Pennsylvania,42095,28955,669,28136,661,819,8
76976,2021-03-22,Northumberland,Pennsylvania,42097,8360,330,8227,328,133,2
76977,2021-03-22,Perry,Pennsylvania,42099,3100,88,3010,87,90,1
76978,2021-03-22,Philadelphia,Pennsylvania,42101,125428,3231,122598,3208,2830,23
76979,2021-03-22,Pike,Pennsylvania,42103,2912,50,2753,48,159,2
76980,2021-03-22,Potter,Pennsylvania,42105,972,21,962,21,10,0
76981,2021-03-22,Schuylkill,Pennsylvania,42107,12510,378,12331,376,179,2
76982,2021-03-22,Snyder,Pennsylvania,42109,3222,82,3178,82,44,0
76983,2021-03-22,Somerset,Pennsylvania,42111,6859,185,6797,186,62,-1
76984,2021-03-22,Sullivan,Pennsylvania,42113,338,20,319,20,19,0
76985,2021-03-22,Susquehanna,Pennsylvania,42115,1849,53,1775,53,74,0
76986,2021-03-22,Tioga,Pennsylvania,42117,2529,94,2494,94,35,0
76987,2021-03-22,Union,Pennsylvania,42119,5369,84,5311,83,58,1
76988,2021-03-22,Venango,Pennsylvania,42121,3492,89,3466,89,26,0
76989,2021-03-22,Warren,Pennsylvania,42123,2247,98,2233,98,14,0
76990,2021-03-22,Washington,Pennsylvania,42125,14484,271,14182,271,302,0
76991,2021-03-22,Wayne,Pennsylvania,42127,3265,69,3182,68,83,1
76992,2021-03-22,Westmoreland,Pennsylvania,42129,28221,698,27646,688,575,10
76993,2021-03-22,Wyoming,Pennsylvania,42131,1286,42,1214,42,72,0
76994,2021-03-22,York,Pennsylvania,42133,38027,743,37166,742,861,1
