,date,county,state,fips,cases,deaths,2021-03-15_Cases_Num,2021-03-15_Deaths_Num,diff_From_2021-03-15_Cases_Num,diff_From_2021-03-15_Deaths_Num
77080,2021-03-22,Abbeville,South Carolina,45001,2374,36,2333,35,41,1
77081,2021-03-22,Aiken,South Carolina,45003,16348,215,16200,211,148,4
77082,2021-03-22,Allendale,South Carolina,45005,887,15,883,15,4,0
77083,2021-03-22,Anderson,South Carolina,45007,21365,491,21082,484,283,7
77084,2021-03-22,Bamberg,South Carolina,45009,1498,50,1490,50,8,0
77085,2021-03-22,Barnwell,South Carolina,45011,2460,53,2439,52,21,1
77086,2021-03-22,Beaufort,South Carolina,45013,16074,195,15905,193,169,2
77087,2021-03-22,Berkeley,South Carolina,45015,15844,180,15534,174,310,6
77088,2021-03-22,Calhoun,South Carolina,45017,1269,36,1257,36,12,0
77089,2021-03-22,Charleston,South Carolina,45019,39983,475,39317,466,666,9
77090,2021-03-22,Cherokee,South Carolina,45021,5652,145,5565,142,87,3
77091,2021-03-22,Chester,South Carolina,45023,3909,69,3836,69,73,0
77092,2021-03-22,Chesterfield,South Carolina,45025,4508,99,4414,98,94,1
77093,2021-03-22,Clarendon,South Carolina,45027,3217,105,3141,103,76,2
77094,2021-03-22,Colleton,South Carolina,45029,3358,118,3323,117,35,1
77095,2021-03-22,Darlington,South Carolina,45031,8091,170,8013,168,78,2
77096,2021-03-22,Dillon,South Carolina,45033,4157,81,4104,81,53,0
77097,2021-03-22,Dorchester,South Carolina,45035,15989,201,15706,197,283,4
77098,2021-03-22,Edgefield,South Carolina,45037,2925,40,2883,40,42,0
77099,2021-03-22,Fairfield,South Carolina,45039,2232,77,2171,77,61,0
77100,2021-03-22,Florence,South Carolina,45041,17079,394,16951,388,128,6
77101,2021-03-22,Georgetown,South Carolina,45043,6415,137,6371,136,44,1
77102,2021-03-22,Greenville,South Carolina,45045,67577,932,66331,914,1246,18
77103,2021-03-22,Greenwood,South Carolina,45047,7491,163,7337,160,154,3
77104,2021-03-22,Hampton,South Carolina,45049,1801,46,1762,45,39,1
77105,2021-03-22,Horry,South Carolina,45051,36333,550,35785,542,548,8
77106,2021-03-22,Jasper,South Carolina,45053,2209,43,2192,43,17,0
77107,2021-03-22,Kershaw,South Carolina,45055,6966,130,6867,128,99,2
77108,2021-03-22,Lancaster,South Carolina,45057,9958,153,9849,149,109,4
77109,2021-03-22,Laurens,South Carolina,45059,6564,161,6451,162,113,-1
77110,2021-03-22,Lee,South Carolina,45061,1821,58,1811,58,10,0
77111,2021-03-22,Lexington,South Carolina,45063,31123,458,30717,451,406,7
77114,2021-03-22,McCormick,South Carolina,45065,981,27,965,27,16,0
77112,2021-03-22,Marion,South Carolina,45067,3361,101,3309,101,52,0
77113,2021-03-22,Marlboro,South Carolina,45069,3108,51,3070,51,38,0
77115,2021-03-22,Newberry,South Carolina,45071,4608,94,4509,92,99,2
77116,2021-03-22,Oconee,South Carolina,45073,8753,131,8680,130,73,1
77117,2021-03-22,Orangeburg,South Carolina,45075,9213,230,9068,222,145,8
77118,2021-03-22,Pickens,South Carolina,45077,17169,278,16931,273,238,5
77119,2021-03-22,Richland,South Carolina,45079,43213,522,42625,516,588,6
77120,2021-03-22,Saluda,South Carolina,45081,1687,48,1665,47,22,1
77121,2021-03-22,Spartanburg,South Carolina,45083,37840,755,37222,740,618,15
77122,2021-03-22,Sumter,South Carolina,45085,9991,190,9845,181,146,9
77123,2021-03-22,Union,South Carolina,45087,2786,82,2759,80,27,2
77124,2021-03-22,Williamsburg,South Carolina,45089,3910,94,3883,93,27,1
77125,2021-03-22,York,South Carolina,45091,28106,348,27637,341,469,7
