,date,county,state,fips,cases,deaths,2021-03-15_Cases_Num,2021-03-15_Deaths_Num,diff_From_2021-03-15_Cases_Num,diff_From_2021-03-15_Deaths_Num
77126,2021-03-22,Aurora,South Dakota,46003,455,15,454,15,1,0
77127,2021-03-22,Beadle,South Dakota,46005,2841,39,2825,39,16,0
77128,2021-03-22,Bennett,South Dakota,46007,385,9,383,9,2,0
77129,2021-03-22,Bon Homme,South Dakota,46009,1512,26,1510,26,2,0
77130,2021-03-22,Brookings,South Dakota,46011,3714,37,3663,37,51,0
77131,2021-03-22,Brown,South Dakota,46013,5242,91,5207,89,35,2
77132,2021-03-22,Brule,South Dakota,46015,700,9,697,9,3,0
77133,2021-03-22,Buffalo,South Dakota,46017,422,13,421,13,1,0
77134,2021-03-22,Butte,South Dakota,46019,1007,20,990,20,17,0
77135,2021-03-22,Campbell,South Dakota,46021,131,4,131,4,0,0
77136,2021-03-22,Charles Mix,South Dakota,46023,1328,21,1320,21,8,0
77137,2021-03-22,Clark,South Dakota,46025,395,5,377,5,18,0
77138,2021-03-22,Clay,South Dakota,46027,1842,15,1823,15,19,0
77139,2021-03-22,Codington,South Dakota,46029,4142,79,4093,77,49,2
77140,2021-03-22,Corson,South Dakota,46031,475,12,473,12,2,0
77141,2021-03-22,Custer,South Dakota,46033,775,12,768,12,7,0
77142,2021-03-22,Davison,South Dakota,46035,3035,67,3000,65,35,2
77143,2021-03-22,Day,South Dakota,46037,682,29,675,29,7,0
77144,2021-03-22,Deuel,South Dakota,46039,488,8,479,8,9,0
77145,2021-03-22,Dewey,South Dakota,46041,1435,26,1434,26,1,0
77146,2021-03-22,Douglas,South Dakota,46043,439,9,437,9,2,0
77147,2021-03-22,Edmunds,South Dakota,46045,489,13,488,13,1,0
77148,2021-03-22,Fall River,South Dakota,46047,558,15,553,15,5,0
77149,2021-03-22,Faulk,South Dakota,46049,363,13,362,13,1,0
77150,2021-03-22,Grant,South Dakota,46051,995,40,988,39,7,1
77151,2021-03-22,Gregory,South Dakota,46053,566,30,555,30,11,0
77152,2021-03-22,Haakon,South Dakota,46055,260,10,258,10,2,0
77153,2021-03-22,Hamlin,South Dakota,46057,737,38,729,38,8,0
77154,2021-03-22,Hand,South Dakota,46059,356,6,350,6,6,0
77155,2021-03-22,Hanson,South Dakota,46061,374,4,370,4,4,0
77156,2021-03-22,Harding,South Dakota,46063,92,1,92,1,0,0
77157,2021-03-22,Hughes,South Dakota,46065,2346,36,2333,36,13,0
77158,2021-03-22,Hutchinson,South Dakota,46067,803,26,796,26,7,0
77159,2021-03-22,Hyde,South Dakota,46069,140,1,139,1,1,0
77160,2021-03-22,Jackson,South Dakota,46071,284,14,281,14,3,0
77161,2021-03-22,Jerauld,South Dakota,46073,275,16,275,16,0,0
77162,2021-03-22,Jones,South Dakota,46075,89,0,86,0,3,0
77163,2021-03-22,Kingsbury,South Dakota,46077,673,14,653,14,20,0
77164,2021-03-22,Lake,South Dakota,46079,1266,18,1237,18,29,0
77165,2021-03-22,Lawrence,South Dakota,46081,2878,45,2840,45,38,0
77166,2021-03-22,Lincoln,South Dakota,46083,8073,77,7944,77,129,0
77167,2021-03-22,Lyman,South Dakota,46085,613,10,607,10,6,0
77169,2021-03-22,McCook,South Dakota,46087,771,24,766,24,5,0
77170,2021-03-22,McPherson,South Dakota,46089,240,4,240,4,0,0
77168,2021-03-22,Marshall,South Dakota,46091,362,6,349,6,13,0
77171,2021-03-22,Meade,South Dakota,46093,2675,31,2642,31,33,0
77172,2021-03-22,Mellette,South Dakota,46095,255,2,256,2,-1,0
77173,2021-03-22,Miner,South Dakota,46097,282,9,277,9,5,0
77174,2021-03-22,Minnehaha,South Dakota,46099,29067,340,28662,337,405,3
77175,2021-03-22,Moody,South Dakota,46101,623,17,621,17,2,0
77176,2021-03-22,Oglala Lakota,South Dakota,46102,2082,49,2075,49,7,0
77177,2021-03-22,Pennington,South Dakota,46103,13174,190,13072,189,102,1
77178,2021-03-22,Perkins,South Dakota,46105,351,14,348,14,3,0
77179,2021-03-22,Potter,South Dakota,46107,387,4,384,4,3,0
77180,2021-03-22,Roberts,South Dakota,46109,1290,36,1261,36,29,0
77181,2021-03-22,Sanborn,South Dakota,46111,336,3,335,3,1,0
77182,2021-03-22,Spink,South Dakota,46115,820,26,814,26,6,0
77183,2021-03-22,Stanley,South Dakota,46117,339,2,338,2,1,0
77184,2021-03-22,Sully,South Dakota,46119,137,3,137,3,0,0
77185,2021-03-22,Todd,South Dakota,46121,1221,29,1220,29,1,0
77186,2021-03-22,Tripp,South Dakota,46123,729,16,720,16,9,0
77187,2021-03-22,Turner,South Dakota,46125,1117,53,1091,53,26,0
77188,2021-03-22,Union,South Dakota,46127,2084,40,2035,40,49,0
77189,2021-03-22,Walworth,South Dakota,46129,741,15,733,15,8,0
77190,2021-03-22,Yankton,South Dakota,46135,2877,28,2840,28,37,0
77191,2021-03-22,Ziebach,South Dakota,46137,337,9,337,9,0,0
