,date,county,state,fips,cases,deaths,2021-03-15_Cases_Num,2021-03-15_Deaths_Num,diff_From_2021-03-15_Cases_Num,diff_From_2021-03-15_Deaths_Num
77288,2021-03-22,Anderson,Texas,48001,6070,112,6089,112,-19,0
77289,2021-03-22,Andrews,Texas,48003,1710,47,1710,46,0,1
77290,2021-03-22,Angelina,Texas,48005,8051,268,8036,265,15,3
77291,2021-03-22,Aransas,Texas,48007,1173,35,1162,35,11,0
77292,2021-03-22,Archer,Texas,48009,787,12,785,12,2,0
77293,2021-03-22,Armstrong,Texas,48011,151,6,151,6,0,0
77294,2021-03-22,Atascosa,Texas,48013,5511,143,5469,142,42,1
77295,2021-03-22,Austin,Texas,48015,1972,34,1935,32,37,2
77296,2021-03-22,Bailey,Texas,48017,811,18,812,18,-1,0
77297,2021-03-22,Bandera,Texas,48019,1308,27,1294,27,14,0
77298,2021-03-22,Bastrop,Texas,48021,8715,88,8623,86,92,2
77299,2021-03-22,Baylor,Texas,48023,293,11,292,11,1,0
77300,2021-03-22,Bee,Texas,48025,3449,68,3430,65,19,3
77301,2021-03-22,Bell,Texas,48027,21260,408,21052,401,208,7
77302,2021-03-22,Bexar,Texas,48029,202728,3218,200830,3131,1898,87
77303,2021-03-22,Blanco,Texas,48031,697,19,693,18,4,1
77304,2021-03-22,Borden,Texas,48033,30,2,22,2,8,0
77305,2021-03-22,Bosque,Texas,48035,1623,33,1615,32,8,1
77306,2021-03-22,Bowie,Texas,48037,6761,198,6715,195,46,3
77307,2021-03-22,Brazoria,Texas,48039,34803,429,34373,411,430,18
77308,2021-03-22,Brazos,Texas,48041,22538,231,22068,226,470,5
77309,2021-03-22,Brewster,Texas,48043,898,12,891,12,7,0
77310,2021-03-22,Briscoe,Texas,48045,138,5,138,5,0,0
77311,2021-03-22,Brooks,Texas,48047,771,36,770,36,1,0
77312,2021-03-22,Brown,Texas,48049,4209,133,4189,132,20,1
77313,2021-03-22,Burleson,Texas,48051,2282,38,2267,37,15,1
77314,2021-03-22,Burnet,Texas,48053,4437,61,4378,60,59,1
77315,2021-03-22,Caldwell,Texas,48055,5318,92,5268,90,50,2
77316,2021-03-22,Calhoun,Texas,48057,2102,20,2081,20,21,0
77317,2021-03-22,Callahan,Texas,48059,1157,38,1154,38,3,0
