,date,county,state,fips,cases,deaths,2021-03-15_Cases_Num,2021-03-15_Deaths_Num,diff_From_2021-03-15_Cases_Num,diff_From_2021-03-15_Deaths_Num
77762,2021-03-22,Barbour,West Virginia,54001,1309,23,1294,23,15,0
77763,2021-03-22,Berkeley,West Virginia,54003,10272,114,10055,104,217,10
77764,2021-03-22,Boone,West Virginia,54005,1698,37,1648,33,50,4
77765,2021-03-22,Braxton,West Virginia,54007,814,1,792,1,22,0
77766,2021-03-22,Brooke,West Virginia,54009,2048,60,2040,56,8,4
77767,2021-03-22,Cabell,West Virginia,54011,8207,172,8085,167,122,5
77768,2021-03-22,Calhoun,West Virginia,54013,238,0,234,0,4,0
77769,2021-03-22,Clay,West Virginia,54015,385,8,381,8,4,0
77770,2021-03-22,Doddridge,West Virginia,54017,505,6,484,6,21,0
77771,2021-03-22,Fayette,West Virginia,54019,2882,73,2784,73,98,0
77772,2021-03-22,Gilmer,West Virginia,54021,726,8,721,8,5,0
77773,2021-03-22,Grant,West Virginia,54023,1152,27,1132,27,20,0
77774,2021-03-22,Greenbrier,West Virginia,54025,2462,60,2448,60,14,0
77775,2021-03-22,Hampshire,West Virginia,54027,1585,32,1562,29,23,3
77776,2021-03-22,Hancock,West Virginia,54029,2610,95,2597,92,13,3
77777,2021-03-22,Hardy,West Virginia,54031,1347,23,1311,23,36,0
77778,2021-03-22,Harrison,West Virginia,54033,5047,76,4964,75,83,1
77779,2021-03-22,Jackson,West Virginia,54035,1740,57,1700,55,40,2
77780,2021-03-22,Jefferson,West Virginia,54037,3854,45,3718,44,136,1
77781,2021-03-22,Kanawha,West Virginia,54039,12644,324,12400,312,244,12
77782,2021-03-22,Lewis,West Virginia,54041,1071,20,1065,19,6,1
77783,2021-03-22,Lincoln,West Virginia,54043,1328,20,1286,17,42,3
77784,2021-03-22,Logan,West Virginia,54045,2898,82,2812,80,86,2
77788,2021-03-22,McDowell,West Virginia,54047,1400,22,1388,22,12,0
77785,2021-03-22,Marion,West Virginia,54049,3843,46,3786,44,57,2
77786,2021-03-22,Marshall,West Virginia,54051,3143,72,3106,71,37,1
77787,2021-03-22,Mason,West Virginia,54053,1835,40,1815,40,20,0
77789,2021-03-22,Mercer,West Virginia,54055,4333,120,4296,119,37,1
77790,2021-03-22,Mineral,West Virginia,54057,2617,80,2604,79,13,1
77791,2021-03-22,Mingo,West Virginia,54059,2242,36,2200,36,42,0
77792,2021-03-22,Monongalia,West Virginia,54061,8458,84,8308,81,150,3
77793,2021-03-22,Monroe,West Virginia,54063,1001,14,983,14,18,0
77794,2021-03-22,Morgan,West Virginia,54065,961,16,949,15,12,1
77795,2021-03-22,Nicholas,West Virginia,54067,1333,15,1266,13,67,2
77796,2021-03-22,Ohio,West Virginia,54069,3762,77,3710,76,52,1
77797,2021-03-22,Pendleton,West Virginia,54071,635,7,624,7,11,0
77798,2021-03-22,Pleasants,West Virginia,54073,817,18,812,18,5,0
77799,2021-03-22,Pocahontas,West Virginia,54075,607,9,601,9,6,0
77800,2021-03-22,Preston,West Virginia,54077,2665,46,2631,45,34,1
77801,2021-03-22,Putnam,West Virginia,54079,4415,88,4356,84,59,4
77802,2021-03-22,Raleigh,West Virginia,54081,5175,67,4961,66,214,1
77803,2021-03-22,Randolph,West Virginia,54083,2435,12,2430,13,5,-1
77804,2021-03-22,Ritchie,West Virginia,54085,634,11,632,11,2,0
77805,2021-03-22,Roane,West Virginia,54087,509,8,510,8,-1,0
77806,2021-03-22,Summers,West Virginia,54089,714,23,706,23,8,0
77807,2021-03-22,Taylor,West Virginia,54091,1126,21,1102,21,24,0
77808,2021-03-22,Tucker,West Virginia,54093,512,10,509,9,3,1
77809,2021-03-22,Tyler,West Virginia,54095,650,7,638,7,12,0
77810,2021-03-22,Upshur,West Virginia,54097,1744,32,1724,31,20,1
77811,2021-03-22,Wayne,West Virginia,54099,2680,34,2635,33,45,1
77812,2021-03-22,Webster,West Virginia,54101,421,7,380,6,41,1
77813,2021-03-22,Wetzel,West Virginia,54103,1133,25,1107,23,26,2
77814,2021-03-22,Wirt,West Virginia,54105,365,3,364,2,1,1
77815,2021-03-22,Wood,West Virginia,54107,7323,161,7260,155,63,6
77816,2021-03-22,Wyoming,West Virginia,54109,1792,38,1772,38,20,0
