,date,county,state,fips,cases,deaths,2021-03-15_Cases_Num,2021-03-15_Deaths_Num,diff_From_2021-03-15_Cases_Num,diff_From_2021-03-15_Deaths_Num
77889,2021-03-22,Albany,Wyoming,56001,3947,11,3931,11,16,0
77890,2021-03-22,Big Horn,Wyoming,56003,1102,32,1091,31,11,1
77891,2021-03-22,Campbell,Wyoming,56005,4719,59,4710,59,9,0
77892,2021-03-22,Carbon,Wyoming,56007,1511,23,1498,23,13,0
77893,2021-03-22,Converse,Wyoming,56009,981,17,974,17,7,0
77894,2021-03-22,Crook,Wyoming,56011,422,11,419,11,3,0
77895,2021-03-22,Fremont,Wyoming,56013,5007,82,4953,82,54,0
77896,2021-03-22,Goshen,Wyoming,56015,1165,23,1159,23,6,0
77897,2021-03-22,Hot Springs,Wyoming,56017,363,3,362,3,1,0
77898,2021-03-22,Johnson,Wyoming,56019,713,10,711,10,2,0
77899,2021-03-22,Laramie,Wyoming,56021,8469,110,8389,110,80,0
77900,2021-03-22,Lincoln,Wyoming,56023,1309,12,1285,12,24,0
77901,2021-03-22,Natrona,Wyoming,56025,7780,132,7771,132,9,0
77902,2021-03-22,Niobrara,Wyoming,56027,150,2,150,2,0,0
77903,2021-03-22,Park,Wyoming,56029,2640,29,2630,29,10,0
77904,2021-03-22,Platte,Wyoming,56031,606,11,603,11,3,0
77905,2021-03-22,Sheridan,Wyoming,56033,3053,31,3044,30,9,1
77906,2021-03-22,Sublette,Wyoming,56035,688,7,681,7,7,0
77907,2021-03-22,Sweetwater,Wyoming,56037,3947,36,3889,36,58,0
77908,2021-03-22,Teton,Wyoming,56039,3530,9,3467,9,63,0
77909,2021-03-22,Uinta,Wyoming,56041,2109,12,2091,12,18,0
77910,2021-03-22,Washakie,Wyoming,56043,888,26,888,26,0,0
77911,2021-03-22,Weston,Wyoming,56045,631,5,631,5,0,0
