,date,county,state,fips,cases,deaths,2021-03-21_Cases_Num,2021-03-21_Deaths_Num,diff_From_2021-03-21_Cases_Num,diff_From_2021-03-21_Deaths_Num
94149,2021-03-28,Autauga,Alabama,01001,6570,99,6513,98,57,1
94150,2021-03-28,Baldwin,Alabama,01003,20473,301,20347,296,126,5
94151,2021-03-28,Barbour,Alabama,01005,2226,54,2212,54,14,0
94152,2021-03-28,Bibb,Alabama,01007,2536,58,2529,58,7,0
94153,2021-03-28,Blount,Alabama,01009,6424,131,6383,130,41,1
94154,2021-03-28,Bullock,Alabama,01011,1204,39,1194,39,10,0
94155,2021-03-28,Butler,Alabama,01013,2096,66,2072,66,24,0
94156,2021-03-28,Calhoun,Alabama,01015,14199,304,14162,303,37,1
94157,2021-03-28,Chambers,Alabama,01017,3485,116,3466,114,19,2
94158,2021-03-28,Cherokee,Alabama,01019,1804,43,1794,42,10,1
94159,2021-03-28,Chilton,Alabama,01021,4025,109,4007,107,18,2
94160,2021-03-28,Choctaw,Alabama,01023,584,24,581,24,3,0
94161,2021-03-28,Clarke,Alabama,01025,3462,58,3475,57,-13,1
94162,2021-03-28,Clay,Alabama,01027,1480,54,1480,54,0,0
94163,2021-03-28,Cleburne,Alabama,01029,1451,41,1446,41,5,0
94164,2021-03-28,Coffee,Alabama,01031,5376,108,5344,107,32,1
94165,2021-03-28,Colbert,Alabama,01033,6159,125,6122,125,37,0
94166,2021-03-28,Conecuh,Alabama,01035,1086,26,1083,25,3,1
94167,2021-03-28,Coosa,Alabama,01037,942,24,944,24,-2,0
94168,2021-03-28,Covington,Alabama,01039,4037,111,4027,110,10,1
94169,2021-03-28,Crenshaw,Alabama,01041,1501,57,1491,57,10,0
94170,2021-03-28,Cullman,Alabama,01043,9353,186,9289,185,64,1
94171,2021-03-28,Dale,Alabama,01045,4753,109,4730,109,23,0
94172,2021-03-28,Dallas,Alabama,01047,3513,148,3502,146,11,2
94173,2021-03-28,DeKalb,Alabama,01049,8693,179,8674,179,19,0
94174,2021-03-28,Elmore,Alabama,01051,9937,201,9831,198,106,3
94175,2021-03-28,Escambia,Alabama,01053,3858,74,3839,74,19,0
94176,2021-03-28,Etowah,Alabama,01055,13633,342,13604,339,29,3
94177,2021-03-28,Fayette,Alabama,01057,2060,59,2051,58,9,1
94178,2021-03-28,Franklin,Alabama,01059,4184,82,4177,82,7,0
94179,2021-03-28,Geneva,Alabama,01061,2445,73,2426,71,19,2
94180,2021-03-28,Greene,Alabama,01063,903,34,897,33,6,1
94181,2021-03-28,Hale,Alabama,01065,2159,73,2147,72,12,1
94182,2021-03-28,Henry,Alabama,01067,1865,42,1859,42,6,0
94183,2021-03-28,Houston,Alabama,01069,10311,271,10255,269,56,2
94184,2021-03-28,Jackson,Alabama,01071,6720,106,6705,105,15,1
94185,2021-03-28,Jefferson,Alabama,01073,74521,1455,74079,1442,442,13
94186,2021-03-28,Lamar,Alabama,01075,1384,33,1372,33,12,0
94187,2021-03-28,Lauderdale,Alabama,01077,9100,218,9024,217,76,1
94188,2021-03-28,Lawrence,Alabama,01079,2918,94,2910,92,8,2
94189,2021-03-28,Lee,Alabama,01081,15389,166,15282,166,107,0
94190,2021-03-28,Limestone,Alabama,01083,9721,145,9670,142,51,3
94191,2021-03-28,Lowndes,Alabama,01085,1359,53,1356,52,3,1
94192,2021-03-28,Macon,Alabama,01087,1534,47,1520,47,14,0
94193,2021-03-28,Madison,Alabama,01089,33463,488,33268,486,195,2
94194,2021-03-28,Marengo,Alabama,01091,2496,58,2484,58,12,0
94195,2021-03-28,Marion,Alabama,01093,3050,99,3042,99,8,0
94196,2021-03-28,Marshall,Alabama,01095,11839,217,11803,218,36,-1
94197,2021-03-28,Mobile,Alabama,01097,37449,789,37240,775,209,14
94198,2021-03-28,Monroe,Alabama,01099,1701,39,1692,39,9,0
94199,2021-03-28,Montgomery,Alabama,01101,23661,550,23426,543,235,7
94200,2021-03-28,Morgan,Alabama,01103,14114,263,14060,259,54,4
94201,2021-03-28,Perry,Alabama,01105,1078,27,1077,27,1,0
94202,2021-03-28,Pickens,Alabama,01107,2322,57,2319,57,3,0
94203,2021-03-28,Pike,Alabama,01109,3037,74,2993,74,44,0
94204,2021-03-28,Randolph,Alabama,01111,1746,41,1733,41,13,0
94205,2021-03-28,Russell,Alabama,01113,4218,36,4191,36,27,0
94207,2021-03-28,St. Clair,Alabama,01115,9327,232,9279,231,48,1
94206,2021-03-28,Shelby,Alabama,01117,22976,232,22814,229,162,3
94208,2021-03-28,Sumter,Alabama,01119,1022,32,1023,31,-1,1
94209,2021-03-28,Talladega,Alabama,01121,7964,167,7875,167,89,0
94210,2021-03-28,Tallapoosa,Alabama,01123,3842,144,3832,144,10,0
94211,2021-03-28,Tuscaloosa,Alabama,01125,25011,434,24844,434,167,0
94212,2021-03-28,Walker,Alabama,01127,7043,274,7015,269,28,5
94213,2021-03-28,Washington,Alabama,01129,1638,38,1630,38,8,0
94214,2021-03-28,Wilcox,Alabama,01131,1247,26,1247,26,0,0
94215,2021-03-28,Winston,Alabama,01133,2714,71,2702,71,12,0
