,date,county,state,fips,cases,deaths,2021-03-21_Cases_Num,2021-03-21_Deaths_Num,diff_From_2021-03-21_Cases_Num,diff_From_2021-03-21_Deaths_Num
94216,2021-03-28,Aleutians East Borough,Alaska,02013,363,2,363,2,0,0
94217,2021-03-28,Aleutians West Census Area,Alaska,02016,650,0,645,0,5,0
94218,2021-03-28,Anchorage,Alaska,02020,27915,161,27440,160,475,1
94219,2021-03-28,Bethel Census Area,Alaska,02050,3750,20,3685,20,65,0
94221,2021-03-28,Denali Borough,Alaska,02068,85,0,78,0,7,0
94222,2021-03-28,Dillingham Census Area,Alaska,02070,207,1,207,1,0,0
94223,2021-03-28,Fairbanks North Star Borough,Alaska,02090,6497,32,6424,31,73,1
94224,2021-03-28,Haines Borough,Alaska,02100,26,0,25,0,1,0
94225,2021-03-28,Juneau City and Borough,Alaska,02110,1257,3,1254,3,3,0
94226,2021-03-28,Kenai Peninsula Borough,Alaska,02122,4070,19,4050,19,20,0
94227,2021-03-28,Ketchikan Gateway Borough,Alaska,02130,372,1,368,1,4,0
94228,2021-03-28,Kodiak Island Borough,Alaska,02150,1065,5,1059,5,6,0
94229,2021-03-28,Kusilvak Census Area,Alaska,02158,1218,3,1217,3,1,0
94230,2021-03-28,Matanuska-Susitna Borough,Alaska,02170,9719,35,9394,34,325,1
94231,2021-03-28,Nome Census Area,Alaska,02180,335,0,331,0,4,0
94232,2021-03-28,North Slope Borough,Alaska,02185,1030,4,1023,4,7,0
94233,2021-03-28,Northwest Arctic Borough,Alaska,02188,596,2,595,2,1,0
94234,2021-03-28,Petersburg Borough,Alaska,02195,145,0,145,0,0,0
94235,2021-03-28,Prince of Wales-Hyder Census Area,Alaska,02198,77,1,77,1,0,0
94236,2021-03-28,Sitka City and Borough,Alaska,02220,319,0,316,0,3,0
94237,2021-03-28,Skagway Municipality,Alaska,02230,19,0,19,0,0,0
94238,2021-03-28,Southeast Fairbanks Census Area,Alaska,02240,596,3,568,3,28,0
94240,2021-03-28,Valdez-Cordova Census Area,Alaska,02261,536,2,521,2,15,0
94241,2021-03-28,Wrangell City and Borough,Alaska,02275,30,0,29,0,1,0
94243,2021-03-28,Yukon-Koyukuk Census Area,Alaska,02290,348,4,343,4,5,0
94220,2021-03-28,Bristol Bay plus Lake and Peninsula,Alaska,02997,184,0,176,0,8,0
94242,2021-03-28,Yakutat plus Hoonah-Angoon,Alaska,02998,69,1,69,1,0,0
