,date,county,state,fips,cases,deaths,2021-03-21_Cases_Num,2021-03-21_Deaths_Num,diff_From_2021-03-21_Cases_Num,diff_From_2021-03-21_Deaths_Num
94244,2021-03-28,Apache,Arizona,04001,10801,413,10772,405,29,8
94245,2021-03-28,Cochise,Arizona,04003,11581,278,11537,277,44,1
94246,2021-03-28,Coconino,Arizona,04005,17035,324,16952,323,83,1
94247,2021-03-28,Gila,Arizona,04007,6537,219,6496,218,41,1
94248,2021-03-28,Graham,Arizona,04009,5361,76,5346,76,15,0
94249,2021-03-28,Greenlee,Arizona,04011,564,10,563,10,1,0
94250,2021-03-28,La Paz,Arizona,04012,2442,75,2430,74,12,1
94251,2021-03-28,Maricopa,Arizona,04013,523424,9644,521233,9544,2191,100
94252,2021-03-28,Mohave,Arizona,04015,22063,683,21922,673,141,10
94253,2021-03-28,Navajo,Arizona,04017,15643,521,15595,517,48,4
94254,2021-03-28,Pima,Arizona,04019,112342,2345,111825,2326,517,19
94255,2021-03-28,Pinal,Arizona,04021,49263,850,48839,834,424,16
94256,2021-03-28,Santa Cruz,Arizona,04023,7793,173,7759,173,34,0
94257,2021-03-28,Yavapai,Arizona,04025,18301,489,18294,483,7,6
94258,2021-03-28,Yuma,Arizona,04027,36738,819,36690,812,48,7
