,date,county,state,fips,cases,deaths,2021-03-21_Cases_Num,2021-03-21_Deaths_Num,diff_From_2021-03-21_Cases_Num,diff_From_2021-03-21_Deaths_Num
94259,2021-03-28,Arkansas,Arkansas,05001,2072,36,2024,35,48,1
94260,2021-03-28,Ashley,Arkansas,05003,1897,33,1878,33,19,0
94261,2021-03-28,Baxter,Arkansas,05005,3060,99,3027,100,33,-1
94262,2021-03-28,Benton,Arkansas,05007,28078,404,27946,399,132,5
94263,2021-03-28,Boone,Arkansas,05009,3735,79,3713,78,22,1
94264,2021-03-28,Bradley,Arkansas,05011,1355,32,1342,31,13,1
94265,2021-03-28,Calhoun,Arkansas,05013,409,3,408,3,1,0
94266,2021-03-28,Carroll,Arkansas,05015,2747,44,2739,44,8,0
94267,2021-03-28,Chicot,Arkansas,05017,1609,38,1607,38,2,0
94268,2021-03-28,Clark,Arkansas,05019,2078,40,2070,40,8,0
94269,2021-03-28,Clay,Arkansas,05021,1722,50,1714,48,8,2
94270,2021-03-28,Cleburne,Arkansas,05023,1940,71,1928,69,12,2
94271,2021-03-28,Cleveland,Arkansas,05025,937,25,938,25,-1,0
94272,2021-03-28,Columbia,Arkansas,05027,2314,55,2303,55,11,0
94273,2021-03-28,Conway,Arkansas,05029,2186,32,2175,31,11,1
94274,2021-03-28,Craighead,Arkansas,05031,13061,174,13019,171,42,3
94275,2021-03-28,Crawford,Arkansas,05033,6969,115,6930,114,39,1
94276,2021-03-28,Crittenden,Arkansas,05035,5855,95,5837,95,18,0
94277,2021-03-28,Cross,Arkansas,05037,1916,49,1912,49,4,0
94278,2021-03-28,Dallas,Arkansas,05039,756,15,751,15,5,0
94279,2021-03-28,Desha,Arkansas,05041,1355,24,1352,24,3,0
94280,2021-03-28,Drew,Arkansas,05043,1981,39,1972,38,9,1
94281,2021-03-28,Faulkner,Arkansas,05045,12157,157,12091,156,66,1
94282,2021-03-28,Franklin,Arkansas,05047,1668,39,1666,39,2,0
94283,2021-03-28,Fulton,Arkansas,05049,1098,47,1098,47,0,0
94284,2021-03-28,Garland,Arkansas,05051,10021,254,9974,249,47,5
94285,2021-03-28,Grant,Arkansas,05053,1632,32,1625,32,7,0
94286,2021-03-28,Greene,Arkansas,05055,5999,74,5980,74,19,0
94287,2021-03-28,Hempstead,Arkansas,05057,1976,18,1958,18,18,0
94288,2021-03-28,Hot Spring,Arkansas,05059,4988,69,4954,68,34,1
94289,2021-03-28,Howard,Arkansas,05061,1637,24,1619,23,18,1
94290,2021-03-28,Independence,Arkansas,05063,3709,120,3705,120,4,0
94291,2021-03-28,Izard,Arkansas,05065,1654,41,1649,41,5,0
94292,2021-03-28,Jackson,Arkansas,05067,3203,38,3197,38,6,0
94293,2021-03-28,Jefferson,Arkansas,05069,8728,162,8707,161,21,1
94294,2021-03-28,Johnson,Arkansas,05071,2875,36,2861,36,14,0
94295,2021-03-28,Lafayette,Arkansas,05073,541,9,541,9,0,0
94296,2021-03-28,Lawrence,Arkansas,05075,2065,42,2064,42,1,0
94297,2021-03-28,Lee,Arkansas,05077,1655,34,1651,34,4,0
94298,2021-03-28,Lincoln,Arkansas,05079,3176,48,3172,47,4,1
