,date,county,state,fips,cases,deaths,2021-03-21_Cases_Num,2021-03-21_Deaths_Num,diff_From_2021-03-21_Cases_Num,diff_From_2021-03-21_Deaths_Num
94335,2021-03-28,Alameda,California,06001,83190,1395,82635,1369,555,26
94336,2021-03-28,Alpine,California,06003,85,0,83,0,2,0
94337,2021-03-28,Amador,California,06005,3537,45,3517,44,20,1
94338,2021-03-28,Butte,California,06007,11278,191,11199,185,79,6
94339,2021-03-28,Calaveras,California,06009,1992,50,1961,49,31,1
94340,2021-03-28,Colusa,California,06011,2164,16,2156,15,8,1
94341,2021-03-28,Contra Costa,California,06013,65140,767,64642,734,498,33
94342,2021-03-28,Del Norte,California,06015,1125,6,1095,6,30,0
94343,2021-03-28,El Dorado,California,06017,9367,105,9290,105,77,0
94344,2021-03-28,Fresno,California,06019,98901,1606,98112,1532,789,74
94345,2021-03-28,Glenn,California,06021,2803,25,2769,24,34,1
94346,2021-03-28,Humboldt,California,06023,3448,35,3419,35,29,0
94347,2021-03-28,Imperial,California,06025,27406,711,27239,694,167,17
94348,2021-03-28,Inyo,California,06027,1372,35,1362,35,10,0
94349,2021-03-28,Kern,California,06029,106074,1217,105499,1155,575,62
94350,2021-03-28,Kings,California,06031,22600,241,22511,238,89,3
94351,2021-03-28,Lake,California,06033,3317,43,3280,43,37,0
94352,2021-03-28,Lassen,California,06035,5649,1,5634,1,15,0
94353,2021-03-28,Los Angeles,California,06037,1218879,23103,1214825,22810,4054,293
94354,2021-03-28,Madera,California,06039,15968,231,15891,226,77,5
94355,2021-03-28,Marin,California,06041,13579,222,13470,220,109,2
94356,2021-03-28,Mariposa,California,06043,408,7,402,7,6,0
94357,2021-03-28,Mendocino,California,06045,3935,46,3908,46,27,0
94358,2021-03-28,Merced,California,06047,30419,434,30142,428,277,6
94359,2021-03-28,Modoc,California,06049,344,3,341,3,3,0
94360,2021-03-28,Mono,California,06051,1241,4,1256,4,-15,0
94361,2021-03-28,Monterey,California,06053,42890,340,42734,337,156,3
94362,2021-03-28,Napa,California,06055,9361,78,9275,77,86,1
94363,2021-03-28,Nevada,California,06057,4231,74,4164,89,67,-15
94364,2021-03-28,Orange,California,06059,265787,4725,264721,4607,1066,118
94365,2021-03-28,Placer,California,06061,20736,267,20505,244,231,23
94366,2021-03-28,Plumas,California,06063,655,4,652,4,3,0
94367,2021-03-28,Riverside,California,06065,293831,4248,292967,4117,864,131
94368,2021-03-28,Sacramento,California,06067,97246,1599,96125,1576,1121,23
94369,2021-03-28,San Benito,California,06069,5862,61,5840,61,22,0
94370,2021-03-28,San Bernardino,California,06071,290630,4325,289773,4076,857,249
94371,2021-03-28,San Diego,California,06073,269903,3547,267791,3494,2112,53
94372,2021-03-28,San Francisco,California,06075,35247,474,34971,453,276,21
94373,2021-03-28,San Joaquin,California,06077,69448,1250,68714,1229,734,21
94374,2021-03-28,San Luis Obispo,California,06079,20402,255,20189,253,213,2
94375,2021-03-28,San Mateo,California,06081,40264,547,39958,543,306,4
94376,2021-03-28,Santa Barbara,California,06083,33077,439,32859,435,218,4
94377,2021-03-28,Santa Clara,California,06085,114294,1935,113552,1902,742,33
94378,2021-03-28,Santa Cruz,California,06087,15306,201,15196,199,110,2
94379,2021-03-28,Shasta,California,06089,11319,200,11211,195,108,5
94380,2021-03-28,Sierra,California,06091,50,0,50,0,0,0
94381,2021-03-28,Siskiyou,California,06093,1870,15,1850,14,20,1
94382,2021-03-28,Solano,California,06095,31014,232,30750,181,264,51
94383,2021-03-28,Sonoma,California,06097,29199,310,28981,309,218,1
94384,2021-03-28,Stanislaus,California,06099,58602,992,58140,979,462,13
94385,2021-03-28,Sutter,California,06101,9110,106,9042,103,68,3
94386,2021-03-28,Tehama,California,06103,4738,52,4696,33,42,19
94387,2021-03-28,Trinity,California,06105,314,3,311,3,3,0
94388,2021-03-28,Tulare,California,06107,48960,813,48770,804,190,9
94389,2021-03-28,Tuolumne,California,06109,4024,62,4008,59,16,3
94390,2021-03-28,Ventura,California,06111,79472,969,79090,943,382,26
94391,2021-03-28,Yolo,California,06113,13317,196,13226,191,91,5
94392,2021-03-28,Yuba,California,06115,5953,42,5903,42,50,0
