,date,county,state,fips,cases,deaths,2021-03-21_Cases_Num,2021-03-21_Deaths_Num,diff_From_2021-03-21_Cases_Num,diff_From_2021-03-21_Deaths_Num
94393,2021-03-28,Adams,Colorado,08001,51972,640,51275,639,697,1
94394,2021-03-28,Alamosa,Colorado,08003,1343,29,1338,29,5,0
94395,2021-03-28,Arapahoe,Colorado,08005,52505,715,51613,711,892,4
94396,2021-03-28,Archuleta,Colorado,08007,745,1,728,1,17,0
94397,2021-03-28,Baca,Colorado,08009,278,4,277,4,1,0
94398,2021-03-28,Bent,Colorado,08011,1483,21,1484,21,-1,0
94399,2021-03-28,Boulder,Colorado,08013,20472,250,20054,250,418,0
94400,2021-03-28,Broomfield,Colorado,08014,4152,74,4064,74,88,0
94401,2021-03-28,Chaffee,Colorado,08015,1496,24,1484,24,12,0
94402,2021-03-28,Cheyenne,Colorado,08017,126,6,126,6,0,0
94403,2021-03-28,Clear Creek,Colorado,08019,399,2,388,2,11,0
94404,2021-03-28,Conejos,Colorado,08021,460,10,460,10,0,0
94405,2021-03-28,Costilla,Colorado,08023,202,2,200,2,2,0
94406,2021-03-28,Crowley,Colorado,08025,2140,14,2124,14,16,0
94407,2021-03-28,Custer,Colorado,08027,171,1,165,1,6,0
94408,2021-03-28,Delta,Colorado,08029,2537,60,2509,60,28,0
94409,2021-03-28,Denver,Colorado,08031,63786,785,62578,779,1208,6
94410,2021-03-28,Dolores,Colorado,08033,67,0,67,0,0,0
94411,2021-03-28,Douglas,Colorado,08035,23988,234,23331,234,657,0
94412,2021-03-28,Eagle,Colorado,08037,5687,22,5523,22,164,0
94414,2021-03-28,Elbert,Colorado,08039,1403,12,1375,12,28,0
94413,2021-03-28,El Paso,Colorado,08041,56086,757,54988,754,1098,3
94415,2021-03-28,Fremont,Colorado,08043,5635,53,5594,53,41,0
94416,2021-03-28,Garfield,Colorado,08045,5386,38,5286,38,100,0
94417,2021-03-28,Gilpin,Colorado,08047,185,3,184,3,1,0
94418,2021-03-28,Grand,Colorado,08049,1327,6,1312,6,15,0
94419,2021-03-28,Gunnison,Colorado,08051,1240,6,1225,6,15,0
94420,2021-03-28,Hinsdale,Colorado,08053,16,0,17,0,-1,0
94421,2021-03-28,Huerfano,Colorado,08055,334,16,328,16,6,0
94422,2021-03-28,Jackson,Colorado,08057,52,0,52,0,0,0
94423,2021-03-28,Jefferson,Colorado,08059,40108,731,39384,729,724,2
94424,2021-03-28,Kiowa,Colorado,08061,91,3,91,3,0,0
94425,2021-03-28,Kit Carson,Colorado,08063,584,11,566,11,18,0
94427,2021-03-28,Lake,Colorado,08065,697,0,686,0,11,0
94426,2021-03-28,La Plata,Colorado,08067,3300,37,3231,37,69,0
94428,2021-03-28,Larimer,Colorado,08069,22016,227,21443,226,573,1
94429,2021-03-28,Las Animas,Colorado,08071,1038,11,1028,11,10,0
94430,2021-03-28,Lincoln,Colorado,08073,1003,4,1002,4,1,0
94431,2021-03-28,Logan,Colorado,08075,3821,65,3782,65,39,0
94432,2021-03-28,Mesa,Colorado,08077,13682,209,13623,208,59,1
94433,2021-03-28,Mineral,Colorado,08079,86,1,85,1,1,0
94434,2021-03-28,Moffat,Colorado,08081,695,22,694,22,1,0
94435,2021-03-28,Montezuma,Colorado,08083,1786,23,1772,23,14,0
94436,2021-03-28,Montrose,Colorado,08085,3321,57,3302,57,19,0
94437,2021-03-28,Morgan,Colorado,08087,2526,92,2508,92,18,0
94438,2021-03-28,Otero,Colorado,08089,1882,63,1875,63,7,0
94439,2021-03-28,Ouray,Colorado,08091,273,3,268,3,5,0
94440,2021-03-28,Park,Colorado,08093,607,5,589,5,18,0
94441,2021-03-28,Phillips,Colorado,08095,347,13,346,13,1,0
94442,2021-03-28,Pitkin,Colorado,08097,2394,4,2275,4,119,0
94443,2021-03-28,Prowers,Colorado,08099,1169,21,1167,21,2,0
94444,2021-03-28,Pueblo,Colorado,08101,15691,364,15495,364,196,0
94445,2021-03-28,Rio Blanco,Colorado,08103,516,4,503,4,13,0
94446,2021-03-28,Rio Grande,Colorado,08105,753,13,746,13,7,0
94447,2021-03-28,Routt,Colorado,08107,2056,19,2021,19,35,0
94448,2021-03-28,Saguache,Colorado,08109,331,4,328,4,3,0
94449,2021-03-28,San Juan,Colorado,08111,44,0,43,0,1,0
94450,2021-03-28,San Miguel,Colorado,08113,848,0,845,0,3,0
94451,2021-03-28,Sedgwick,Colorado,08115,199,2,198,2,1,0
94452,2021-03-28,Summit,Colorado,08117,3342,7,3216,7,126,0
94453,2021-03-28,Teller,Colorado,08119,1405,14,1367,14,38,0
94454,2021-03-28,Washington,Colorado,08121,435,12,429,12,6,0
94455,2021-03-28,Weld,Colorado,08123,27274,322,26852,323,422,-1
94456,2021-03-28,Yuma,Colorado,08125,834,17,818,17,16,0
