,date,county,state,fips,cases,deaths,2021-03-21_Cases_Num,2021-03-21_Deaths_Num,diff_From_2021-03-21_Cases_Num,diff_From_2021-03-21_Deaths_Num
94471,2021-03-28,Alachua,Florida,12001,23273,258,23015,252,258,6
94472,2021-03-28,Baker,Florida,12003,3352,59,3335,59,17,0
94473,2021-03-28,Bay,Florida,12005,19473,373,19411,368,62,5
94474,2021-03-28,Bradford,Florida,12007,2916,54,2902,54,14,0
94475,2021-03-28,Brevard,Florida,12009,36951,804,36225,789,726,15
94476,2021-03-28,Broward,Florida,12011,212641,2624,208096,2595,4545,29
94477,2021-03-28,Calhoun,Florida,12013,1655,42,1647,42,8,0
94478,2021-03-28,Charlotte,Florida,12015,11436,390,11187,389,249,1
94479,2021-03-28,Citrus,Florida,12017,10266,428,10156,420,110,8
94480,2021-03-28,Clay,Florida,12019,17315,325,17146,325,169,0
94481,2021-03-28,Collier,Florida,12021,32253,492,31736,490,517,2
94482,2021-03-28,Columbia,Florida,12023,7826,162,7771,162,55,0
94483,2021-03-28,DeSoto,Florida,12027,4056,83,3984,79,72,4
94484,2021-03-28,Dixie,Florida,12029,1549,23,1537,22,12,1
94485,2021-03-28,Duval,Florida,12031,92242,1295,91450,1275,792,20
94486,2021-03-28,Escambia,Florida,12033,34779,664,34558,657,221,7
94487,2021-03-28,Flagler,Florida,12035,6618,96,6434,93,184,3
94488,2021-03-28,Franklin,Florida,12037,1294,16,1293,16,1,0
94489,2021-03-28,Gadsden,Florida,12039,5531,89,5522,92,9,-3
94490,2021-03-28,Gilchrist,Florida,12041,1483,37,1464,37,19,0
94491,2021-03-28,Glades,Florida,12043,924,19,919,19,5,0
94492,2021-03-28,Gulf,Florida,12045,1913,41,1897,41,16,0
94493,2021-03-28,Hamilton,Florida,12047,1586,23,1581,23,5,0
94494,2021-03-28,Hardee,Florida,12049,2893,37,2873,37,20,0
94495,2021-03-28,Hendry,Florida,12051,4458,77,4425,77,33,0
94496,2021-03-28,Hernando,Florida,12053,12296,439,12052,435,244,4
94497,2021-03-28,Highlands,Florida,12055,7615,317,7510,313,105,4
94498,2021-03-28,Hillsborough,Florida,12057,120680,1602,118061,1578,2619,24
94499,2021-03-28,Holmes,Florida,12059,2210,46,2207,45,3,1
94500,2021-03-28,Indian River,Florida,12061,11663,280,11499,276,164,4
94501,2021-03-28,Jackson,Florida,12063,6049,154,6021,154,28,0
94502,2021-03-28,Jefferson,Florida,12065,1426,24,1416,24,10,0
94503,2021-03-28,Lafayette,Florida,12067,1606,25,1604,25,2,0
94504,2021-03-28,Lake,Florida,12069,26470,600,25978,594,492,6
94505,2021-03-28,Lee,Florida,12071,62142,910,60913,906,1229,4
94506,2021-03-28,Leon,Florida,12073,30241,301,29981,298,260,3
94507,2021-03-28,Levy,Florida,12075,3070,43,3037,43,33,0
94508,2021-03-28,Liberty,Florida,12077,1052,16,1051,16,1,0
94509,2021-03-28,Madison,Florida,12079,2030,43,2029,43,1,0
94510,2021-03-28,Manatee,Florida,12081,34567,633,33832,630,735,3
94511,2021-03-28,Marion,Florida,12083,28926,916,28632,905,294,11
94512,2021-03-28,Martin,Florida,12085,11299,302,11132,299,167,3
94513,2021-03-28,Miami-Dade,Florida,12086,442336,5814,434351,5725,7985,89
94514,2021-03-28,Monroe,Florida,12087,6382,48,6228,48,154,0
94515,2021-03-28,Nassau,Florida,12089,7962,122,7917,118,45,4
94516,2021-03-28,Okaloosa,Florida,12091,19718,351,19598,344,120,7
94517,2021-03-28,Okeechobee,Florida,12093,3720,84,3667,83,53,1
94518,2021-03-28,Orange,Florida,12095,122799,1174,120182,1160,2617,14
94519,2021-03-28,Osceola,Florida,12097,39356,481,38661,473,695,8
94520,2021-03-28,Palm Beach,Florida,12099,130725,2635,128152,2596,2573,39
94521,2021-03-28,Pasco,Florida,12101,36074,687,35336,681,738,6
94522,2021-03-28,Pinellas,Florida,12103,71696,1543,70251,1524,1445,19
94523,2021-03-28,Polk,Florida,12105,60765,1237,59767,1218,998,19
94524,2021-03-28,Putnam,Florida,12107,6016,135,5966,133,50,2
94528,2021-03-28,St. Johns,Florida,12109,21062,202,20774,200,288,2
94529,2021-03-28,St. Lucie,Florida,12111,23868,584,23449,569,419,15
94525,2021-03-28,Santa Rosa,Florida,12113,17702,278,17579,276,123,2
94526,2021-03-28,Sarasota,Florida,12115,29096,785,28455,776,641,9
94527,2021-03-28,Seminole,Florida,12117,29751,463,28997,449,754,14
94530,2021-03-28,Sumter,Florida,12119,8751,244,8501,243,250,1
94531,2021-03-28,Suwannee,Florida,12121,5210,135,5197,135,13,0
94532,2021-03-28,Taylor,Florida,12123,2694,45,2689,44,5,1
94533,2021-03-28,Union,Florida,12125,1772,70,1765,70,7,0
94535,2021-03-28,Volusia,Florida,12127,37763,711,36709,697,1054,14
94536,2021-03-28,Wakulla,Florida,12129,3241,55,3223,53,18,2
94537,2021-03-28,Walton,Florida,12131,7299,83,7249,81,50,2
94538,2021-03-28,Washington,Florida,12133,2669,49,2650,48,19,1
