,date,county,state,fips,cases,deaths,2021-03-21_Cases_Num,2021-03-21_Deaths_Num,diff_From_2021-03-21_Cases_Num,diff_From_2021-03-21_Deaths_Num
94705,2021-03-28,Ada,Idaho,16001,48870,448,48347,445,523,3
94706,2021-03-28,Adams,Idaho,16003,336,4,332,4,4,0
94707,2021-03-28,Bannock,Idaho,16005,8338,98,8226,98,112,0
94708,2021-03-28,Bear Lake,Idaho,16007,369,2,365,2,4,0
94709,2021-03-28,Benewah,Idaho,16009,645,9,641,9,4,0
94710,2021-03-28,Bingham,Idaho,16011,4639,69,4551,67,88,2
94711,2021-03-28,Blaine,Idaho,16013,2245,17,2220,17,25,0
94712,2021-03-28,Boise,Idaho,16015,320,2,319,2,1,0
94713,2021-03-28,Bonner,Idaho,16017,3084,38,3064,38,20,0
94714,2021-03-28,Bonneville,Idaho,16019,13921,157,13555,156,366,1
94715,2021-03-28,Boundary,Idaho,16021,842,10,836,10,6,0
94716,2021-03-28,Butte,Idaho,16023,202,1,201,1,1,0
94717,2021-03-28,Camas,Idaho,16025,71,0,71,0,0,0
94718,2021-03-28,Canyon,Idaho,16027,25467,287,25263,285,204,2
94719,2021-03-28,Caribou,Idaho,16029,648,12,631,12,17,0
94720,2021-03-28,Cassia,Idaho,16031,2894,25,2886,25,8,0
94721,2021-03-28,Clark,Idaho,16033,56,0,56,0,0,0
94722,2021-03-28,Clearwater,Idaho,16035,1027,12,1016,12,11,0
94723,2021-03-28,Custer,Idaho,16037,242,3,238,3,4,0
94724,2021-03-28,Elmore,Idaho,16039,1741,13,1662,13,79,0
94725,2021-03-28,Franklin,Idaho,16041,1134,16,1122,16,12,0
94726,2021-03-28,Fremont,Idaho,16043,1077,14,1061,14,16,0
94727,2021-03-28,Gem,Idaho,16045,1728,34,1713,34,15,0
94728,2021-03-28,Gooding,Idaho,16047,1279,23,1275,23,4,0
94729,2021-03-28,Idaho,Idaho,16049,1193,17,1189,17,4,0
94730,2021-03-28,Jefferson,Idaho,16051,2775,22,2686,22,89,0
94731,2021-03-28,Jerome,Idaho,16053,2533,23,2529,22,4,1
94732,2021-03-28,Kootenai,Idaho,16055,17144,193,17027,192,117,1
94733,2021-03-28,Latah,Idaho,16057,2901,8,2882,8,19,0
94734,2021-03-28,Lemhi,Idaho,16059,516,9,514,9,2,0
94735,2021-03-28,Lewis,Idaho,16061,384,9,383,8,1,1
94736,2021-03-28,Lincoln,Idaho,16063,493,11,489,11,4,0
94737,2021-03-28,Madison,Idaho,16065,6806,23,6699,22,107,1
94738,2021-03-28,Minidoka,Idaho,16067,2310,32,2304,32,6,0
94739,2021-03-28,Nez Perce,Idaho,16069,3475,53,3447,53,28,0
94740,2021-03-28,Oneida,Idaho,16071,345,4,337,4,8,0
94741,2021-03-28,Owyhee,Idaho,16073,1036,26,1031,26,5,0
94742,2021-03-28,Payette,Idaho,16075,2443,32,2419,32,24,0
94743,2021-03-28,Power,Idaho,16077,655,9,649,9,6,0
94744,2021-03-28,Shoshone,Idaho,16079,1044,33,1033,33,11,0
94745,2021-03-28,Teton,Idaho,16081,1148,4,1128,4,20,0
94746,2021-03-28,Twin Falls,Idaho,16083,9116,127,9094,126,22,1
94747,2021-03-28,Valley,Idaho,16085,823,7,819,7,4,0
94748,2021-03-28,Washington,Idaho,16087,1196,21,1191,21,5,0
