,date,county,state,fips,cases,deaths,2021-03-21_Cases_Num,2021-03-21_Deaths_Num,diff_From_2021-03-21_Cases_Num,diff_From_2021-03-21_Deaths_Num
95352,2021-03-28,Allegany,Maryland,24001,6500,202,6463,202,37,0
95353,2021-03-28,Anne Arundel,Maryland,24003,38586,562,37736,558,850,4
95354,2021-03-28,Baltimore,Maryland,24005,55279,1361,53836,1345,1443,16
95356,2021-03-28,Calvert,Maryland,24009,3892,74,3817,74,75,0
95357,2021-03-28,Caroline,Maryland,24011,2110,22,2081,22,29,0
95358,2021-03-28,Carroll,Maryland,24013,8181,217,7971,216,210,1
95359,2021-03-28,Cecil,Maryland,24015,5313,126,5219,124,94,2
95360,2021-03-28,Charles,Maryland,24017,9650,171,9453,169,197,2
95361,2021-03-28,Dorchester,Maryland,24019,2464,48,2435,48,29,0
95362,2021-03-28,Frederick,Maryland,24021,18062,300,17754,292,308,8
95363,2021-03-28,Garrett,Maryland,24023,1900,62,1888,62,12,0
95364,2021-03-28,Harford,Maryland,24025,13830,255,13354,255,476,0
95365,2021-03-28,Howard,Maryland,24027,17112,226,16747,222,365,4
95366,2021-03-28,Kent,Maryland,24029,1217,44,1222,44,-5,0
95367,2021-03-28,Montgomery,Maryland,24031,66438,1468,65551,1456,887,12
95368,2021-03-28,Prince George's,Maryland,24033,77602,1383,76399,1373,1203,10
95369,2021-03-28,Queen Anne's,Maryland,24035,2693,40,2660,40,33,0
95371,2021-03-28,St. Mary's,Maryland,24037,5390,122,5317,120,73,2
95370,2021-03-28,Somerset,Maryland,24039,2469,37,2447,35,22,2
95372,2021-03-28,Talbot,Maryland,24041,1952,36,1932,36,20,0
95374,2021-03-28,Washington,Maryland,24043,13135,262,12881,260,254,2
95375,2021-03-28,Wicomico,Maryland,24045,7062,149,6970,148,92,1
95376,2021-03-28,Worcester,Maryland,24047,3353,92,3317,92,36,0
95355,2021-03-28,Baltimore city,Maryland,24510,44038,943,42757,927,1281,16
