,date,county,state,fips,cases,deaths,2021-03-21_Cases_Num,2021-03-21_Deaths_Num,diff_From_2021-03-21_Cases_Num,diff_From_2021-03-21_Deaths_Num
95377,2021-03-28,Barnstable,Massachusetts,25001,11891,441,11244,429,647,12
95378,2021-03-28,Berkshire,Massachusetts,25003,5421,275,5155,269,266,6
95379,2021-03-28,Bristol,Massachusetts,25005,59378,1628,58122,1596,1256,32
95380,2021-03-28,Dukes,Massachusetts,25007,936,0,891,0,45,0
95381,2021-03-28,Essex,Massachusetts,25009,88703,2282,87224,2248,1479,34
95382,2021-03-28,Franklin,Massachusetts,25011,2190,107,2113,104,77,3
95383,2021-03-28,Hampden,Massachusetts,25013,45378,1440,44228,1417,1150,23
95384,2021-03-28,Hampshire,Massachusetts,25015,8240,282,8044,278,196,4
95385,2021-03-28,Middlesex,Massachusetts,25017,121081,3632,118225,3577,2856,55
95386,2021-03-28,Nantucket,Massachusetts,25019,1280,0,1237,2,43,-2
95387,2021-03-28,Norfolk,Massachusetts,25021,49468,1716,48346,1696,1122,20
95388,2021-03-28,Plymouth,Massachusetts,25023,43704,1373,42657,1360,1047,13
95389,2021-03-28,Suffolk,Massachusetts,25025,83962,1783,82205,1768,1757,15
95391,2021-03-28,Worcester,Massachusetts,25027,69904,2144,68641,2113,1263,31
