,date,county,state,fips,cases,deaths,2021-03-21_Cases_Num,2021-03-21_Deaths_Num,diff_From_2021-03-21_Cases_Num,diff_From_2021-03-21_Deaths_Num
95392,2021-03-28,Alcona,Michigan,26001,459,25,443,25,16,0
95393,2021-03-28,Alger,Michigan,26003,594,5,590,5,4,0
95394,2021-03-28,Allegan,Michigan,26005,8048,118,7752,118,296,0
95395,2021-03-28,Alpena,Michigan,26007,1575,48,1533,48,42,0
95396,2021-03-28,Antrim,Michigan,26009,1380,20,1282,20,98,0
95397,2021-03-28,Arenac,Michigan,26011,792,27,775,26,17,1
95398,2021-03-28,Baraga,Michigan,26013,794,34,785,34,9,0
95399,2021-03-28,Barry,Michigan,26015,4117,50,3969,49,148,1
95400,2021-03-28,Bay,Michigan,26017,8134,302,7841,299,293,3
95401,2021-03-28,Benzie,Michigan,26019,993,32,964,32,29,0
95402,2021-03-28,Berrien,Michigan,26021,12603,250,12257,248,346,2
95403,2021-03-28,Branch,Michigan,26023,4817,111,4748,111,69,0
95404,2021-03-28,Calhoun,Michigan,26025,10896,246,10490,241,406,5
95405,2021-03-28,Cass,Michigan,26027,4494,68,4342,67,152,1
95406,2021-03-28,Charlevoix,Michigan,26029,1398,13,1359,13,39,0
95407,2021-03-28,Cheboygan,Michigan,26031,1228,38,1166,38,62,0
95408,2021-03-28,Chippewa,Michigan,26033,5082,46,4955,44,127,2
95409,2021-03-28,Clare,Michigan,26035,1698,69,1646,69,52,0
95410,2021-03-28,Clinton,Michigan,26037,5757,75,5471,74,286,1
95411,2021-03-28,Crawford,Michigan,26039,693,5,649,5,44,0
95412,2021-03-28,Delta,Michigan,26041,3267,86,3221,85,46,1
95413,2021-03-28,Dickinson,Michigan,26043,2426,71,2402,71,24,0
95414,2021-03-28,Eaton,Michigan,26045,7257,160,6833,160,424,0
95415,2021-03-28,Emmet,Michigan,26047,1957,39,1886,39,71,0
95416,2021-03-28,Genesee,Michigan,26049,29401,774,27796,768,1605,6
95417,2021-03-28,Gladwin,Michigan,26051,1586,43,1533,43,53,0
95418,2021-03-28,Gogebic,Michigan,26053,1320,49,1307,49,13,0
95419,2021-03-28,Grand Traverse,Michigan,26055,4848,77,4651,74,197,3
95420,2021-03-28,Gratiot,Michigan,26057,5807,109,5733,108,74,1
95421,2021-03-28,Hillsdale,Michigan,26059,3604,79,3515,78,89,1
95422,2021-03-28,Houghton,Michigan,26061,2807,39,2755,39,52,0
95423,2021-03-28,Huron,Michigan,26063,2835,62,2560,62,275,0
95424,2021-03-28,Ingham,Michigan,26065,18753,298,17764,290,989,8
95425,2021-03-28,Ionia,Michigan,26067,7464,79,7329,79,135,0
95426,2021-03-28,Iosco,Michigan,26069,1348,67,1308,67,40,0
95427,2021-03-28,Iron,Michigan,26071,933,51,930,51,3,0
95428,2021-03-28,Isabella,Michigan,26073,4326,77,4197,76,129,1
95429,2021-03-28,Jackson,Michigan,26075,16200,263,15456,258,744,5
95430,2021-03-28,Kalamazoo,Michigan,26077,16947,328,16142,325,805,3
95431,2021-03-28,Kalkaska,Michigan,26079,746,15,695,15,51,0
95432,2021-03-28,Kent,Michigan,26081,55436,735,53884,726,1552,9
95433,2021-03-28,Keweenaw,Michigan,26083,155,2,152,2,3,0
95434,2021-03-28,Lake,Michigan,26085,414,11,394,11,20,0
95435,2021-03-28,Lapeer,Michigan,26087,6646,138,6152,135,494,3
95436,2021-03-28,Leelanau,Michigan,26089,977,15,946,15,31,0
95437,2021-03-28,Lenawee,Michigan,26091,8303,136,8101,135,202,1
95438,2021-03-28,Livingston,Michigan,26093,11911,154,11279,153,632,1
95439,2021-03-28,Luce,Michigan,26095,1106,2,1099,2,7,0
95440,2021-03-28,Mackinac,Michigan,26097,480,3,466,3,14,0
95441,2021-03-28,Macomb,Michigan,26099,69538,2025,64963,2011,4575,14
95442,2021-03-28,Manistee,Michigan,26101,1621,23,1589,23,32,0
95443,2021-03-28,Marquette,Michigan,26103,5018,57,4933,57,85,0
95444,2021-03-28,Mason,Michigan,26105,1333,27,1290,27,43,0
95445,2021-03-28,Mecosta,Michigan,26107,2181,22,2100,21,81,1
95446,2021-03-28,Menominee,Michigan,26109,1923,41,1906,40,17,1
95447,2021-03-28,Midland,Michigan,26111,5490,68,5295,66,195,2
95448,2021-03-28,Missaukee,Michigan,26113,1046,20,962,19,84,1
95449,2021-03-28,Monroe,Michigan,26115,11197,212,10716,209,481,3
95450,2021-03-28,Montcalm,Michigan,26117,5968,96,5794,96,174,0
95451,2021-03-28,Montmorency,Michigan,26119,387,18,378,18,9,0
95452,2021-03-28,Muskegon,Michigan,26121,13179,318,12953,318,226,0
95453,2021-03-28,Newaygo,Michigan,26123,3257,54,3144,54,113,0
95454,2021-03-28,Oakland,Michigan,26125,84984,2054,80481,2046,4503,8
95455,2021-03-28,Oceana,Michigan,26127,1973,51,1931,50,42,1
95456,2021-03-28,Ogemaw,Michigan,26129,1162,34,1142,34,20,0
95457,2021-03-28,Ontonagon,Michigan,26131,431,21,427,21,4,0
95458,2021-03-28,Osceola,Michigan,26133,1248,23,1173,23,75,0
95459,2021-03-28,Oscoda,Michigan,26135,441,20,415,20,26,0
95460,2021-03-28,Otsego,Michigan,26137,1831,28,1664,28,167,0
95461,2021-03-28,Ottawa,Michigan,26139,24182,361,23430,361,752,0
95462,2021-03-28,Presque Isle,Michigan,26141,725,28,690,28,35,0
95463,2021-03-28,Roscommon,Michigan,26143,1458,39,1345,37,113,2
95464,2021-03-28,Saginaw,Michigan,26145,17059,542,16709,540,350,2
95468,2021-03-28,St. Clair,Michigan,26147,11384,273,10199,264,1185,9
95469,2021-03-28,St. Joseph,Michigan,26149,5104,90,4990,87,114,3
95465,2021-03-28,Sanilac,Michigan,26151,2774,82,2472,79,302,3
95466,2021-03-28,Schoolcraft,Michigan,26153,280,5,273,5,7,0
95467,2021-03-28,Shiawassee,Michigan,26155,4288,84,4086,84,202,0
95470,2021-03-28,Tuscola,Michigan,26157,3815,140,3555,140,260,0
95472,2021-03-28,Van Buren,Michigan,26159,5447,99,5278,98,169,1
95473,2021-03-28,Washtenaw,Michigan,26161,20950,257,20227,255,723,2
95474,2021-03-28,Wayne,Michigan,26163,114868,4246,109293,4219,5575,27
95475,2021-03-28,Wexford,Michigan,26165,1970,24,1780,22,190,2
