,date,county,state,fips,cases,deaths,2021-03-21_Cases_Num,2021-03-21_Deaths_Num,diff_From_2021-03-21_Cases_Num,diff_From_2021-03-21_Deaths_Num
95476,2021-03-28,Aitkin,Minnesota,27001,1214,36,1200,35,14,1
95477,2021-03-28,Anoka,Minnesota,27003,35192,405,34542,404,650,1
95478,2021-03-28,Becker,Minnesota,27005,3262,48,3218,47,44,1
95479,2021-03-28,Beltrami,Minnesota,27007,3526,54,3463,54,63,0
95480,2021-03-28,Benton,Minnesota,27009,4864,95,4753,95,111,0
95481,2021-03-28,Big Stone,Minnesota,27011,542,4,534,4,8,0
95482,2021-03-28,Blue Earth,Minnesota,27013,6461,38,6329,38,132,0
95483,2021-03-28,Brown,Minnesota,27015,2720,39,2640,39,80,0
95484,2021-03-28,Carlton,Minnesota,27017,3119,51,3057,50,62,1
95485,2021-03-28,Carver,Minnesota,27019,8703,41,8440,41,263,0
95486,2021-03-28,Cass,Minnesota,27021,2300,26,2269,26,31,0
95487,2021-03-28,Chippewa,Minnesota,27023,1419,35,1414,35,5,0
95488,2021-03-28,Chisago,Minnesota,27025,5186,48,5125,48,61,0
95489,2021-03-28,Clay,Minnesota,27027,7265,89,7129,89,136,0
95490,2021-03-28,Clearwater,Minnesota,27029,737,14,731,14,6,0
95491,2021-03-28,Cook,Minnesota,27031,137,0,134,0,3,0
95492,2021-03-28,Cottonwood,Minnesota,27033,1443,20,1422,20,21,0
95493,2021-03-28,Crow Wing,Minnesota,27035,5481,85,5371,85,110,0
95494,2021-03-28,Dakota,Minnesota,27037,38886,409,38044,404,842,5
95495,2021-03-28,Dodge,Minnesota,27039,1606,4,1585,4,21,0
95496,2021-03-28,Douglas,Minnesota,27041,4121,70,4048,70,73,0
95497,2021-03-28,Faribault,Minnesota,27043,1370,18,1334,18,36,0
95498,2021-03-28,Fillmore,Minnesota,27045,1475,9,1449,9,26,0
95499,2021-03-28,Freeborn,Minnesota,27047,3052,26,2996,25,56,1
95500,2021-03-28,Goodhue,Minnesota,27049,4139,69,4051,69,88,0
95501,2021-03-28,Grant,Minnesota,27051,514,8,501,8,13,0
95502,2021-03-28,Hennepin,Minnesota,27053,106987,1644,104827,1633,2160,11
95503,2021-03-28,Houston,Minnesota,27055,1610,14,1597,14,13,0
95504,2021-03-28,Hubbard,Minnesota,27057,1634,41,1622,41,12,0
95505,2021-03-28,Isanti,Minnesota,27059,3309,58,3199,57,110,1
95506,2021-03-28,Itasca,Minnesota,27061,3388,51,3304,51,84,0
95507,2021-03-28,Jackson,Minnesota,27063,1011,10,968,10,43,0
95508,2021-03-28,Kanabec,Minnesota,27065,1186,21,1154,21,32,0
95509,2021-03-28,Kandiyohi,Minnesota,27067,6013,79,5953,79,60,0
95510,2021-03-28,Kittson,Minnesota,27069,426,22,422,22,4,0
95511,2021-03-28,Koochiching,Minnesota,27071,677,11,634,11,43,0
95512,2021-03-28,Lac qui Parle,Minnesota,27073,714,21,705,17,9,4
95513,2021-03-28,Lake,Minnesota,27075,762,19,755,18,7,1
95514,2021-03-28,Lake of the Woods,Minnesota,27077,249,2,244,1,5,1
95515,2021-03-28,Le Sueur,Minnesota,27079,2516,22,2471,22,45,0
95516,2021-03-28,Lincoln,Minnesota,27081,534,2,520,2,14,0
95517,2021-03-28,Lyon,Minnesota,27083,3285,47,3219,46,66,1
