,date,county,state,fips,cases,deaths,2021-03-21_Cases_Num,2021-03-21_Deaths_Num,diff_From_2021-03-21_Cases_Num,diff_From_2021-03-21_Deaths_Num
95564,2021-03-28,Adams,Mississippi,28001,2413,81,2405,79,8,2
95565,2021-03-28,Alcorn,Mississippi,28003,2949,63,2946,63,3,0
95566,2021-03-28,Amite,Mississippi,28005,1178,37,1167,37,11,0
95567,2021-03-28,Attala,Mississippi,28007,2128,73,2120,72,8,1
95568,2021-03-28,Benton,Mississippi,28009,964,25,955,24,9,1
95569,2021-03-28,Bolivar,Mississippi,28011,4741,125,4714,125,27,0
95570,2021-03-28,Calhoun,Mississippi,28013,1617,30,1615,29,2,1
95571,2021-03-28,Carroll,Mississippi,28015,1205,25,1203,25,2,0
95572,2021-03-28,Chickasaw,Mississippi,28017,2033,55,2031,55,2,0
95573,2021-03-28,Choctaw,Mississippi,28019,723,16,719,16,4,0
95574,2021-03-28,Claiborne,Mississippi,28021,1008,30,1004,30,4,0
95575,2021-03-28,Clarke,Mississippi,28023,1747,75,1731,75,16,0
95576,2021-03-28,Clay,Mississippi,28025,1816,54,1812,54,4,0
95577,2021-03-28,Coahoma,Mississippi,28027,2877,75,2867,73,10,2
95578,2021-03-28,Copiah,Mississippi,28029,2882,61,2855,60,27,1
95579,2021-03-28,Covington,Mississippi,28031,2531,80,2527,80,4,0
95580,2021-03-28,DeSoto,Mississippi,28033,20462,246,20232,245,230,1
95581,2021-03-28,Forrest,Mississippi,28035,7468,143,7460,142,8,1
95582,2021-03-28,Franklin,Mississippi,28037,803,22,795,22,8,0
95583,2021-03-28,George,Mississippi,28039,2365,46,2355,45,10,1
95584,2021-03-28,Greene,Mississippi,28041,1293,33,1291,33,2,0
95585,2021-03-28,Grenada,Mississippi,28043,2526,80,2521,80,5,0
95586,2021-03-28,Hancock,Mississippi,28045,3671,84,3621,83,50,1
95587,2021-03-28,Harrison,Mississippi,28047,17315,298,17221,298,94,0
95588,2021-03-28,Hinds,Mississippi,28049,19644,401,19476,400,168,1
95589,2021-03-28,Holmes,Mississippi,28051,1850,71,1839,71,11,0
95590,2021-03-28,Humphreys,Mississippi,28053,941,31,938,29,3,2
95591,2021-03-28,Issaquena,Mississippi,28055,168,6,168,6,0,0
95592,2021-03-28,Itawamba,Mississippi,28057,2942,76,2932,76,10,0
95593,2021-03-28,Jackson,Mississippi,28059,13010,241,12943,236,67,5
95594,2021-03-28,Jasper,Mississippi,28061,2188,47,2181,47,7,0
95595,2021-03-28,Jefferson,Mississippi,28063,641,27,637,27,4,0
95596,2021-03-28,Jefferson Davis,Mississippi,28065,1040,32,1039,32,1,0
95597,2021-03-28,Jones,Mississippi,28067,8240,156,8196,154,44,2
95598,2021-03-28,Kemper,Mississippi,28069,944,25,937,25,7,0
95599,2021-03-28,Lafayette,Mississippi,28071,5918,116,5873,115,45,1
95600,2021-03-28,Lamar,Mississippi,28073,6040,84,6016,84,24,0
95601,2021-03-28,Lauderdale,Mississippi,28075,7050,233,6980,232,70,1
95602,2021-03-28,Lawrence,Mississippi,28077,1249,22,1239,22,10,0
95603,2021-03-28,Leake,Mississippi,28079,2593,73,2579,72,14,1
95604,2021-03-28,Lee,Mississippi,28081,9802,168,9787,167,15,1
