,date,county,state,fips,cases,deaths,2021-03-21_Cases_Num,2021-03-21_Deaths_Num,diff_From_2021-03-21_Cases_Num,diff_From_2021-03-21_Deaths_Num
95929,2021-03-28,Belknap,New Hampshire,33001,3324,95,3254,94,70,1
95930,2021-03-28,Carroll,New Hampshire,33003,1924,7,1867,7,57,0
95931,2021-03-28,Cheshire,New Hampshire,33005,3098,32,2994,30,104,2
95932,2021-03-28,Coos,New Hampshire,33007,1480,38,1437,38,43,0
95933,2021-03-28,Grafton,New Hampshire,33009,3046,21,2945,19,101,2
95934,2021-03-28,Hillsborough,New Hampshire,33011,30986,605,30128,595,858,10
95935,2021-03-28,Merrimack,New Hampshire,33013,8133,110,7935,109,198,1
95936,2021-03-28,Rockingham,New Hampshire,33015,20590,226,19885,222,705,4
95937,2021-03-28,Strafford,New Hampshire,33017,7916,76,7623,76,293,0
95938,2021-03-28,Sullivan,New Hampshire,33019,1435,22,1399,22,36,0
