,date,county,state,fips,cases,deaths,2021-03-21_Cases_Num,2021-03-21_Deaths_Num,diff_From_2021-03-21_Cases_Num,diff_From_2021-03-21_Deaths_Num
95940,2021-03-28,Atlantic,New Jersey,34001,27889,606,26947,598,942,8
95941,2021-03-28,Bergen,New Jersey,34003,90006,2719,86467,2691,3539,28
95942,2021-03-28,Burlington,New Jersey,34005,39319,786,38116,779,1203,7
95943,2021-03-28,Camden,New Jersey,34007,48234,1219,47005,1214,1229,5
95944,2021-03-28,Cape May,New Jersey,34009,8141,193,7862,191,279,2
95945,2021-03-28,Cumberland,New Jersey,34011,15256,399,14983,395,273,4
95946,2021-03-28,Essex,New Jersey,34013,83745,2778,80704,2748,3041,30
95947,2021-03-28,Gloucester,New Jersey,34015,26555,575,25844,571,711,4
95948,2021-03-28,Hudson,New Jersey,34017,78758,2102,76017,2085,2741,17
95949,2021-03-28,Hunterdon,New Jersey,34019,8148,169,7752,167,396,2
95950,2021-03-28,Mercer,New Jersey,34021,30525,908,29756,901,769,7
95951,2021-03-28,Middlesex,New Jersey,34023,82325,2189,79447,2180,2878,9
95952,2021-03-28,Monmouth,New Jersey,34025,66940,1485,64209,1472,2731,13
95953,2021-03-28,Morris,New Jersey,34027,44216,1169,42586,1162,1630,7
95954,2021-03-28,Ocean,New Jersey,34029,67473,1984,64985,1953,2488,31
95955,2021-03-28,Passaic,New Jersey,34031,63547,1779,61662,1765,1885,14
95956,2021-03-28,Salem,New Jersey,34033,5147,169,4992,167,155,2
95957,2021-03-28,Somerset,New Jersey,34035,26325,804,25268,801,1057,3
95958,2021-03-28,Sussex,New Jersey,34037,11264,283,10502,279,762,4
95959,2021-03-28,Union,New Jersey,34039,63418,1847,61593,1831,1825,16
95961,2021-03-28,Warren,New Jersey,34041,8281,226,7951,224,330,2
