,date,county,state,fips,cases,deaths,2021-03-21_Cases_Num,2021-03-21_Deaths_Num,diff_From_2021-03-21_Cases_Num,diff_From_2021-03-21_Deaths_Num
95996,2021-03-28,Albany,New York,36001,22418,340,21982,339,436,1
95997,2021-03-28,Allegany,New York,36003,3011,82,2981,82,30,0
95998,2021-03-28,Broome,New York,36007,16440,343,16130,342,310,1
95999,2021-03-28,Cattaraugus,New York,36009,4746,79,4649,79,97,0
96000,2021-03-28,Cayuga,New York,36011,5592,90,5528,90,64,0
96001,2021-03-28,Chautauqua,New York,36013,7854,130,7710,130,144,0
96002,2021-03-28,Chemung,New York,36015,6781,131,6630,131,151,0
96003,2021-03-28,Chenango,New York,36017,2771,72,2651,71,120,1
96004,2021-03-28,Clinton,New York,36019,4128,30,3987,30,141,0
96005,2021-03-28,Columbia,New York,36021,3656,97,3579,97,77,0
96006,2021-03-28,Cortland,New York,36023,3383,60,3336,60,47,0
96007,2021-03-28,Delaware,New York,36025,1879,34,1786,34,93,0
96008,2021-03-28,Dutchess,New York,36027,25671,425,24744,420,927,5
96009,2021-03-28,Erie,New York,36029,72732,1648,70323,1640,2409,8
96010,2021-03-28,Essex,New York,36031,1440,26,1419,26,21,0
96011,2021-03-28,Franklin,New York,36033,2284,12,2247,12,37,0
96012,2021-03-28,Fulton,New York,36035,3731,85,3621,85,110,0
96013,2021-03-28,Genesee,New York,36037,4752,121,4669,120,83,1
96014,2021-03-28,Greene,New York,36039,2934,73,2847,72,87,1
96015,2021-03-28,Hamilton,New York,36041,292,2,290,2,2,0
96016,2021-03-28,Herkimer,New York,36043,4754,107,4705,107,49,0
96017,2021-03-28,Jefferson,New York,36045,5191,63,5101,63,90,0
96018,2021-03-28,Lewis,New York,36049,2285,33,2202,33,83,0
96019,2021-03-28,Livingston,New York,36051,3777,58,3721,57,56,1
96020,2021-03-28,Madison,New York,36053,4081,85,3993,85,88,0
96021,2021-03-28,Monroe,New York,36055,56247,1017,55120,1012,1127,5
96022,2021-03-28,Montgomery,New York,36057,3529,112,3411,108,118,4
96023,2021-03-28,Nassau,New York,36059,165785,3034,161408,3017,4377,17
96025,2021-03-28,Niagara,New York,36063,16354,328,16009,324,345,4
96026,2021-03-28,Oneida,New York,36065,20734,493,20444,487,290,6
96027,2021-03-28,Onondaga,New York,36067,34062,652,33584,648,478,4
96028,2021-03-28,Ontario,New York,36069,6283,90,6146,90,137,0
96029,2021-03-28,Orange,New York,36071,42550,669,41008,664,1542,5
96030,2021-03-28,Orleans,New York,36073,2574,82,2540,82,34,0
96031,2021-03-28,Oswego,New York,36075,6553,89,6404,89,149,0
96032,2021-03-28,Otsego,New York,36077,2860,46,2736,44,124,2
96033,2021-03-28,Putnam,New York,36079,9391,90,9079,89,312,1
96034,2021-03-28,Rensselaer,New York,36083,9901,133,9657,133,244,0
96035,2021-03-28,Rockland,New York,36087,43130,714,41990,710,1140,4
96041,2021-03-28,St. Lawrence,New York,36089,5905,94,5844,93,61,1
96036,2021-03-28,Saratoga,New York,36091,13217,154,12834,153,383,1
96037,2021-03-28,Schenectady,New York,36093,11717,187,11407,186,310,1
96038,2021-03-28,Schoharie,New York,36095,1392,14,1348,13,44,1
96039,2021-03-28,Schuyler,New York,36097,921,12,904,12,17,0
96040,2021-03-28,Seneca,New York,36099,1777,56,1742,56,35,0
96042,2021-03-28,Steuben,New York,36101,5870,140,5744,140,126,0
96043,2021-03-28,Suffolk,New York,36103,180321,3232,175528,3202,4793,30
96044,2021-03-28,Sullivan,New York,36105,5421,64,5216,64,205,0
96045,2021-03-28,Tioga,New York,36107,3097,57,3022,56,75,1
96046,2021-03-28,Tompkins,New York,36109,3852,49,3730,48,122,1
96047,2021-03-28,Ulster,New York,36111,11787,236,11203,234,584,2
96048,2021-03-28,Warren,New York,36113,3140,55,3040,55,100,0
96049,2021-03-28,Washington,New York,36115,2637,55,2531,54,106,1
96050,2021-03-28,Wayne,New York,36117,4795,66,4698,65,97,1
96051,2021-03-28,Westchester,New York,36119,118504,2190,115562,2168,2942,22
96052,2021-03-28,Wyoming,New York,36121,3051,49,3005,49,46,0
96053,2021-03-28,Yates,New York,36123,1052,26,1040,26,12,0
