,date,county,state,fips,cases,deaths,2021-03-21_Cases_Num,2021-03-21_Deaths_Num,diff_From_2021-03-21_Cases_Num,diff_From_2021-03-21_Deaths_Num
96377,2021-03-28,Baker,Oregon,41001,730,12,699,12,31,0
96378,2021-03-28,Benton,Oregon,41003,2548,18,2499,18,49,0
96379,2021-03-28,Clackamas,Oregon,41005,14175,200,13889,200,286,0
96380,2021-03-28,Clatsop,Oregon,41007,832,7,807,7,25,0
96381,2021-03-28,Columbia,Oregon,41009,1353,24,1308,24,45,0
96382,2021-03-28,Coos,Oregon,41011,1862,28,1795,24,67,4
96383,2021-03-28,Crook,Oregon,41013,803,18,796,18,7,0
96384,2021-03-28,Curry,Oregon,41015,536,8,514,8,22,0
96385,2021-03-28,Deschutes,Oregon,41017,6302,70,6173,70,129,0
96386,2021-03-28,Douglas,Oregon,41019,2849,59,2781,58,68,1
96387,2021-03-28,Gilliam,Oregon,41021,54,1,54,1,0,0
96388,2021-03-28,Grant,Oregon,41023,272,4,262,2,10,2
96389,2021-03-28,Harney,Oregon,41025,285,6,283,6,2,0
96390,2021-03-28,Hood River,Oregon,41027,1084,29,1076,29,8,0
96391,2021-03-28,Jackson,Oregon,41029,9149,120,8955,120,194,0
96392,2021-03-28,Jefferson,Oregon,41031,2011,31,2002,31,9,0
96393,2021-03-28,Josephine,Oregon,41033,2759,59,2650,59,109,0
96394,2021-03-28,Klamath,Oregon,41035,2978,56,2907,56,71,0
96395,2021-03-28,Lake,Oregon,41037,399,6,394,6,5,0
96396,2021-03-28,Lane,Oregon,41039,10699,141,10564,139,135,2
96397,2021-03-28,Lincoln,Oregon,41041,1198,20,1178,20,20,0
96398,2021-03-28,Linn,Oregon,41043,3786,60,3734,59,52,1
96399,2021-03-28,Malheur,Oregon,41045,3392,58,3384,58,8,0
96400,2021-03-28,Marion,Oregon,41047,19279,296,19076,295,203,1
96401,2021-03-28,Morrow,Oregon,41049,1061,14,1055,14,6,0
96402,2021-03-28,Multnomah,Oregon,41051,33042,565,32668,564,374,1
96403,2021-03-28,Polk,Oregon,41053,3196,48,3155,48,41,0
96404,2021-03-28,Sherman,Oregon,41055,53,0,53,0,0,0
96405,2021-03-28,Tillamook,Oregon,41057,497,2,465,2,32,0
96406,2021-03-28,Umatilla,Oregon,41059,7859,82,7816,82,43,0
96407,2021-03-28,Union,Oregon,41061,1363,20,1348,20,15,0
96408,2021-03-28,Wallowa,Oregon,41063,147,5,145,5,2,0
96409,2021-03-28,Wasco,Oregon,41065,1243,27,1236,27,7,0
96410,2021-03-28,Washington,Oregon,41067,22214,221,21914,221,300,0
96411,2021-03-28,Wheeler,Oregon,41069,25,1,25,1,0,0
96412,2021-03-28,Yamhill,Oregon,41071,3917,70,3872,70,45,0
