,date,county,state,fips,cases,deaths,2021-03-21_Cases_Num,2021-03-21_Deaths_Num,diff_From_2021-03-21_Cases_Num,diff_From_2021-03-21_Deaths_Num
97027,2021-03-28,Beaver,Utah,49001,746,6,702,6,44,0
97028,2021-03-28,Box Elder,Utah,49003,5039,50,4990,47,49,3
97029,2021-03-28,Cache,Utah,49005,15470,44,15342,41,128,3
97030,2021-03-28,Carbon,Utah,49007,1581,15,1566,13,15,2
97031,2021-03-28,Daggett,Utah,49009,38,0,38,0,0,0
97032,2021-03-28,Davis,Utah,49011,36104,158,35814,150,290,8
97033,2021-03-28,Duchesne,Utah,49013,1165,9,1155,9,10,0
97034,2021-03-28,Emery,Utah,49015,910,9,890,9,20,0
97035,2021-03-28,Garfield,Utah,49017,463,10,457,9,6,1
97036,2021-03-28,Grand,Utah,49019,730,3,720,3,10,0
97037,2021-03-28,Iron,Utah,49021,5338,31,5127,33,211,-2
97038,2021-03-28,Juab,Utah,49023,1250,12,1243,12,7,0
97039,2021-03-28,Kane,Utah,49025,636,5,608,5,28,0
97040,2021-03-28,Millard,Utah,49027,1404,12,1390,11,14,1
97041,2021-03-28,Morgan,Utah,49029,1169,11,1150,11,19,0
97042,2021-03-28,Piute,Utah,49031,100,2,100,2,0,0
97043,2021-03-28,Rich,Utah,49033,139,0,138,0,1,0
97044,2021-03-28,Salt Lake,Utah,49035,143399,820,142318,807,1081,13
97045,2021-03-28,San Juan,Utah,49037,1850,37,1828,37,22,0
97046,2021-03-28,Sanpete,Utah,49039,3655,21,3633,19,22,2
97047,2021-03-28,Sevier,Utah,49041,2119,12,2098,12,21,0
97048,2021-03-28,Summit,Utah,49043,5286,11,5208,11,78,0
97049,2021-03-28,Tooele,Utah,49045,6893,40,6804,39,89,1
97050,2021-03-28,Uintah,Utah,49047,2492,19,2461,19,31,0
97052,2021-03-28,Utah,Utah,49049,92776,364,92202,353,574,11
97053,2021-03-28,Wasatch,Utah,49051,4465,21,4432,21,33,0
97054,2021-03-28,Washington,Utah,49053,20470,203,20418,190,52,13
97055,2021-03-28,Wayne,Utah,49055,126,0,125,0,1,0
97056,2021-03-28,Weber,Utah,49057,27471,183,27240,180,231,3
