,date,county,state,fips,cases,deaths,2021-03-21_Cases_Num,2021-03-21_Deaths_Num,diff_From_2021-03-21_Cases_Num,diff_From_2021-03-21_Deaths_Num
97057,2021-03-28,Addison,Vermont,50001,901,8,887,8,14,0
97058,2021-03-28,Bennington,Vermont,50003,1665,10,1614,9,51,1
97059,2021-03-28,Caledonia,Vermont,50005,663,5,569,5,94,0
97060,2021-03-28,Chittenden,Vermont,50007,5963,96,5594,94,369,2
97061,2021-03-28,Essex,Vermont,50009,209,1,200,1,9,0
97062,2021-03-28,Franklin,Vermont,50011,1656,37,1573,37,83,0
97063,2021-03-28,Grand Isle,Vermont,50013,169,2,155,1,14,1
97064,2021-03-28,Lamoille,Vermont,50015,679,2,617,2,62,0
97065,2021-03-28,Orange,Vermont,50017,546,3,537,3,9,0
97066,2021-03-28,Orleans,Vermont,50019,860,7,761,7,99,0
97067,2021-03-28,Rutland,Vermont,50021,1657,14,1491,13,166,1
97069,2021-03-28,Washington,Vermont,50023,1587,14,1551,14,36,0
97070,2021-03-28,Windham,Vermont,50025,1086,14,1049,14,37,0
97071,2021-03-28,Windsor,Vermont,50027,1168,12,1134,11,34,1
